ID,LocaleMask,Create_charsetMask,Flags,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask
1,0,0,0,Development,,,,,,,,,,,,,,,,16712174
2,0,1,0,United States,,,,,,,,,,,,,,,,16712190
3,0,1,0,Oceanic,,,,,,,,,,,,,,,,16712190
4,0,1,0,Latin America,,,,,,,,,,,,,,,,16712190
5,0,1,1,Tournament,,,,,,,,,,,,,,,,16712062
6,0,10,0,Korea,,,,,,,,,,,,,,,,16712190
7,0,10,1,Tournament,,,,,,,,,,,,,,,,16712062
8,0,1,0,English,,,,,,,,,,,,,,,,16712190
9,0,1,0,German,,,,,,,,,,,,,,,,16712190
10,0,1,0,French,,,,,,,,,,,,,,,,16712190
11,0,1,0,Spanish,,,,,,,,,,,,,,,,16712190
12,256,4,0,Russian,,,,,,,,,,,,,,,,16712174
13,0,1,1,Tournament,,,,,,,,,,,,,,,,16712062
14,0,17,0,Taiwan,,,,,,,,,,,,,,,,16712190
15,0,17,1,Tournament,,,,,,,,,,,,,,,,16712174
16,0,17,0,China,,,,,,,,,,,,,,,,16712190
17,0,17,0,CN1,,,,,,,,,,,,,,,,16712190
18,0,17,0,CN2,,,,,,,,,,,,,,,,16712190
19,0,17,0,CN3,,,,,,,,,,,,,,,,16712190
20,0,17,0,CN4,,,,,,,,,,,,,,,,16712190
21,0,17,0,CN5,,,,,,,,,,,,,,,,16712190
22,0,17,0,CN6,,,,,,,,,,,,,,,,16712190
23,0,17,0,CN7,,,,,,,,,,,,,,,,16712190
24,0,17,0,CN8,,,,,,,,,,,,,,,,16712190
25,0,17,1,Tournament,,,,,,,,,,,,,,,,16712174
26,0,0,0,Test Server,,,,,,,,,,,,,,,,16712190
27,0,0,1,Tournament,,,,,,,,,,,,,,,,16712062
28,0,0,0,QA Server,,,,,,,,,,,,,,,,16712190
29,0,17,0,CN9,,,,,,,,,,,,,,,,16712190
