ID,Tag,Raidorigin,Challenge_origin,Region_ID,Region_group_mask
1,US,1127228400,1135695600,1,1
2,KR,1135810800,1135810800,2,2
3,EU,1135753200,1135753200,3,3
4,TW,1135810800,1135810800,4,4
5,CN,1135810800,1135810800,5,5
10,PV,1127232000,1135695600,10,6
11,CN,1135818000,1135810800,11,5
12,CN,1135818000,1135810800,12,5
13,TW,1135818000,1135810800,13,4
21,TR,1127232000,1135695600,21,6
22,TR,1127232000,1135695600,22,6
23,TR,1127232000,1135695600,23,6
24,TR,1127232000,1135782000,24,6
25,TR,1127232000,1135695600,25,6
26,US,1127232000,1135695600,26,6
30,US,1127232000,1135695600,30,6
31,US,1127232000,1135695600,31,6
33,EU,1135753200,1135753200,33,3
34,US,1127232000,1135695600,34,1
46,US,1127228400,1135695600,46,9
50,XX,1127232000,1135695600,50,7
51,XX,1127232000,1135695600,51,7
52,XX,1127232000,1135695600,52,11
60,XX,1127232000,1135695600,60,8
61,CN,1135818000,1135810800,61,8
62,CN,1135818000,1135810800,62,8
63,XX,1127232000,1135695600,63,8
65,XX,1127232000,1135695600,65,6
66,XX,1127232000,1135695600,66,6
99,XX,1127232000,1135695600,99,0
100,US,1127228400,1135695600,100,9
101,QA,1127232000,1135695600,101,0
103,US,1127232000,1135695600,103,9
104,US,1127232000,1135695600,104,9
105,US,1127232000,1135695600,105,9
106,US,112723200,1135695600,106,9
107,US,1127232000,1135695600,107,9
108,US,1127232000,1135695600,108,9
109,US,1127232000,1135695600,109,9
110,US,1127232000,1135695600,110,9
130,US,1127232000,1135695600,130,9
140,XX,1127232000,1135695600,140,10
141,XX,1127232000,1135695600,141,10
142,XX,1127232000,1135695600,142,10
143,XX,1127232000,1135695600,143,10
144,XX,1127228400,1135695600,144,10
145,XX,1127232000,1135753200,145,10
146,XX,1127232000,1135810800,146,10
147,XX,1127232000,1135695600,147,8
148,XX,1127232000,1135695600,148,11
149,XX,1127232000,1135695600,149,10
150,XX,1127232000,1135695600,150,10
151,XX,1135753200,1135695600,151,10
154,XX,1127232000,1135695600,154,10
200,BL,1127232000,1135695600,200,11
201,QA,1127232000,1135695600,201,11
202,QA,1135753200,1135753200,202,11
203,QA,1127232000,1135810800,203,11
204,QA,1127232000,1135810800,204,11
205,QA,1127232000,1135810800,205,11
206,QA,1127232000,1135695600,206,11
207,QA,1127228400,1135722600,207,11
208,QA,1135810800,1135810800,208,11
209,BL,1135818000,1135695600,209,11
220,ST,1127232000,1135695600,220,11
221,TR,1127232000,1135695600,221,5
916,US,1127228400,1135695600,90,9
922,US,1127228400,1135695600,121,9
928,AT,1127232000,1135695600,255,7
1036,US,1127232000,1135695600,111,9
1037,ZZ,1127232000,1135695600,666,9
1038,QA,1127232000,1135695600,1038,11
1039,XX,1127232000,1135695600,59,8
1043,QA,1127228400,1135695600,210,11
1047,QA,1135810800,1135810800,211,11
1048,QA,1135810800,1135695600,212,11
1052,EU,1135753200,1135695600,53,8
1056,QA,1127232000,1135695600,213,11
1060,QA,1127232000,1135695600,214,11
1064,QA,1127232000,1135695600,215,10
1068,QA,1127228400,1135695600,222,9
1072,QA,1127228400,1135695600,224,9
1076,QA,1127228400,1135695600,223,9
1081,QA,1127228400,1135695600,225,9
1085,QA,1127228400,1135695600,226,9
1089,US,1127228400,1135695600,41,1
1090,KR,1135810800,1135810800,42,2
1091,EU,1135753200,1135753200,43,3
1092,TW,1135810800,1135810800,44,4
1093,CN,1135810800,1135810800,45,5
1094,QA,1135753200,1135753200,216,11
1095,QA,1135753200,1135753200,217,11
