ID,OverlapSectionMask,X,Y,Width,Height,CharComponentTextureLayoutID,SectionType
1,0,0,0,256,128,1,0
2,0,0,128,256,128,1,1
3,0,0,256,256,64,1,2
4,0,256,0,256,128,1,3
5,0,256,128,256,64,1,4
6,0,256,192,256,128,1,5
7,0,256,320,256,128,1,6
8,0,256,448,256,64,1,7
9,0,0,320,256,64,1,9
10,0,0,384,256,128,1,10
11,0,0,0,256,128,2,0
12,0,0,128,256,128,2,1
13,0,0,256,256,64,2,2
14,0,256,0,256,128,2,3
15,0,256,128,256,64,2,4
16,0,256,192,256,128,2,5
17,0,256,320,256,128,2,6
18,0,256,448,256,64,2,7
19,0,512,0,512,512,2,9
20,0,512,0,512,512,2,10
22,0,768,384,256,128,2,8
25,255,0,0,512,512,1,12
26,255,0,0,512,512,2,12
27,1791,0,0,512,512,1,13
28,1791,0,0,1024,512,2,13
