ID,MaterialResourcesID[0],MaterialResourcesID[1],MaterialResourcesID[2],Flags,RaceID,SexID,BaseSection,VariationIndex,ColorIndex
1,5559,0,0,17,1,0,0,0,0
2,5560,0,0,17,1,0,0,0,1
3,5561,0,0,17,1,0,0,0,2
4,5562,0,0,17,1,0,0,0,3
5,5563,0,0,17,1,0,0,0,4
6,5564,0,0,17,1,0,0,0,5
7,5565,0,0,17,1,0,0,0,6
8,5566,0,0,17,1,0,0,0,7
9,5567,0,0,17,1,0,0,0,8
10,5568,0,0,17,1,0,0,0,9
11,5876,5996,0,17,1,0,1,0,0
12,5877,5997,0,17,1,0,1,0,1
13,5878,5998,0,17,1,0,1,0,2
14,5879,5999,0,17,1,0,1,0,3
15,5880,6000,0,17,1,0,1,0,4
16,5881,6001,0,17,1,0,1,0,5
17,5882,6002,0,17,1,0,1,0,6
18,5883,6003,0,17,1,0,1,0,7
19,5884,6004,0,17,1,0,1,0,8
20,5885,6005,0,1,1,0,1,0,9
21,5886,6006,0,1,1,0,1,1,0
22,5887,6007,0,17,1,0,1,1,1
23,5888,6008,0,17,1,0,1,1,2
24,5889,6009,0,17,1,0,1,1,3
25,5890,6010,0,17,1,0,1,1,4
26,5891,6011,0,17,1,0,1,1,5
27,5892,6012,0,17,1,0,1,1,6
28,5893,6013,0,17,1,0,1,1,7
29,5894,6014,0,1,1,0,1,1,8
30,5895,6015,0,17,1,0,1,1,9
31,5896,6016,0,17,1,0,1,2,0
32,5897,6017,0,17,1,0,1,2,1
33,5898,6018,0,17,1,0,1,2,2
34,5899,6019,0,17,1,0,1,2,3
35,5900,6020,0,17,1,0,1,2,4
36,5901,6021,0,17,1,0,1,2,5
37,5902,6022,0,17,1,0,1,2,6
38,5903,6023,0,1,1,0,1,2,7
39,5904,6024,0,17,1,0,1,2,8
40,5905,6025,0,17,1,0,1,2,9
41,5906,6026,0,17,1,0,1,3,0
42,5907,6027,0,17,1,0,1,3,1
43,5908,6028,0,17,1,0,1,3,2
44,5909,6029,0,17,1,0,1,3,3
45,5910,6030,0,17,1,0,1,3,4
46,5911,6031,0,1,1,0,1,3,5
47,5912,6032,0,17,1,0,1,3,6
48,5913,6033,0,17,1,0,1,3,7
49,5914,6034,0,17,1,0,1,3,8
50,5915,6035,0,17,1,0,1,3,9
51,5916,6036,0,17,1,0,1,4,0
52,5917,6037,0,17,1,0,1,4,1
53,5918,6038,0,17,1,0,1,4,2
54,5919,6039,0,17,1,0,1,4,3
55,5920,6040,0,17,1,0,1,4,4
56,5921,6041,0,1,1,0,1,4,5
57,5922,6042,0,17,1,0,1,4,6
58,5923,6043,0,17,1,0,1,4,7
59,5924,6044,0,17,1,0,1,4,8
60,5925,6045,0,17,1,0,1,4,9
61,5926,6046,0,17,1,0,1,5,0
62,5927,5583,0,17,1,0,1,5,1
63,5928,6047,0,17,1,0,1,5,2
64,5929,6048,0,17,1,0,1,5,3
65,5930,6049,0,17,1,0,1,5,4
66,5931,6050,0,17,1,0,1,5,5
67,5932,6051,0,17,1,0,1,5,6
68,5933,6052,0,17,1,0,1,5,7
69,5934,6053,0,17,1,0,1,5,8
70,5935,6054,0,17,1,0,1,5,9
71,5936,6055,0,17,1,0,1,6,0
72,5937,6056,0,17,1,0,1,6,1
73,5938,6057,0,17,1,0,1,6,2
74,5939,6058,0,17,1,0,1,6,3
75,5940,6059,0,17,1,0,1,6,4
76,5941,6060,0,17,1,0,1,6,5
77,5942,6061,0,17,1,0,1,6,6
78,5943,6062,0,17,1,0,1,6,7
79,5944,6063,0,17,1,0,1,6,8
80,5946,6064,0,17,1,0,1,6,9
81,5954,6065,0,17,1,0,1,7,0
82,5945,6066,0,17,1,0,1,7,1
83,5947,6067,0,17,1,0,1,7,2
84,5948,6068,0,17,1,0,1,7,3
85,5949,6069,0,17,1,0,1,7,4
86,5950,6070,0,17,1,0,1,7,5
87,5951,6071,0,17,1,0,1,7,6
88,5952,6072,0,17,1,0,1,7,7
89,5953,6073,0,17,1,0,1,7,8
90,5955,6074,0,1,1,0,1,7,9
91,5956,6075,0,17,1,0,1,8,0
92,5957,6076,0,17,1,0,1,8,1
93,5958,6077,0,17,1,0,1,8,2
94,5959,6078,0,17,1,0,1,8,3
95,5960,6079,0,1,1,0,1,8,4
96,5961,6080,0,17,1,0,1,8,5
97,5962,6081,0,17,1,0,1,8,6
98,5963,6082,0,17,1,0,1,8,7
99,5964,6083,0,17,1,0,1,8,8
100,5965,6084,0,17,1,0,1,8,9
101,5966,6085,0,17,1,0,1,9,0
102,5967,6086,0,17,1,0,1,9,1
103,5968,6087,0,17,1,0,1,9,2
104,5969,6088,0,17,1,0,1,9,3
105,5970,6089,0,17,1,0,1,9,4
106,5971,6090,0,17,1,0,1,9,5
107,5972,6091,0,1,1,0,1,9,6
108,5973,6092,0,17,1,0,1,9,7
109,5974,6093,0,17,1,0,1,9,8
110,5975,6094,0,1,1,0,1,9,9
111,5976,6095,0,1,1,0,1,10,0
112,5977,6096,0,17,1,0,1,10,1
113,5978,6097,0,17,1,0,1,10,2
114,5979,6098,0,17,1,0,1,10,3
115,5980,6099,0,17,1,0,1,10,4
116,5981,6100,0,17,1,0,1,10,5
117,5982,6101,0,17,1,0,1,10,6
118,5983,6102,0,17,1,0,1,10,7
119,5984,6103,0,17,1,0,1,10,8
120,5985,6104,0,17,1,0,1,10,9
121,5986,6105,0,17,1,0,1,11,0
122,5987,6106,0,17,1,0,1,11,1
123,5988,5541,0,17,1,0,1,11,2
124,5989,5542,0,17,1,0,1,11,3
125,5990,5543,0,17,1,0,1,11,4
126,5991,5544,0,17,1,0,1,11,5
127,5992,5545,0,1,1,0,1,11,6
128,5993,5546,0,17,1,0,1,11,7
129,5994,5547,0,17,1,0,1,11,8
130,5995,5548,0,17,1,0,1,11,9
131,3499,4073,0,17,1,0,2,0,0
132,3500,4074,0,17,1,0,2,0,1
133,3501,4075,0,17,1,0,2,0,2
134,3502,4076,0,17,1,0,2,0,3
135,3503,4077,0,17,1,0,2,0,4
136,3504,4078,0,17,1,0,2,0,5
137,4104,4079,0,17,1,0,2,0,6
138,3505,4080,0,17,1,0,2,0,7
139,3506,4081,0,17,1,0,2,0,8
140,3507,4082,0,17,1,0,2,0,9
141,3508,4083,0,17,1,0,2,1,0
142,3509,4084,0,17,1,0,2,1,1
143,3510,4085,0,17,1,0,2,1,2
144,3511,4086,0,17,1,0,2,1,3
145,3512,4087,0,17,1,0,2,1,4
146,3513,4088,0,17,1,0,2,1,5
147,3514,4089,0,17,1,0,2,1,6
148,3515,4090,0,17,1,0,2,1,7
149,3516,4091,0,17,1,0,2,1,8
150,3517,4092,0,17,1,0,2,1,9
151,3518,4093,0,17,1,0,2,2,0
152,3519,4094,0,17,1,0,2,2,1
153,3520,4095,0,17,1,0,2,2,2
154,3521,4096,0,17,1,0,2,2,3
155,3522,4097,0,17,1,0,2,2,4
156,3523,4098,0,17,1,0,2,2,5
157,3524,4099,0,17,1,0,2,2,6
158,3525,4100,0,17,1,0,2,2,7
159,3526,4101,0,17,1,0,2,2,8
160,4012,4102,0,17,1,0,2,2,9
161,4013,4103,0,17,1,0,2,3,0
162,4014,4111,0,17,1,0,2,3,1
163,4015,4116,0,17,1,0,2,3,2
164,4016,4105,0,17,1,0,2,3,3
165,4017,4106,0,17,1,0,2,3,4
166,4018,4107,0,17,1,0,2,3,5
167,4019,4108,0,17,1,0,2,3,6
168,4020,4109,0,17,1,0,2,3,7
169,4021,4110,0,17,1,0,2,3,8
170,4022,4112,0,17,1,0,2,3,9
171,4023,4113,0,17,1,0,2,4,0
172,4024,4114,0,17,1,0,2,4,1
173,4025,4115,0,17,1,0,2,4,2
174,4026,4117,0,17,1,0,2,4,3
175,4027,4118,0,17,1,0,2,4,4
176,4028,4119,0,17,1,0,2,4,5
177,4029,4120,0,17,1,0,2,4,6
178,4030,4121,0,17,1,0,2,4,7
179,4031,4122,0,17,1,0,2,4,8
180,4032,4123,0,17,1,0,2,4,9
181,4033,4124,0,17,1,0,2,5,0
182,4034,4125,0,17,1,0,2,5,1
183,4035,4126,0,17,1,0,2,5,2
184,4036,4127,0,17,1,0,2,5,3
185,4037,4128,0,17,1,0,2,5,4
186,4038,4129,0,17,1,0,2,5,5
187,4039,4130,0,17,1,0,2,5,6
188,4040,4131,0,17,1,0,2,5,7
189,4041,4132,0,17,1,0,2,5,8
190,4042,4133,0,17,1,0,2,5,9
191,4043,4134,0,17,1,0,2,6,0
192,4044,4135,0,17,1,0,2,6,1
193,4045,4136,0,17,1,0,2,6,2
194,4046,4137,0,17,1,0,2,6,3
195,4047,4138,0,17,1,0,2,6,4
196,4048,4139,0,17,1,0,2,6,5
197,4049,4140,0,17,1,0,2,6,6
198,4050,4141,0,17,1,0,2,6,7
199,4051,4142,0,17,1,0,2,6,8
200,4052,4143,0,17,1,0,2,6,9
201,4053,4144,0,17,1,0,2,7,0
202,4054,4145,0,17,1,0,2,7,1
203,4055,4146,0,17,1,0,2,7,2
204,4056,4147,0,17,1,0,2,7,3
205,4057,4148,0,17,1,0,2,7,4
206,4058,4149,0,17,1,0,2,7,5
207,4059,4150,0,17,1,0,2,7,6
208,4060,4151,0,17,1,0,2,7,7
209,4061,4152,0,17,1,0,2,7,8
210,4062,4153,0,17,1,0,2,7,9
211,4063,4154,0,17,1,0,2,8,0
212,4064,4155,0,17,1,0,2,8,1
213,4065,4156,0,17,1,0,2,8,2
214,4066,4157,0,17,1,0,2,8,3
215,4067,4158,0,17,1,0,2,8,4
216,4068,4159,0,17,1,0,2,8,5
217,4069,4160,0,17,1,0,2,8,6
218,4070,4161,0,17,1,0,2,8,7
219,4071,4162,0,17,1,0,2,8,8
220,4072,4163,0,17,1,0,2,8,9
231,5855,5591,5621,17,1,0,3,2,0
232,5856,5592,5622,17,1,0,3,2,1
233,5857,5593,5623,17,1,0,3,2,2
234,5858,5594,5624,17,1,0,3,2,3
235,5859,5595,5625,17,1,0,3,2,4
236,5860,5596,5626,17,1,0,3,2,5
237,5861,5597,5627,17,1,0,3,2,6
238,5862,5598,5628,17,1,0,3,2,7
239,5863,5599,5629,17,1,0,3,2,8
240,5864,5600,5630,17,1,0,3,2,9
241,5855,5581,5611,17,1,0,3,3,0
242,5856,5582,5612,17,1,0,3,3,1
243,5857,6355,5613,17,1,0,3,3,2
244,5858,5584,5614,17,1,0,3,3,3
245,5859,5585,5615,17,1,0,3,3,4
246,5860,5586,5616,17,1,0,3,3,5
247,5861,5587,5617,17,1,0,3,3,6
248,5862,5588,5618,17,1,0,3,3,7
249,5863,5589,5619,17,1,0,3,3,8
250,5864,5590,5620,17,1,0,3,3,9
251,5865,5591,5621,17,1,0,3,4,0
252,5866,5592,5622,17,1,0,3,4,1
253,5867,5593,5623,17,1,0,3,4,2
