ID,RaceID,ClassID,SexID,OutfitID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],DisplayItemID[0],DisplayItemID[1],DisplayItemID[2],DisplayItemID[3],DisplayItemID[4],DisplayItemID[5],DisplayItemID[6],DisplayItemID[7],DisplayItemID[8],DisplayItemID[9],DisplayItemID[10],DisplayItemID[11],InventoryType[0],InventoryType[1],InventoryType[2],InventoryType[3],InventoryType[4],InventoryType[5],InventoryType[6],InventoryType[7],InventoryType[8],InventoryType[9],InventoryType[10],InventoryType[11]
1,1,1,0,0,38,39,40,0,25,2362,117,-1,-1,-1,-1,-1,9891,9892,10141,-1,1542,2158,2473,-1,-1,-1,-1,-1,4,7,8,-1,21,14,0,-1,-1,-1,-1,-1
14,1,1,1,0,38,39,40,0,25,2362,117,-1,-1,-1,-1,-1,9891,9892,10141,-1,1542,2158,2473,-1,-1,-1,-1,-1,4,7,8,-1,21,14,0,-1,-1,-1,-1,-1
79,1,2,0,0,45,43,44,0,2361,159,2070,-1,-1,-1,-1,-1,3265,10272,9937,-1,8285,6366,6353,-1,-1,-1,-1,-1,4,8,7,-1,17,0,0,-1,-1,-1,-1,-1
36,1,2,1,0,45,43,44,0,2361,159,2070,-1,-1,-1,-1,-1,3265,10272,9937,-1,8285,6366,6353,-1,-1,-1,-1,-1,4,8,7,-1,17,0,0,-1,-1,-1,-1,-1
9,1,4,0,0,49,47,48,0,2092,2070,0,-1,-1,-1,-1,-1,9906,9915,9913,-1,6442,6353,-1,-1,-1,-1,-1,-1,4,8,7,-1,13,0,-1,-1,-1,-1,-1,-1
37,1,4,1,0,49,47,48,0,2092,2070,0,-1,-1,-1,-1,-1,9906,9915,9913,-1,6442,6353,-1,-1,-1,-1,-1,-1,4,8,7,-1,13,0,-1,-1,-1,-1,-1,-1
11,1,5,0,0,6098,52,53,51,36,159,2070,0,-1,-1,-1,-1,12679,9945,9944,9946,5194,6366,6353,-1,-1,-1,-1,-1,20,7,4,8,21,0,0,-1,-1,-1,-1,-1
38,1,5,1,0,6098,52,53,51,36,159,2070,0,-1,-1,-1,-1,12679,9945,9944,9946,5194,6366,6353,-1,-1,-1,-1,-1,20,7,4,8,21,0,0,-1,-1,-1,-1,-1
10,1,8,0,0,56,1395,55,35,6096,2070,159,0,0,-1,-1,-1,12647,9924,9929,472,2163,6353,6366,-1,-1,-1,-1,-1,20,7,8,17,4,0,0,-1,-1,-1,-1,-1
39,1,8,1,0,56,1395,55,35,6096,2070,159,0,0,-1,-1,-1,12647,9924,9929,472,2163,6353,6366,-1,-1,-1,-1,-1,20,7,8,17,4,0,0,-1,-1,-1,-1,-1
