ID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],PetDisplayID,ClassID,SexID,OutfitID,PetFamilyID,RaceID
1,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
3,38,39,40,0,12282,6948,117,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
4,25,6120,6121,6122,2362,117,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
7,6117,6118,43,0,2361,4540,159,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
8,2092,49,48,47,4540,0,2947,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
9,49,47,48,2947,2092,2070,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
10,56,1395,55,35,6096,2070,159,0,6948,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
11,6098,52,53,51,36,159,2070,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
12,57,6097,1396,2092,59,0,4604,159,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1
14,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
15,127,6126,6948,37,159,2508,2102,2516,117,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
16,127,6126,6127,159,37,6948,2101,2504,117,2512,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
17,2105,120,121,3111,2092,117,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
19,154,153,6948,0,36,117,159,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
20,6129,1396,59,2092,6948,117,159,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2
21,148,147,129,0,37,159,2102,2508,2516,117,6948,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
22,6098,53,52,51,36,159,4540,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
24,2092,148,147,129,159,2504,2101,2512,117,0,6948,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
26,36,6119,52,51,53,2070,159,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
