RaceID,SexID,VariationID,Geoset[0],Geoset[1],Geoset[2],Geoset[3],Geoset[4],Geoset[5]
3,1,3,2010404113,12062076,2489664,0,4,0
3,1,4,2010404113,12062076,2489664,0,5,0
3,1,5,2010404113,12062076,2489664,0,6,0
6,1,4,-858993460,-858993460,-858993460,0,0,5
5,1,3,0,1,0,0,1,0
1,0,1,80190984,0,1960,1,2,1
1,0,2,80190984,0,1960,1,2,1
1,0,3,80190984,0,1960,2,1,2
1,0,4,80190984,0,1960,2,2,2
1,0,5,80190984,0,1960,1,2,2
1,0,6,80190984,0,1960,2,2,1
1,0,7,80190984,0,1960,1,2,1
6,1,1,-858993460,-858993460,-858993460,0,0,2
6,1,2,-858993460,-858993460,-858993460,0,0,3
3,0,0,1,1,1,1,1,1
6,0,0,1,1,1,1,1,1
6,0,1,2,2,2,2,2,2
6,0,2,3,3,3,3,3,3
3,0,1,2,2,2,2,2,2
3,0,2,3,3,3,3,3,3
3,0,3,4,4,4,4,4,4
3,0,4,5,5,5,5,5,5
4,0,0,1,1,1,1,1,1
4,0,1,2,2,2,2,2,2
4,0,2,3,3,3,3,3,3
4,0,3,4,4,4,4,4,4
4,0,4,5,5,5,5,5,5
4,0,5,6,6,2,6,6,2
2,0,0,0,0,0,0,0,0
1,1,2,0,2,0,0,2,0
7,0,1,1,0,0,2,0,0
2,1,3,0,3,0,0,3,0
3,1,0,0,0,0,0,0,0
4,1,0,1,1,1,1,1,1
5,0,12,-858993460,-858993460,-858993460,2,2,0
6,0,3,4,4,4,4,4,4
6,0,4,5,5,5,5,5,5
6,0,5,6,6,6,6,6,6
6,1,3,-858993460,-858993460,-858993460,0,0,4
1,0,8,80190984,0,1960,1,1,1
3,0,5,6,6,6,6,6,6
3,0,6,7,7,7,7,7,7
3,0,7,8,8,8,8,8,8
3,0,8,9,9,9,9,9,9
3,0,9,10,10,10,10,10,10
3,0,10,11,11,11,11,11,11
2,0,1,0,0,0,0,0,0
2,0,2,1,0,0,1,0,0
2,0,3,2,0,0,2,0,0
2,0,4,3,0,0,3,0,0
2,0,5,4,0,0,4,0,0
2,0,6,5,0,0,5,0,0
2,0,7,6,0,0,6,0,0
2,0,8,7,0,0,7,0,0
2,0,9,8,0,0,8,0,0
2,0,10,9,0,0,9,0,0
5,0,9,-858993460,-858993460,-858993460,3,2,0
4,1,1,2,2,2,2,2,2
4,1,2,3,3,3,3,3,3
4,1,3,4,4,4,4,4,4
4,1,4,5,5,5,5,5,5
4,1,5,6,6,6,6,6,6
4,1,6,7,7,7,7,7,7
4,1,7,8,8,8,8,8,8
4,1,8,9,9,9,9,9,9
4,1,9,10,10,10,10,10,10
4,1,10,11,11,11,11,11,11
6,0,6,7,7,7,7,7,7
6,0,7,8,8,8,8,8,8
7,0,0,0,0,0,0,0,0
7,0,2,2,0,0,3,0,0
8,0,2,80190984,0,1960,0,4,0
2,1,0,0,0,0,0,0,0
7,0,3,3,0,0,4,0,0
7,0,4,4,0,0,5,0,0
7,0,5,5,0,0,6,0,0
7,0,6,6,0,0,7,0,0
7,0,7,7,0,0,8,0,0
1,0,0,80190984,0,1960,1,1,1
1,1,6,0,6,0,0,6,0
7,1,0,0,0,0,0,0,0
5,0,10,-858993460,-858993460,-858993460,2,0,0
5,0,7,-858993460,-858993460,-858993460,4,2,0
5,0,16,-858993460,-858993460,-858993460,4,2,0
1,1,1,0,1,0,0,1,0
5,0,8,-858993460,-858993460,-858993460,2,2,0
5,0,13,-858993460,-858993460,-858993460,3,2,0
5,0,15,-858993460,-858993460,-858993460,3,2,0
5,1,4,0,1,0,0,1,0
5,0,6,-858993460,-858993460,-858993460,3,2,0
5,0,14,-858993460,-858993460,-858993460,2,2,0
5,0,11,-858993460,-858993460,-858993460,3,0,0
5,0,2,-858993460,-858993460,-858993460,2,0,0
5,0,3,-858993460,-858993460,-858993460,3,0,0
5,1,6,0,1,0,0,1,0
5,1,7,0,1,0,0,1,0
5,1,2,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
5,0,0,-858993460,-858993460,-858993460,2,2,0
5,1,5,0,0,0,0,0,0
5,0,1,-858993460,-858993460,-858993460,2,2,0
1,1,3,0,3,0,0,3,0
5,0,4,-858993460,-858993460,-858993460,4,0,0
8,1,2,0,3,0,0,3,0
8,1,3,0,4,0,0,4,0
8,1,4,0,5,0,0,5,0
8,1,5,0,6,0,0,6,0
8,1,6,0,7,0,0,7,0
2,1,4,0,4,0,0,4,0
5,0,5,-858993460,-858993460,-858993460,2,2,0
1,1,4,0,4,0,0,4,0
1,1,5,0,5,0,0,5,0
2,1,1,0,1,0,0,1,0
2,1,2,0,2,0,0,2,0
8,1,0,-858993460,-858993460,-858993460,0,1,0
8,1,1,0,2,0,0,2,0
5,1,0,0,1,0,0,1,0
5,1,1,0,1,0,0,1,0
2,1,5,0,5,0,0,5,0
2,1,6,0,6,0,0,6,0
6,1,0,-858993460,-858993460,-858993460,0,0,0
3,1,1,2010404113,12062076,2489664,0,2,0
8,0,1,80190984,0,1960,0,3,0
8,0,3,80190984,0,1960,0,5,0
8,0,4,80190984,0,1960,0,6,0
8,0,0,80190984,0,1960,0,2,0
3,1,2,2010404113,12062076,2489664,0,3,0
