Racemask,ID,ChrClassID,Purpose,ModID
1,1492,2,9,75
1,1493,4,9,75
1,1494,5,9,75
1,1495,8,9,75
1,1496,9,9,75
2,1497,1,9,75
2,1498,3,9,75
2,1499,4,9,75
2,1500,7,9,75
2,1501,9,9,75
4,1502,1,9,75
4,1503,2,9,75
4,1504,3,9,75
4,1505,5,9,75
8,1506,1,9,75
8,1507,3,9,75
8,1508,4,9,75
8,1509,5,9,75
32,1510,1,9,75
32,1511,3,9,75
32,1512,7,9,75
32,1513,11,9,75
8,1514,11,9,75
4,1515,4,9,75
64,1516,4,9,75
64,1517,8,9,75
64,1518,9,9,75
128,1519,4,9,75
128,1520,3,9,75
128,1521,5,9,75
128,1522,7,9,75
64,1523,1,9,75
128,1524,1,9,75
128,1525,8,9,75
1,1526,1,9,75
512,1527,4,9,75
512,1528,5,9,75
512,1529,8,9,75
512,1530,9,9,75
512,1531,3,9,75
1024,1532,1,9,75
1024,1533,2,9,75
1024,1534,3,9,75
1024,1535,5,9,75
1024,1536,8,9,75
512,1537,2,9,75
1024,1538,7,9,75
16,1539,9,9,75
16,1540,5,9,75
16,1541,8,9,75
16,1542,1,9,75
16,1543,4,9,75
0,1544,11,10,0
0,1545,3,10,0
0,1546,8,10,0
0,1547,2,10,0
0,1548,5,10,0
0,1549,4,10,0
0,1550,7,10,0
0,1551,9,10,0
0,1552,1,10,0
