ID,ModelID,SoundID,ExtendedDisplayInfoID,CreatureModelScale,CreatureModelAlpha,TextureVariation[0],TextureVariation[1],TextureVariation[2],SizeClass,BloodID,NPCSoundID
507,61,0,0,2,255,CarrionBirdSkinBlue,CarrionBirdWingBlue,,0,0,508
508,16,0,0,1.1,255,HumanThiefSkin_var4,,,1,0,511
511,26,26,0,1.5,255,koboldskinNormal,,,0,0,512
512,123,0,0,0.9,255,RiverPawGnollFighterSkin,,,1,0,513
513,30,0,0,0.4,255,MineSpiderSkinOlive,,,1,0,514
514,71,0,0,0.9,255,HarvestGolemSkinGrey,HarvestGolemBitsGrey,,1,0,515
515,16,0,0,0.9,255,HumanThiefSkin_var1,,,1,0,516
516,113,0,0,1.05,255,BlackRockClanOrcRunnerSkin,,,1,0,517
517,112,0,0,1.2,255,BlackRockClanOrcWarriorSkin,,,1,0,518
518,70,0,0,1.2,255,SkeletonSkinDarkTeal,,,1,0,519
519,45,0,0,1.2,255,GhoulSkinWhite,,,1,0,520
520,63,0,0,0.65,255,TarantulaSkinBrown,,,1,0,522
522,44,0,0,1.3,255,WargenSkinBlack,,,1,0,523
523,44,0,0,1.5,255,WargenSkinWhite,,,1,0,524
524,44,0,0,1.1,255,WargenSkinBrown,,,1,0,525
525,110,0,0,0.75,255,WaterElementalSkin,,,1,0,527
527,31,0,0,0.85,255,Sahauginskin,,,1,0,528
528,123,0,0,1.1,255,RiverPawGnollFighterSkin,,,1,0,529
529,31,0,0,1.05,255,Sahauginskin,,,1,0,531
531,31,0,0,0.9,255,SahauginskinGray,,,1,0,533
533,70,0,0,1.3,255,SkeletonSkinGreen,,,1,0,534
534,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,1,0,535
535,70,0,0,1,255,SkeletonSkinDarkTeal,,,1,0,536
536,32,0,0,1.1,255,OgreSkin1Green,OgreSkin2Green,,3,0,538
538,30,0,0,0.5,255,MineSpiderSkinOlive,,,1,0,539
539,30,0,0,0.75,255,MineSpiderSkinSteel,,,1,0,540
540,31,0,0,1.25,255,SahauginskinGray,,,1,0,543
543,123,0,0,1.4,255,MossHideGnollFighterSkin,,,1,0,544
544,123,0,0,1.2,255,ShadowHideGnollFighterSkin,,,1,0,545
545,30,0,0,0.65,255,MineSpiderSkinGreen,,,1,0,546
546,45,0,0,1.05,255,GhoulSkinRed,,,1,0,547
547,45,0,0,1.2,255,GhoulSkinBlue,,,1,0,548
548,71,0,0,1.3,255,HarvestGolemSkinBlue,HarvestGolemBitsBlue,,1,0,549
549,69,0,0,0.6,255,RockElementalSkinBrown,,,1,0,550
550,10,0,0,0.9,255,ShadowHideGnollWhelpSkin,,,1,0,551
551,10,0,0,1.2,255,RedRidgeGnollWhelpSkin,,,1,0,553
553,112,0,0,1.3,255,BlackRockClanOrcWarriorSkin,,,1,0,555
555,16,0,0,1.1,255,HumanThiefSkin_var3,,,1,0,556
556,74,0,0,1,255,HumanMalePeasantskinblack,,,1,0,557
557,43,0,0,1.1,255,WolfSkinCoyote,WolfSkinCoyoteAlpha,,1,0,558
558,10,0,0,1.5,255,RedRidgeGnollWhelpSkin,,,1,0,559
559,45,0,0,1.1,255,GhoulSkinGrey,,,1,0,560
560,96,0,0,0.9,255,HumanFemaleMerchant01,,,1,0,561
561,22,0,0,0.9,255,,,,1,0,563
563,44,0,0,1.1,255,WargenSkinBlack,,,1,0,564
564,44,0,0,1.2,255,WargenSkinWhite,,,1,0,565
565,113,0,0,1.1,255,BlackRockClanOrcRunnerSkin,,,1,0,566
566,63,0,0,0.9,255,TarantulaSkinBrown,,,1,0,567
567,16,0,0,1.1,255,HumanThiefSkin_var6,,,1,0,568
568,11,0,0,1.2,255,GrellSkinBlue,,,0,0,569
569,45,0,0,1.1,255,GhoulSkinBlue,,,1,0,570
570,45,0,0,1.1,255,GhoulSkinRed,,,1,0,571
571,45,0,0,1.4,255,GhoulSkinWhite,,,1,0,574
574,44,0,0,1.1,255,WargenSkinWhite,,,1,0,575
