ID,Flags,ModelName,SizeClass,ModelScale,BloodID,FootprintTextureID,FootprintTextureLength,FootprintTextureWidth,FootprintParticleScale,FoleyMaterialID,FootstepShakeSize,DeathThudShakeSize,SoundID,CollisionWidth,CollisionHeight
513,0,Creature\ElementalPoison\PoisonElemental.mdx,1,1,-1,-1,0,0,0,0,0,0,449,7.44E-43,0
531,0,Creature\NagaFemale\Siren.mdx,1,1,-1,-1,0,0,0,0,0,0,468,7.72E-43,0
551,0,Creature\FelGuard\FelGuard.mdx,1,1,-1,-1,0,0,0,0,0,0,488,7.74E-43,0
552,0,Creature\UndeadHorse\UndeadHorse.mdx,1,1,-1,6,12,18,1,0,0,0,428,8E-43,1E-45
571,1,Creature\Drake\Drake.mdx,2,1,1,4,18,12,1,0,0,0,508,8.28E-43,4E-45
591,3,Creature\AirElemental\AirElemental.mdx,1,1,-1,-1,18,12,1,0,0,0,528,8.56E-43,1E-45
611,1,Creature\Parrot\Parrot.mdx,0,1,-1,4,0,0,0,0,0,0,548,8.84E-43,0
631,0,Creature\Cat\Cat.mdx,0,1,1,7,4,3,1,0,0,0,568,9.12E-43,1E-45
651,1,Creature\Parrot\Parrot.mdx,0,1,1,-1,18,12,1,0,0,0,61,9.4E-43,4E-45
671,3,Creature\GnomeSpidertank\GnomeSpiderTank.mdx,2,1,3,-1,1,1,1,0,0,0,588,9.68E-43,4E-45
691,3,Creature\ElementalPoison\PoisonElemental.mdx,1,1,-1,-1,18,12,1,0,0,0,449,9.7E-43,0
692,0,Creature\StoneKeeper\StoneKeeper.mdx,3,1,-1,1,18,12,1,0,1,12,608,9.96E-43,0
711,0,Creature\Kodobeast\KodoBeastTame.mdx,3,1,1,1,18,12,1,0,1,10,628,9.98E-43,4E-45
712,3,Creature\Spells\LandMine01.mdx,0,1,-1,1,0,0,0,0,0,0,629,1.024E-42,0
731,0,Creature\MountedDeathKnight\MountedDeathKnight.mdx,1,1,-1,6,0,0,0,0,0,0,648,1.052E-42,0
751,0,Creature\MechaStrider\MechaStrider.mdx,0,1,-1,4,18,12,1,0,0,0,688,1.08E-42,0
771,0,Creature\GnomeSpidertank\GnomeBot.mdx,2,1,-1,-1,1,1,1,0,0,0,708,1.108E-42,0
791,0,Creature\Wyvern\Wyvern.mdx,2,1,1,-1,18,12,1,0,0,0,85,1.11E-42,0
792,0,Creature\Gryphon\Gryphon.mdx,2,1,1,-1,18,12,1,0,0,0,145,1.136E-42,3E-45
811,2,Creature\GnomeSpidertank\GnomeAlertBot.mdx,0,1,-1,-1,18,12,1,0,0,0,728,1.164E-42,6E-45
831,4,Character\Goblin\Male\GoblinMale.mdx,1,1,1,1,12,10,1,0,0,0,294,1.166E-42,6E-45
832,4,Character\Goblin\Female\GoblinFemale.mdx,1,1,1,1,12,10,1,0,0,0,294,1.193E-42,0
851,0,Creature\GnomeSpidertank\GnomeBomBot.mdx,0,1,-1,1,18,12,1,0,0,0,748,1.194E-42,0
852,0,Creature\GnomeSpidertank\GnomeMechaStrider.mdx,1,1,-1,1,18,12,1,0,0,0,749,1.195E-42,0
853,0,Creature\GnomeSpidertank\GnomePounder.mdx,2,1,-1,1,18,12,1,0,0,0,750,1E-45,3E-45
1,2,Creature\Basilisk\Basilisk.mdx,1,1,1,7,18,12,1,0,0,0,1,3E-45,3E-45
2,2,Creature\BogBeast\BogBeast.mdx,1,1,1,-1,18,12,1,0,0,0,2,4E-45,3E-45
3,2,Creature\Centaur\Centaur.mdx,1,1,1,-1,18,12,1,0,0,0,3,6E-45,3E-45
4,2,Creature\CrystalSpider\CrystalSpider.mdx,1,1,1,0,18,12,1,0,0,0,4,7E-45,3E-45
5,2,Creature\DarkHound\DarkHound.mdx,1,1,1,-1,18,12,1,0,0,0,5,8E-45,3E-45
6,2,Creature\DragonWhelp\DragonWhelp.mdx,0,1,1,-1,18,12,1,0,0,0,6,1E-44,3E-45
7,2,Creature\ForestSpider\ForestSpider.mdx,1,1,1,0,18,12,1,0,0,0,7,1.1E-44,3E-45
8,2,Creature\Furbolg\Furbolg.mdx,1,1,1,-1,18,12,1,0,0,0,8,1.3E-44,3E-45
9,2,Creature\Ghost\Ghost.mdx,1,1,1,-1,18,12,1,0,0,0,9,1.4E-44,3E-45
10,2,Creature\Gnoll\Gnoll.mdx,1,1,1,1,18,12,1,0,0,0,10,1.5E-44,3E-45
11,2,Creature\Grell\Grell.mdx,0,1,1,-1,18,12,1,0,0,0,11,1.7E-44,3E-45
12,2,Creature\Harpy\Harpy.mdx,1,1,1,-1,18,12,1,0,0,0,12,1.8E-44,3E-45
13,2,Creature\HUFMCitizenLow\HUFMCitizenLow.mdx,1,1,1,-1,18,12,1,0,0,0,13,2E-44,3E-45
14,2,Creature\HUFMCitizenMid\HUFMCitizenMid.mdx,1,1,1,-1,18,12,1,0,0,0,14,2.1E-44,3E-45
15,2,Creature\HUFMMerchant\HUFMMerchant.mdx,1,1,1,-1,18,12,1,0,0,0,15,2.2E-44,3E-45
16,2,Creature\HumanThief\HumanThief.mdx,1,1,1,-1,18,12,1,0,0,0,16,2.4E-44,3E-45
17,2,Creature\HUMLBlackSmith\HUMLBlackSmith.mdx,1,1,1,-1,18,12,1,0,0,0,17,2.5E-44,3E-45
