ID,EmotesTextID,RaceID,SexID,SoundID
51,14,8,1,7959
35,14,1,1,7951
36,14,1,0,7952
38,14,3,0,7948
41,14,7,1,7949
40,14,4,0,7954
39,14,4,1,7953
37,14,3,1,7947
43,14,7,0,7950
52,14,8,0,7960
50,14,6,0,7958
49,14,6,1,7957
48,14,5,0,7961
46,14,5,1,7962
45,14,2,0,7956
44,14,2,1,7955
293,19,1,0,6163
294,19,1,1,6135
301,19,5,0,6415
302,19,5,1,6406
306,19,7,1,6117
295,19,2,0,6361
296,19,2,1,6352
298,19,3,1,6095
299,19,4,0,6181
297,19,3,0,6108
300,19,4,1,6172
308,19,8,1,6388
307,19,8,0,6397
305,19,7,0,6126
304,19,6,1,6370
303,19,6,0,6379
233,21,3,0,2725
234,21,3,1,2737
235,21,4,0,2749
237,21,5,0,2773
243,21,8,0,2859
244,21,8,1,2871
242,21,7,1,2847
241,21,7,0,2835
240,21,6,1,2810
440,21,2,1,2713
439,21,2,0,2701
438,21,1,1,2689
239,21,6,0,2797
238,21,5,1,2785
236,21,4,1,2761
437,21,1,0,2677
373,26,1,0,6168
374,26,1,1,6141
376,26,2,1,6357
379,26,4,0,6186
378,26,3,1,6104
377,26,3,0,6113
375,26,2,0,6366
380,26,4,1,6177
388,26,8,1,6393
387,26,8,0,6402
386,26,7,1,6122
385,26,7,0,6131
384,26,6,1,6375
383,26,6,0,6384
382,26,5,1,6411
381,26,5,0,6420
277,55,1,0,6162
278,55,1,1,6134
280,55,2,1,6351
283,55,4,0,6180
282,55,3,1,6094
281,55,3,0,6107
279,55,2,0,6360
284,55,4,1,6171
292,55,8,1,6387
291,55,8,0,6396
290,55,7,1,6116
289,55,7,0,6125
288,55,6,1,6369
287,55,6,0,6378
286,55,5,1,6405
285,55,5,0,6414
325,66,1,0,6165
326,66,1,1,6137
328,66,2,1,6354
331,66,4,0,6183
330,66,3,1,6100
329,66,3,0,6110
327,66,2,0,6363
332,66,4,1,6174
340,66,8,1,6390
339,66,8,0,6399
338,66,7,1,6119
337,66,7,0,6128
336,66,6,1,6372
335,66,6,0,6381
334,66,5,1,6408
333,66,5,0,6417
309,67,1,0,6164
310,67,1,1,6136
312,67,2,1,6353
315,67,4,0,6182
314,67,3,1,6098
313,67,3,0,6109
311,67,2,0,6362
316,67,4,1,6173
321,67,7,0,6127
324,67,8,1,6389
323,67,8,0,6398
322,67,7,1,6118
320,67,6,1,6371
319,67,6,0,6380
318,67,5,1,6407
317,67,5,0,6416
29,85,6,0,7926
17,85,1,0,7914
18,85,3,0,7918
21,85,4,0,7916
23,85,7,0,7920
25,85,2,0,7922
27,85,5,0,7928
30,85,8,1,7923
31,85,8,0,7924
28,85,6,1,7925
26,85,5,1,7927
24,85,2,1,7921
22,85,7,1,7919
20,85,4,1,7915
12,85,1,1,7894
19,85,3,1,7917
341,97,1,0,6166
350,97,5,1,6409
349,97,5,0,6418
348,97,4,1,6175
347,97,4,0,6184
346,97,3,1,6102
345,97,3,0,6111
344,97,2,1,6355
343,97,2,0,6364
342,97,1,1,6138
356,97,8,1,6391
355,97,8,0,6400
354,97,7,1,6120
353,97,7,0,6129
352,97,6,1,6373
351,97,6,0,6382
357,102,1,0,6167
358,102,1,1,6139
367,102,6,0,6383
366,102,5,1,6410
365,102,5,0,6419
364,102,4,1,6176
363,102,4,0,6185
362,102,3,1,6103
361,102,3,0,6112
360,102,2,1,6356
359,102,2,0,6365
372,102,8,1,6392
371,102,8,0,6401
370,102,7,1,6121
369,102,7,0,6130
368,102,6,1,6374
54,104,1,0,7968
53,104,1,1,7967
60,104,7,0,7966
67,104,8,1,7975
66,104,6,0,7974
65,104,6,1,7973
63,104,5,1,7977
62,104,2,0,7972
59,104,7,1,7965
58,104,4,0,7970
57,104,4,1,7969
56,104,3,0,7964
55,104,3,1,7963
68,104,8,0,7976
64,104,5,0,7978
61,104,2,1,7971
75,106,4,1,7933
78,106,2,0,7940
84,106,8,0,7944
79,106,5,1,7941
72,106,7,0,7938
81,106,6,1,7945
80,106,5,0,7942
77,106,2,1,7939
76,106,4,0,7934
74,106,1,0,7932
73,106,1,1,7931
71,106,7,1,7937
70,106,3,0,7936
69,106,3,1,7935
83,106,8,1,7943
82,106,6,0,7946
261,183,1,0,2679
264,183,2,1,2715
265,183,3,0,2727
267,183,4,0,2751
269,183,5,0,2775
271,183,6,0,2800
273,183,7,0,2837
275,183,8,0,2861
276,183,8,1,2873
274,183,7,1,2849
272,183,6,1,2812
270,183,5,1,2787
268,183,4,1,2763
266,183,3,1,2739
262,183,1,1,2691
263,183,2,0,2703
33,226,6,0,7930
34,226,6,1,7929
421,264,1,0,7634
424,264,2,1,7639
425,264,3,0,7636
427,264,4,0,7643
429,264,5,0,7644
431,264,6,0,7646
432,264,6,1,7647
430,264,5,1,7645
436,264,8,1,7649
435,264,8,0,7648
434,264,7,1,7640
433,264,7,0,7641
428,264,4,1,7642
426,264,3,1,7637
422,264,1,1,7635
423,264,2,0,7638
90,303,3,1,2728
96,303,6,1,2801
98,303,7,1,2838
99,303,8,0,2850
89,303,3,0,2716
88,303,2,1,2704
87,303,2,0,2692
86,303,1,1,2680
85,303,1,0,2668
100,303,8,1,2862
97,303,7,0,2826
95,303,6,0,2788
92,303,4,1,2752
93,303,5,0,2764
94,303,5,1,2776
91,303,4,0,2740
101,304,1,0,2669
109,304,5,0,2765
115,304,8,0,2851
114,304,7,1,2839
113,304,7,0,2827
112,304,6,1,2802
111,304,6,0,2789
116,304,8,1,2863
110,304,5,1,2777
108,304,4,1,2753
103,304,2,0,2693
105,304,3,0,2717
106,304,3,1,2729
107,304,4,0,2741
104,304,2,1,2705
102,304,1,1,2681
117,305,1,0,2670
125,305,5,0,2766
132,305,8,1,2864
131,305,8,0,2852
130,305,7,1,2840
129,305,7,0,2828
128,305,6,1,2803
127,305,6,0,2790
126,305,5,1,2778
124,305,4,1,2754
119,305,2,0,2694
121,305,3,0,2718
122,305,3,1,2730
123,305,4,0,2742
120,305,2,1,2706
118,305,1,1,2682
133,306,1,0,2671
141,306,5,0,2767
148,306,8,1,2865
147,306,8,0,2853
146,306,7,1,2841
145,306,7,0,2829
144,306,6,1,2804
143,306,6,0,2791
142,306,5,1,2779
140,306,4,1,2755
135,306,2,0,2695
137,306,3,0,2719
138,306,3,1,2731
139,306,4,0,2743
136,306,2,1,2707
134,306,1,1,2683
153,307,3,0,2720
152,307,2,1,2708
151,307,2,0,2696
150,307,1,1,2684
149,307,1,0,2672
154,307,3,1,2732
155,307,4,0,2744
156,307,4,1,2756
157,307,5,0,2768
158,307,5,1,2780
159,307,6,0,2792
160,307,6,1,2805
161,307,7,0,2830
162,307,7,1,2842
163,307,8,0,2854
164,307,8,1,2866
165,323,1,0,2673
166,323,1,1,2685
167,323,2,0,2697
168,323,2,1,2709
169,323,3,0,2721
180,323,8,1,2867
178,323,7,1,2843
177,323,7,0,2831
176,323,6,1,2806
175,323,6,0,2793
174,323,5,1,2781
170,323,3,1,2733
171,323,4,0,2745
179,323,8,0,2855
172,323,4,1,2757
173,323,5,0,2769
181,324,1,0,2674
182,324,1,1,2686
184,324,2,1,2710
186,324,3,1,2734
188,324,4,1,2758
190,324,5,1,2782
196,324,8,1,2868
195,324,8,0,2856
194,324,7,1,2844
193,324,7,0,2832
192,324,6,1,2807
191,324,6,0,2794
189,324,5,0,2770
187,324,4,0,2746
185,324,3,0,2722
183,324,2,0,2698
210,325,7,1,2845
198,325,1,1,2687
200,325,2,1,2711
202,325,3,1,2735
204,325,4,1,2759
206,325,5,1,2783
209,325,7,0,2833
208,325,6,1,2808
207,325,6,0,2795
205,325,5,0,2771
203,325,4,0,2747
201,325,3,0,2723
199,325,2,0,2699
197,325,1,0,2675
211,325,8,0,2857
212,325,8,1,2869
213,326,1,0,2676
214,326,1,1,2688
215,326,2,0,2700
216,326,2,1,2712
217,326,3,0,2724
218,326,3,1,2736
219,326,4,0,2748
220,326,4,1,2760
221,326,5,0,2772
227,326,8,0,2858
222,326,5,1,2784
223,326,6,0,2796
224,326,6,1,2809
225,326,7,0,2834
226,326,7,1,2846
228,326,8,1,2870
245,327,1,0,2678
246,327,1,1,2690
247,327,2,0,2702
248,327,2,1,2714
249,327,3,0,2726
250,327,3,1,2738
251,327,4,0,2750
252,327,4,1,2762
253,327,5,0,2774
254,327,5,1,2786
