ID,ReputationIndex,ReputationRaceMask[0],ReputationRaceMask[1],ReputationRaceMask[2],ReputationRaceMask[3],ReputationClassMask[0],ReputationClassMask[1],ReputationClassMask[2],ReputationClassMask[3],ReputationBase[0],ReputationBase[1],ReputationBase[2],ReputationBase[3],ReputationFlags[0],ReputationFlags[1],ReputationFlags[2],ReputationFlags[3],ParentFactionID,Description_lang[0]
510,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
511,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,
530,15,34,77,16,128,0,0,0,0,3100,-42000,500,4000,67,23,0,0,0,
531,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,
532,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,
549,24,255,0,0,0,0,0,0,0,2999,0,0,0,0,80,0,0,0,
550,26,255,0,0,0,0,0,0,0,2999,0,0,0,0,105,0,0,0,
551,25,255,0,0,0,0,0,0,0,2999,0,0,0,0,127,0,0,0,
569,33,255,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,
570,31,255,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,
571,32,255,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,
572,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,
573,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,
574,34,255,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,
575,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,
576,35,255,0,0,0,0,0,0,0,-3500,0,0,0,0,312,0,0,0,
577,28,255,0,0,0,0,0,0,0,500,0,0,0,169,331,0,0,0,
689,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,
409,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,
3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,
15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,
27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,
38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,
46,29,255,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,
54,18,13,178,64,0,0,0,0,0,3100,-42000,4000,0,469,463,0,0,0,
61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,
81,16,130,77,16,32,0,0,0,0,3100,-42000,500,4000,67,489,0,0,0,
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,
18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,
41,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,
56,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,
71,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,
82,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,
50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,
609,36,255,40,0,0,479,1024,0,0,0,2000,0,0,0,621,0,0,0,
629,37,255,0,0,0,0,0,0,0,500,0,0,0,0,637,0,0,0,
670,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,
672,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,
678,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,
679,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,
72,19,76,178,1,0,0,0,0,0,3100,-42000,4000,0,469,723,0,0,0,
309,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,
310,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,
311,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,
329,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,
349,5,255,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,
389,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,
429,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,
