ID,Datestamp,ContinentID,ZoneID,TextureID,TextureName,DoodadID[0],DoodadID[1],DoodadID[2],DoodadID[3],Density,Sound
841,20020423,0,9985,728885973,Tileset\Westwood\WestFallStrawBase.tga,-1,-1,-1,-1,0,5
838,20020423,0,9985,755811417,Tileset\Westwood\WestFallDirtBase.tga,-1,-1,-1,-1,0,0
840,20020423,0,9985,941670396,Tileset\Westwood\WestFallCropBase.tga,-1,-1,-1,-1,0,7
839,20020423,0,9985,1047783538,Tileset\Westwood\WestFallGrassBase.tga,-1,-1,-1,-1,0,5
2118,20031002,0,131072,-2081244478,Tileset\RedRidge\RedridgeStoneHighlight.TGA,-1,-1,-1,-1,0,0
2110,20031009,0,131072,-2006144263,Tileset\The Blasted Lands\BlastedLandsDirt01.TGA,-1,-1,-1,-1,0,0
2114,20031009,0,131072,-1709313344,Tileset\The Blasted Lands\BlastedLandsRockHighlight01.TGA,-1,-1,-1,-1,0,0
2113,20031118,0,131072,-866162749,Tileset\Swamp of Sorrows\SwampSorrowsRock02.tga,-1,-1,-1,-1,0,0
2116,20031002,0,131072,-820352411,Tileset\Swamp of Sorrows\SwampSorrowsMuckdark01.tga,-1,-1,-1,-1,0,0
2117,20031002,0,131072,-769722226,Tileset\The Blasted Lands\BlastedLandsBlack.tga,-1,-1,-1,-1,0,0
2112,20031118,0,131072,-551618936,Tileset\The Badlands\BadlandsRock.TGA,-1,-1,-1,-1,0,0
2115,20031009,0,131072,-218601444,Tileset\The Blasted Lands\BlastedLandsRockCrackHighlight.TGA,-1,-1,-1,-1,0,0
3797,20031009,0,131072,689694775,Tileset\Deadwind Pass\DeadwindPassShale.tga,-1,-1,-1,-1,0,0
3796,20031009,0,131072,991731445,Tileset\Deadwind Pass\DeadwindPassDirt.tga,-1,-1,-1,-1,0,0
2111,20031009,0,131072,1551789611,Tileset\Deadwind Pass\DeadwindPassRockBase.tga,-1,-1,-1,-1,0,0
925,20020730,0,131073,-2006144263,Tileset\The Blasted Lands\BlastedLandsDirt01.TGA,66,67,68,66,8,0
926,20020730,0,131073,-1709313344,Tileset\The Blasted Lands\BlastedLandsRockHighlight01.TGA,66,67,68,67,8,2
927,20020730,0,131073,-769722226,Tileset\The Blasted Lands\BlastedLandsBlack.tga,-1,-1,-1,-1,0,2
928,20020730,0,131073,-551618936,Tileset\The Badlands\BadlandsRock.TGA,-1,-1,-1,-1,0,2
922,20020730,0,131074,-2100400722,Tileset\Felwood\FelwoodCorrupt.TGA,-1,-1,-1,-1,0,2
921,20020730,0,131074,-2006144263,Tileset\The Blasted Lands\BlastedLandsDirt01.TGA,-1,-1,-1,-1,0,0
924,20020730,0,131074,-1709313344,Tileset\The Blasted Lands\BlastedLandsRockHighlight01.TGA,-1,-1,-1,-1,0,2
920,20020730,0,131074,-551618936,Tileset\The Badlands\BadlandsRock.TGA,-1,-1,-1,-1,0,2
923,20020730,0,131074,689694775,Tileset\Deadwind Pass\DeadwindPassShale.tga,69,70,71,72,8,2
918,20020730,0,131074,991731445,Tileset\Deadwind Pass\DeadwindPassDirt.tga,69,70,71,72,8,0
919,20020730,0,131074,1551789611,Tileset\Deadwind Pass\DeadwindPassRockBase.tga,-1,-1,-1,-1,0,2
1013,20031206,0,196608,-1979631862,Tileset\Elwynn\ElwynnRockBaseTest2.tga,-1,-1,-1,-1,0,2
886,20031002,0,196608,-1610282521,Tileset\Stranglethorn\StrangleThornRockCracked.tga,-1,-1,-1,-1,0,2
865,20031206,0,196608,-1540610489,Tileset\Aerie Peaks\AeriePeaksScrubBrushBase.tga,-1,-1,-1,-1,0,5
810,20031014,0,196608,-1239242266,Tileset\Westwood\WestFallCropBurned.tga,30,28,28,30,1,5
472,20031110,0,196608,-1207261478,Tileset\Westwood\WestFallSandBase.tga,20,19,18,23,3,7
499,20031206,0,196608,-1095065661,Tileset\Elwynn\ElwynnGrassBase.tga,27,16,27,17,8,5
494,20031110,0,196608,-856420698,Tileset\Westwood\WestFallCobbleStoneBase.tga,22,22,22,22,1,2
501,20031002,0,196608,-824663227,Tileset\Elwynn\ElwynnRockGravel.tga,-1,-1,-1,-1,0,2
809,20031014,0,196608,-769722226,Tileset\The Blasted Lands\BlastedLandsBlack.tga,-1,-1,-1,-1,0,2
1116,20031206,0,196608,-498877378,Tileset\Elwynn\ElwynnDirtBase2.tga,-1,-1,-1,-1,0,0
822,20031002,0,196608,-326924746,Tileset\Stranglethorn\StrangleThornGrass.tga,-1,-1,-1,-1,0,5
503,20031206,0,196608,-92794705,Tileset\Elwynn\ElwynnFlowerBase.tga,27,16,27,17,8,5
474,20031110,0,196608,-47374851,Tileset\Westwood\WestFallRubbleBase.tga,22,21,22,21,3,2
