ID,ModelName[0],ModelName[1],ModelTexture[0],ModelTexture[1],InventoryIcon,GeosetGroup[0],GeosetGroup[1],GeosetGroup[2],Flags,SpellVisualID,GroupSoundIndex,HelmetGeosetVisID[0],HelmetGeosetVisID[1],Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Texture[6],Texture[7],ItemVisual
976,,,,,INV_Gauntlets_04,0,0,0,0,0,11,0,0,,Mail_A_01_Glove_AL,Mail_A_01_Glove_HA,,,,,,0
977,,,,,INV_Chest_Chain,0,0,0,0,0,11,0,0,,,,Mail_A_01_Chest_TU,Mail_A_01_Chest_TL,,,,0
981,,,,,INV_Misc_Bag_02,0,0,0,0,0,18,0,0,,,,,,,,,0
983,,,,,INV_Potion_09,0,0,0,0,0,17,0,0,,,,,,,,,0
989,,,,,INV_Chest_Wolf,0,0,0,0,0,7,0,0,,,,Leather_B_02_Chest_TU,Leather_B_02_Chest_TL,,,,0
992,,,,,INV_Scroll_01,0,0,0,0,0,19,0,0,,,,,,,,,0
993,,,,,INV_Misc_Food_06,0,0,0,0,0,15,0,0,,,,,,,,,0
994,,,,,INV_Misc_Food_07,0,0,0,0,0,15,0,0,,,,,,,,,0
999,,,,,INV_Misc_Ale_01,0,0,0,0,0,13,0,0,,,,,,,,,0
1006,,,,,INV_Jewelry_Ring_02,0,0,0,0,0,7,0,0,,,,,,,,,0
1007,,,,,INV_Misc_Net_01,0,0,0,0,0,16,0,0,,,,,,,,,0
1011,,,,,INV_Gauntlets_05,0,0,0,0,0,7,0,0,,Cloth_R_02_Glove_AL,HARobeLightGlove01,,,,,,0
1012,,,,,INV_Jewelry_Amulet_02,0,0,0,0,0,0,0,0,,,,,,,,,0
1013,,,,,INV_Scroll_02,0,0,0,0,0,19,0,0,,,,,,,,,0
1017,,,,,INV_Gauntlets_05,1,0,0,0,0,7,0,0,,Leather_B_01_Bracer_AL,Leather_B_01_Glove_HA,,,,,,0
1019,,,,,INV_Chest_Chain,0,0,0,0,0,11,0,0,Mail_B_01_Sleeve_AU,,,Mail_B_01_Chest_TU,Mail_B_01_Chest_TL,,,,0
1020,,,,,INV_Boots_01,1,0,0,0,0,11,0,0,,,,,,,Mail_B_01_Boot_LL,Mail_B_01_Boot_FO,0
1022,Hammer_1H_War_D_01.mdl,,Hammer_1H_War_D_01_V01,,INV_Hammer_04,0,0,0,0,0,8,0,0,,,,,,,,,0
1025,,,,,INV_Misc_Bag_05,0,0,0,0,0,18,0,0,,,,,,,,,0
1026,,,,,INV_Potion_09,0,0,0,0,0,17,0,0,,,,,,,,,0
1028,,,,,INV_Jewelry_Ring_02,0,0,0,0,0,0,0,0,,Leather_A_02_Bracer_AL,,,,,,,0
