ID,Name_lang[0],ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],SetSpellID[0],SetSpellID[1],SetSpellID[2],SetSpellID[3],SetSpellID[4],SetSpellID[5],SetSpellID[6],SetSpellID[7],SetThreshold[0],SetThreshold[1],SetThreshold[2],SetThreshold[3],SetThreshold[4],SetThreshold[5],SetThreshold[6],SetThreshold[7],RequiredSkill,RequiredSkillRank
101,[PH] Shining Dawn Cloth,0,0,0,0,0,0,0,983042,13740,13728,13788,13776,13764,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Spider's Kiss,0,0,0,0,0,0,0,983042,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,[PH] Shining Dawn Leather,0,0,0,0,0,0,0,983042,13791,13735,13803,13779,13766,13748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,[PH] Shining Dawn Mail,0,0,0,0,0,0,0,983042,13806,13747,13782,13794,13736,13769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,[PH] Brilliant Dawn Plate,0,0,0,0,0,0,0,983042,13743,13771,13731,13807,13795,13783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,[PH] Rising Dawn Plate,0,0,0,0,0,0,0,983042,13744,13772,13734,13808,13796,13784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,[PH] Rising Dawn Cloth,0,0,0,0,0,0,0,983042,13739,13726,13787,13775,13763,13799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,[PH] Rising Dawn Leather,0,0,0,0,0,0,0,983042,13790,13732,13802,13778,13767,13749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,[PH] Rising Dawn Mail,0,0,0,0,0,0,0,983042,13805,13746,13781,13793,13733,13770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,[PH] Brilliant Dawn Mail,0,0,0,0,0,0,0,983042,13804,13742,13780,13792,13730,13768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,[PH] Brilliant Dawn Leather,0,0,0,0,0,0,0,983042,13789,13729,13801,13777,13765,13741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,[PH] Brilliant Dawn Cloth,0,0,0,0,0,0,0,983042,13738,13727,13786,13774,13762,13798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Cadaverous Garb,0,0,0,0,0,0,0,983042,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Embrace of the Viper,0,0,0,0,0,0,0,983042,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Chain of the Scarlet Crusade,0,0,0,0,0,0,0,983042,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Dreadmist,0,0,0,0,0,0,0,983042,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Prophecy,0,0,0,0,0,0,0,983042,16811,16813,16817,16812,16814,16816,16815,16819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Might,0,0,0,0,0,0,0,983042,16864,16861,16865,16863,16866,16867,16868,16862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Nemesis,0,0,0,0,0,0,0,983042,16933,16927,16934,16928,16930,16931,16929,16932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Dragonstalker's,0,0,0,0,0,0,0,983042,16936,16935,16942,16940,16941,16939,16938,16937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Wrath,0,0,0,0,0,0,0,983042,16959,16966,16964,16963,16962,16961,16965,16960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Stormshroud Armor,0,0,0,0,0,0,0,983042,15056,15057,15058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,[PH] Shining Dawn Plate,0,0,0,0,0,0,0,983042,13745,13773,13737,13809,13797,13785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Defias Leather,0,0,0,0,0,0,0,983042,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Giantstalker,0,0,0,0,0,0,0,983042,16851,16849,16850,16845,16848,16852,16846,16847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Gladiator,0,0,0,0,0,0,0,983042,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Deathbone Guardian,0,0,0,0,0,0,0,983042,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Nightslayer,0,0,0,0,0,0,0,983042,16827,16824,16825,16820,16821,16826,16822,16823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Ten Storms,0,0,0,0,0,0,0,983042,16944,16943,16950,16945,16948,16949,16947,16946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dal'Rend's Arms,0,0,0,0,0,0,0,983042,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,The Postmaster,0,0,0,0,0,0,0,983042,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Necropile Raiment,0,0,0,0,0,0,0,983042,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Bloodmail Regalia,0,0,0,0,0,0,0,983042,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Volcanic Armor,0,0,0,0,0,0,0,983042,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Devilsaur Armor,0,0,0,0,0,0,0,983042,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Ironfeather Armor,0,0,0,0,0,0,0,983042,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Magister's,0,0,0,0,0,0,0,983042,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Devotion,0,0,0,0,0,0,0,983042,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Shadowcraft,0,0,0,0,0,0,0,983042,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Wildheart,0,0,0,0,0,0,0,983042,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Beaststalker's,0,0,0,0,0,0,0,983042,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Elements,0,0,0,0,0,0,0,983042,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Lightforge Armor,0,0,0,0,0,0,0,983042,16723,16725,16722,16726,16724,16728,16729,16727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Valor,0,0,0,0,0,0,0,983042,16736,16734,16735,16730,16737,16731,16732,16733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Arcanist,0,0,0,0,0,0,0,983042,16802,16799,16795,16800,16801,16796,16797,16798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Felheart,0,0,0,0,0,0,0,983042,16806,16804,16805,16810,16809,16807,16808,16803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Cenarion,0,0,0,0,0,0,0,983042,16828,16829,16830,16833,16831,16834,16835,16836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Earthfury,0,0,0,0,0,0,0,983042,16838,16837,16840,16841,16844,16839,16842,16843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Lawbringer Armor,0,0,0,0,0,0,0,983042,16858,16859,16857,16853,16860,16854,16855,16856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Netherwind,0,0,0,0,0,0,0,983042,16818,16918,16912,16914,16917,16913,16915,16916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Transcendence,0,0,0,0,0,0,0,983042,16925,16926,16919,16921,16920,16922,16924,16923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Bloodfang Armor,0,0,0,0,0,0,0,983042,16910,16906,16911,16905,16907,16908,16909,16832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Stormrage,0,0,0,0,0,0,0,983042,16903,16898,16904,16897,16900,16899,16901,16902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Judgment Armor,0,0,0,0,0,0,0,983042,16952,16951,16958,16955,16956,16954,16957,16953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
