ID,Name_lang,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],ItemID[24],ItemID[25],ItemID[26],ItemID[27],ItemID[28],ItemID[29],ItemID[30],ItemID[31],ItemID[32],ItemID[33],ItemID[34],ItemID[35],ItemID[36],ItemID[37],ItemID[38],ItemID[39],ItemID[40],ItemID[41],ItemID[42],ItemID[43],ItemID[44],ItemID[45],ItemID[46],ItemID[47],ItemID[48],ItemID[49],ItemID[50],ItemID[51],ItemID[52],ItemID[53],ItemID[54],ItemID[55],SetSpellID[0],SetSpellID[1],SetSpellID[2],SetSpellID[3],SetSpellID[4],SetSpellID[5],SetSpellID[6],SetSpellID[7],SetThreshold[0],SetThreshold[1],SetThreshold[2],SetThreshold[3],SetThreshold[4],SetThreshold[5],SetThreshold[6],SetThreshold[7]
141,Volcanic Armor,0,0,0,0,0,0,0,2031646,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9233,0,0,0,0,0,0,0
143,Devilsaur Armor,0,0,0,0,0,0,0,2031646,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15465,0,0,0,0,0,0
184,Shadowcraft Armor,0,0,0,0,0,0,0,2031646,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7573,13669,7597,15465,21012,0,0,0
185,Wildheart Raiment,0,0,0,0,0,0,0,2031646,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14464,14489,17371,13605,9411,14626,0,0
186,Beaststalker Armor,0,0,0,0,0,0,0,2031646,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20877,7569,7581,7597,20987,21013,22188,0
187,The Elements,0,0,0,0,0,0,0,2031646,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764,14546,14585,14626,14462,17371,21014,0
188,Lightforge Armor,0,0,0,0,0,0,0,2031646,16723,16725,16722,16726,16724,16728,16729,16727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7679,18074,20858,18677,20710,20705,0,0
189,Battlegear of Valor,0,0,0,0,0,0,0,2031646,16736,16734,16735,16730,16737,16731,16732,16733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764,9331,20887,20885,20884,0,0,0
201,Arcanist Regalia,0,0,0,0,0,0,0,2031646,16802,16799,16795,16800,16801,16796,16797,16798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23546,21247,23545,0,0,0,0,0
203,Felheart Raiment,0,0,0,0,0,0,0,2031646,16806,16804,16805,16810,16809,16807,16808,16803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23554,21741,23553,0,0,0,0,0
