ID,Slot[0],Slot[1],Slot[2],Slot[3],Slot[4]
102,122,122,122,122,122
103,123,123,123,123,123
61,0,0,0,81,0
81,0,0,0,101,0
125,125,125,125,125,125
129,147,147,147,147,147
133,0,0,0,151,0
1,0,0,0,42,0
2,62,62,62,62,62
25,45,45,45,45,45
24,1,1,1,1,1
26,0,0,0,0,46
27,3,3,3,3,3
28,90148992,0,0,455344256,47
29,48,48,48,48,48
30,49,48,48,48,48
31,50,50,50,50,50
32,0,0,0,51,0
33,0,0,0,52,0
128,146,146,146,146,146
42,2,2,2,2,2
132,0,0,0,150,0
131,0,0,0,149,0
101,121,121,121,121,121
104,124,124,124,124,124
105,141,141,141,141,141
106,126,126,126,126,126
107,127,127,127,127,127
126,144,144,144,144,144
127,145,145,145,145,145
123,142,142,142,142,142
124,143,143,143,143,143
130,148,148,148,148,148
134,0,0,0,152,0
