ID,Name_lang[0],MinLevel,MaxLevel,TypeID,Faction
9,Blackfathom Deeps,0,0,0,0
27,Sunken Temple,0,0,0,0
39,Stratholme,0,0,0,0
2,Scholomance,0,0,0,0
3,Ragefire Chasm,0,0,0,0
1,Wailing Caverns,0,0,0,0
37,Dire Maul - North,0,0,0,0
5,Deadmines,0,0,0,0
11,Stormwind Stockades,0,0,0,0
31,Lower Blackrock Spire,0,0,0,0
29,Blackrock Depths,0,0,0,0
25,Maraudon,0,0,0,0
23,Zul'Farak,0,0,0,0
21,Uldaman,0,0,0,0
19,Razorfen Downs,0,0,0,0
17,Scarlet Monastery,0,0,0,0
15,Razorfen Kraul,0,0,0,0
13,Gnomeregan,0,0,0,0
35,Dire Maul - West,0,0,0,0
33,Dire Maul - East,0,0,0,0
7,Shadowfang Keep,0,0,0,0
43,Upper Blackrock Spire,0,0,0,0
41,Zul'Gurub,0,0,0,0
45,Onyxia,0,0,0,0
49,Blackwing Lair,0,0,0,0
47,Molten Core,0,0,0,0
85,Hillsbrad Foothills,0,0,0,0
91,Eastern Plaguelands,0,0,0,0
99,Durotar,0,0,0,0
67,Wetlands,0,0,0,0
71,Blasted Lands,0,0,0,0
75,Redridge Mountains,0,0,0,0
79,Searing Gorge,0,0,0,0
77,Burning Steppes,0,0,0,0
65,Loch Modan,0,0,0,0
63,Dun Morogh,0,0,0,0
61,Duskwood,0,0,0,0
59,Westfall,0,0,0,0
57,Elwynn Forest,0,0,0,0
119,Silithus,0,0,0,0
115,Tanaris,0,0,0,0
109,Desolace,0,0,0,0
105,Stonetalon Mountains,0,0,0,0
101,Mulgore,0,0,0,0
97,Alterac Mountains,0,0,0,0
95,Silverpine Forest,0,0,0,0
89,Western Plaguelands,0,0,0,0
81,Badlands,0,0,0,0
87,Hinterlands,0,0,0,0
83,Arathi Highlands,0,0,0,0
107,Thousand Needles,0,0,0,0
93,Tirisfal Glades,0,0,0,0
131,Winterspring,0,0,0,0
129,Azshara,0,0,0,0
127,Felwood,0,0,0,0
125,Ashenvale Forest,0,0,0,0
123,Darkshore,0,0,0,0
73,Swamp of Sorrows,0,0,0,0
69,Stranglethorn Vale,0,0,0,0
103,The Barrens,0,0,0,0
111,Feralas,0,0,0,0
113,Dustwallow Marsh,0,0,0,0
117,Un'goro Crater,0,0,0,0
121,Teldrassil,0,0,0,0
51,Alterac Valley,0,0,0,0
53,Warsong Gulch,0,0,0,0
55,Arathi Basin,0,0,0,0
