ID,PathID,Locx[0],Locx[1],Locx[2],Locx[3],Locx[4],Locx[5],Locx[6],Locx[7],Locy[0],Locy[1],Locy[2],Locy[3],Locy[4],Locy[5],Locy[6],Locy[7],LegIndex
101,241,0.534392,0.652557,0,0,0,0,0,0,0.376238,0.19604,0,0,0,0,0,0,0
102,241,0.679012,0.525573,0,0,0,0,0,0,0.223762,0.251485,0,0,0,0,0,0,1
123,285,0.571429,0.439153,0,0,0,0,0,0,0.384158,0.423762,0,0,0,0,0,0,0
124,285,0.439153,0.574956,0,0,0,0,0,0,0.417822,0.362376,0,0,0,0,0,0,1
143,301,0.749559,0.768959,0.779541,0.744268,0.768959,0,0,0,0.30099,0.4,0.522772,0.621782,0.704951,0,0,0,0
144,301,0.779541,0.740741,0.693122,0.663139,0.675485,0,0,0,0.706931,0.631683,0.524752,0.394059,0.285149,0,0,0,1
145,292,0.693122,0.610229,0.546737,0.455026,0.368607,0,0,0,0.540594,0.481188,0.4,0.382178,0.40396,0,0,0,0
146,292,0.359788,0.421517,0.506173,0.585538,0.670194,0,0,0,0.419802,0.546535,0.590099,0.560396,0.528713,0,0,0,1
147,295,0.687831,0.617284,0.536155,0.414462,0.285714,0.215168,0,0,0.540594,0.607921,0.69901,0.788119,0.833663,0.792079,0,0,0
148,295,0.186949,0.285714,0.363316,0.412698,0.502645,0.589065,0.686067,0,0.768317,0.837624,0.790099,0.677228,0.59802,0.562376,0.540594,0,1
163,302,0.366843,0.474427,0.550265,0.638448,0,0,0,0,0.566337,0.631683,0.685149,0.734653,0,0,0,0,0
164,302,0.719577,0.680776,0.622575,0.52381,0.458554,0.366843,0,0,0.774257,0.79802,0.786139,0.681188,0.619802,0.564356,0,0,1
