ID,Type[0],Type[1],Type[2],Type[3],Index[0],Index[1],Index[2],Index[3],Skill[0],Skill[1],Skill[2],Skill[3],Action[0],Action[1],Action[2],Action[3]
239,1,0,0,0,6783,0,0,0,0,0,0,0,0,0,0,0
259,0,2,2,0,0,13,2,0,0,0,0,0,0,0,0,0
279,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2,2,2,2,0,1,5,6,0,25,0,0,0,1,0,0,0
4,2,2,2,0,1,5,6,0,50,0,0,0,1,0,0,0
5,2,2,2,0,1,5,6,0,1,0,0,0,1,0,0,0
8,2,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0
9,2,0,0,0,2,0,0,0,50,0,0,0,0,0,0,0
10,2,0,0,0,2,0,0,0,75,0,0,0,0,0,0,0
11,2,0,0,0,2,0,0,0,100,0,0,0,0,0,0,0
12,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
13,0,2,0,0,0,4,0,0,0,50,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,2629,0,0,0,0,0,0,0,0,0,0,0
17,2,2,2,0,1,5,6,0,75,0,0,0,1,0,0,0
18,2,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0
19,2,0,0,0,3,0,0,0,50,0,0,0,0,0,0,0
20,2,0,0,0,3,0,0,0,75,0,0,0,0,0,0,0
21,2,0,0,0,3,0,0,0,100,0,0,0,0,0,0,0
22,2,0,0,0,3,0,0,0,125,0,0,0,0,0,0,0
23,2,2,2,0,1,5,6,0,25,0,0,0,1,0,0,0
24,2,2,2,0,1,5,6,0,50,0,0,0,1,0,0,0
25,2,0,0,0,3,0,0,0,150,0,0,0,0,0,0,0
26,2,0,0,0,2,0,0,0,125,0,0,0,0,0,0,0
27,2,0,0,0,2,0,0,0,150,0,0,0,0,0,0,0
29,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0
31,2,0,0,0,2,0,0,0,70,0,0,0,0,0,0,0
32,2,0,0,0,2,0,0,0,115,0,0,0,0,0,0,0
33,2,0,0,0,2,0,0,0,120,0,0,0,0,0,0,0
34,2,0,0,0,2,0,0,0,130,0,0,0,0,0,0,0
35,2,0,0,0,2,0,0,0,140,0,0,0,0,0,0,0
36,1,2,2,0,3467,1,0,0,0,100,0,0,0,0,0,0
37,1,2,0,0,3499,1,0,0,0,100,0,0,0,0,0,0
38,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,3,0,0,0,65,0,0,0,0,0,0,0
40,2,0,0,0,3,0,0,0,75,0,0,0,0,0,0,0
41,2,0,0,0,3,0,0,0,100,0,0,0,0,0,0,0
42,2,0,0,0,3,0,0,0,155,0,0,0,0,0,0,0
43,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,3710,0,0,0,0,0,0,0,0,0,0,0
45,2,0,0,0,2,0,0,0,125,0,0,0,0,0,0,0
46,1,0,0,0,3745,0,0,0,0,0,0,0,0,0,0,0
47,2,0,0,0,2,0,0,0,160,0,0,0,0,0,0,0
48,2,0,0,0,2,0,0,0,215,0,0,0,0,0,0,0
