ID,Directory,InstanceType,MapType,MapName_lang[0],MinLevel,MaxLevel,MaxPlayers,Unk0,Unk1,Unk2,ParentMapID,MapDescription0_lang[0],MapDescription1_lang[0],LoadingScreenID,RaidOffset,Continentname,Unk4
429,DireMaul,0,10,,0,0,0,0,0,0,983042,,,-1,0,0,2557
169,EmeraldDream,0,33,,0,0,0,0,0,0,983058,,,-1,0,0,0
209,TanarisInstance,0,63,,0,0,0,0,0,0,983058,,,-1,0,0,0
309,Zul'gurub,0,74,,0,0,0,0,0,0,983058,,,-1,0,0,0
329,Stratholme,0,84,,0,0,0,0,0,0,983058,,,-1,0,0,0
369,DeeprunTram,0,107,,0,0,0,0,0,0,983042,,,-1,0,0,2257
389,OrgrimmarInstance,0,120,,0,0,0,0,0,0,983042,,,-1,0,0,2437
0,Azeroth,0,146,,0,0,0,0,0,0,983042,,,-1,0,0,0
1,Kalimdor,0,163,,0,0,0,0,0,0,7274514,,,-1,0,0,0
13,test,0,177,,0,0,0,0,0,0,7274514,,,-1,0,0,0
25,ScottTest,0,195,,0,0,0,0,0,0,7274514,,,-1,0,0,0
29,Test,0,211,,0,0,0,0,0,0,7274514,,,-1,0,0,0
30,PVPZone01,1,220,,0,0,0,0,0,0,7274514,,,-1,0,0,0
33,Shadowfang,0,230,,0,0,0,0,0,0,7274514,,,-1,0,0,0
34,StormwindJail,0,241,,0,0,0,0,0,0,7274514,,,-1,0,0,717
35,StormwindPrison,0,255,,0,0,0,0,0,0,7274514,,,-1,0,0,717
36,DeadminesInstance,0,271,,0,0,0,0,0,0,7274514,,,-1,0,0,0
37,PVPZone02,1,289,,0,0,0,0,0,0,7274514,Dire Maul,EmeraldDream,0,-978778112,-986431488,0
42,Collin,0,375,,0,0,0,0,0,0,7274514,,,-1,0,0,0
43,WailingCaverns,0,404,,0,0,0,0,0,0,7274514,,,-1,0,0,718
44,Monastery,0,437,,0,0,0,0,0,0,7274514,,,-1,0,0,0
47,RazorfenKraulInstance,0,477,,0,0,0,0,0,0,7274514,,,-1,0,0,0
48,Blackfathom,0,503,,0,0,0,0,0,0,7274514,,,-1,0,0,719
109,SunkenTemple,0,537,,0,0,0,0,0,0,7274498,,,-1,0,0,1477
70,Uldaman,0,566,,0,0,0,0,0,0,7274514,,,-1,0,0,1337
90,GnomeragonInstance,0,583,,0,0,0,0,0,0,7274514,,,-1,0,0,721
129,RazorfenDowns,0,616,,0,0,0,0,0,0,7274514,,,-1,0,0,0
249,OnyxiaLairInstance,0,657,,0,0,0,0,0,0,983042,,,-1,0,0,2159
289,SchoolofNecromancy,0,698,,0,0,0,0,0,0,983058,,,-1,0,0,0
409,MoltenCore,0,730,,0,0,0,0,0,0,983042,,,-1,0,0,2717
469,BlackwingLair,0,756,,0,0,0,0,0,0,983042,,,-1,0,0,0
189,MonasteryInstances,0,771,,0,0,0,0,0,0,983058,,,-1,0,0,0
269,CavernsOfTime,0,804,,0,0,0,0,0,0,983058,,,-1,0,0,0
229,BlackRockSpire,0,835,,0,0,0,0,0,0,983042,,,0,0,0,1583
230,BlackrockDepths,0,876,,0,0,0,0,0,0,983042,,,0,0,0,1584
349,Mauradon,0,901,,0,0,0,0,0,0,983042,,,-1,0,0,2100
449,AlliancePVPBarracks,0,930,,0,0,0,0,0,0,983042,,,-1,0,0,0
450,HordePVPBarracks,0,969,,0,0,0,0,0,0,983042,,,-1,0,0,0
451,development,0,1000,,0,0,0,0,0,0,983042,,,-1,0,0,0
