"ID","Directory","InstanceType","PVP","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","AreaTableID","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","LoadingScreenID","RaidOffset","Field16","Field17"
"0","Azeroth","0","0","Eastern Kingdoms","","","","","","","","4128894","0","0","0","-1","0","0","0","","","","","","","","","4128894","","","","","","","","","4128894","4","0","1","1065353216"
"1","Kalimdor","0","0","Kalimdor","","","","","","","","8323198","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","3","0","1","1065353216"
"13","test","0","0","Testing","","","","","","","","8323198","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","0","0","1","1065353216"
"25","ScottTest","0","0","Scott Test","","","","","","","","8323198","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","0","0","1","1065353216"
"29","Test","1","0","CashTest","","","","","","","","8323198","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","0","0","1","1065353216"
"30","PVPZone01","3","1","Alterac Valley","","","","","","","","4128894","51","60","40","-1","1060991140","1051595899","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall�s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","4128894","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall�s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","4128894","104","0","0","1065353216"
"33","Shadowfang","1","0","Shadowfang Keep","","","","","","","","4128894","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","204","0","1","1065353216"
"34","StormwindJail","1","0","Stormwind Stockade","","","","","","","","4128894","0","0","0","-1","0","0","717","","","","","","","","","4128892","","","","","","","","","4128892","194","0","1","1065353216"
"35","StormwindPrison","0","0","<unused>StormwindPrison","","","","","","","","4128894","0","0","0","-1","0","0","717","","","","","","","","","4128892","","","","","","","","","4128892","23","0","1","1065353216"
"36","DeadminesInstance","1","0","Deadmines","","","","","","","","4128894","0","0","0","-1","0","0","0","","","","","","","","","4128892","","","","","","","","","4128892","142","0","1","1065353216"
