ID,CategoryID,SkillCostsID,DisplayName_lang,Description_lang
267,7,0,Protection,
8,7,0,Fire Magic,
46,6,0,Guns,
270,7,0,Pet - Talents,
413,8,0,Mail,
98,10,0,Language: Common,
125,9,0,Orc Racial,
315,10,0,Language: Troll,
139,10,0,Demon Tongue,
333,11,0,Enchanting,
152,9,0,Ram Riding,
354,7,0,Demonology,
355,7,0,Affliction,
356,9,0,Fishing,
165,11,0,Leatherworking,
134,7,0,Feral Combat,
373,7,0,Enhancement,
374,7,0,Restoration,
375,7,0,Elemental Combat,
414,8,0,Leather,
415,8,0,Cloth,
236,7,0,Pet - Scorpid,
237,7,0,Arcane,
533,9,0,Raptor Riding,
553,9,0,Mechanostrider Piloting,
554,9,0,Undead Horsemanship,
188,7,0,Pet - Imp,
203,7,0,Pet - Spider,
207,7,0,Pet - Doomguard,
215,7,0,Pet - Gorilla,
222,12,0,Weapon Talents,
233,12,0,Magic Talents,
261,7,0,Beast Training,
516,9,0,Demon Tracking,
517,9,0,Undead Tracking,
518,9,0,Dragon Tracking,
519,9,0,Elemental Tracking,
574,7,0,Balance,
171,11,0,Alchemy,
182,11,0,Herbalism,
256,7,0,Fury,
594,7,0,Holy,
633,7,0,Lockpicking,
654,7,0,Pet - Hyena,
655,7,0,Pet - Owl,
656,7,0,Pet - Wind Serpent,
393,11,0,Skinning,
513,9,0,Beast Tracking,
514,9,0,Humanoid Tracking,
109,10,0,Language: Orcish,
124,9,0,Tauren Racial,
433,8,0,Shield,
137,10,0,Thalassian,
473,6,0,Fist Weapons,
140,10,0,Titan,
149,9,0,Wolf Riding,
160,6,0,Two-Handed Maces,
230,12,0,Attribute Enhancements,
253,7,0,Assassination,
313,10,0,Language: Gnomish,
613,7,0,Discipline,
653,7,0,Pet - Bat,
6,7,0,Frost,
26,7,0,Arms,
38,7,0,Combat,
39,7,0,Subtlety,
40,7,0,Poisons,
43,6,0,Swords,
44,6,0,Axes,
45,6,0,Bows,
50,7,0,Beast Mastery,
51,7,0,Outdoorsmanship,
54,6,0,Maces,
55,6,0,Two-Handed Swords,
56,7,0,Holy,
78,7,0,Shadow Magic,
95,7,0,Defense,
101,9,0,Dwarven Racial,
111,10,0,Language: Dwarven,
113,10,0,Language: Darnassian,
115,10,0,Language: Taurahe,
118,6,0,Dual Wield,
126,9,0,Night Elf Racial,
129,9,0,First Aid,
136,6,0,Staves,
138,10,0,Draconic,
141,10,0,Old Tongue,
142,9,0,Survival,
148,9,0,Horse Riding,
150,9,0,Tiger Riding,
155,9,0,Swimming,
162,6,0,Unarmed,
163,7,0,Ranged Combat,
164,11,0,Blacksmithing,
172,6,0,Two-Handed Axes,
173,6,0,Daggers,
176,6,0,Thrown,
183,12,0,GENERIC (DND),
184,7,0,Combat,
185,9,0,Cooking,
186,11,0,Mining,
189,7,0,Pet - Felhunter,
197,11,0,Tailoring,
202,11,0,Engineering,
204,7,0,Pet - Voidwalker,
205,7,0,Pet - Succubus,
206,7,0,Pet - Infernal,
208,7,0,Pet - Wolf,
209,7,0,Pet - Cat,
210,7,0,Pet - Bear,
211,7,0,Pet - Boar,
212,7,0,Pet - Crocilisk,
213,7,0,Pet - Carrion Bird,
214,7,0,Pet - Crab,
217,7,0,Pet - Raptor,
218,7,0,Pet - Tallstrider,
220,9,0,Racial - Undead,
226,6,0,Crossbows,
227,6,0,Spears,
228,6,0,Wands,
229,6,0,Polearms,
231,12,0,Slayer Talents,
234,12,0,Defensive Talents,
593,7,0,Destruction,
573,7,0,Restoration,
251,7,0,Pet - Turtle,
257,7,0,Protection,
293,8,0,Plate Mail,
