ID,CategoryID,SkillCostsID,DisplayName_lang[0],Description_lang[0],SpellIconID
206,7,0,Pet - Infernal,,0
207,7,0,Pet - Doomguard,,0
208,7,0,Pet - Wolf,,0
209,7,0,Pet - Cat,,0
210,7,0,Pet - Bear,,0
211,7,0,Pet - Boar,,0
212,7,0,Pet - Crocilisk,,0
213,7,0,Pet - Carrion Bird,,0
214,7,0,Pet - Crab,,0
215,7,0,Pet - Gorilla,,0
216,7,0,Pet - Horse,,0
217,7,0,Pet - Raptor,,0
218,7,0,Pet - Tall Strider,,0
220,9,0,Racial - Undead,,0
222,12,0,Weapon Talents,,0
226,6,0,Crossbows,,0
227,6,0,Spears,,0
228,6,0,Wands,,0
229,6,0,Polearms,,0
230,12,0,Attribute Enhancements,,0
231,12,0,Slayer Talents,,0
233,12,0,Magic Talents,,0
234,12,0,Defensive Talents,,0
238,7,0,Pick Pockets,,0
239,7,0,Stealth,,0
242,9,0,Lockpicking,,0
246,7,0,Undead Mastery,,0
247,7,0,Sneaking,,0
273,7,0,Disengage,,0
251,7,0,Pet - Turtle,,0
253,7,0,Assassination,,0
254,7,0,Acrobatics,,0
256,7,0,Fury,,0
257,7,0,Protection,,0
260,7,0,Mend Pet,,0
261,7,0,Beast Training,,0
262,7,0,Expert Shots,,0
263,7,0,Fire Shots,,0
264,7,0,Frost Shots,,0
293,8,0,Plate Mail,,0
313,10,0,Language: Gnomish,,0
267,7,0,Auras,,0
268,7,0,Block,,0
269,7,0,Justice,,0
270,7,0,Pet - Talents,,0
413,8,0,Mail,,0
272,7,0,Growl,,0
315,10,0,Language: Troll,,0
333,11,0,Enchanting,,0
353,7,0,Soul Craft,,0
354,7,0,Demon Mastery,,0
355,7,0,Curses,,0
356,11,0,Fishing,,0
130,7,0,Conjuration,,0
134,7,0,Shapeshifting,,0
373,7,0,Air Magic,,0
374,7,0,Water Magic,,0
375,7,0,Earth Magic,,0
414,8,0,Leather,,0
415,8,0,Cloth,,0
236,7,0,Pet - Scorpion,,0
237,7,0,Arcane Magic,,0
533,9,0,Raptor Riding,,0
553,9,0,Mechanostrider Piloting,,0
554,9,0,Undead Horsemanship,,0
516,9,0,Demon Tracking,,0
517,9,0,Undead Tracking,,0
518,9,0,Dragon Tracking,,0
519,9,0,Elemental Tracking,,0
393,11,0,Skinning,,0
513,9,0,Beast Tracking,,0
514,9,0,Humanoid Tracking,,0
433,8,0,Shield,,0
434,8,0,Buckler,,0
473,6,0,Fist Weapons,,0
6,7,0,Frost Magic,,0
8,7,0,Fire Magic,,0
26,7,0,Arms,,0
38,7,0,Street Fighting,,0
39,7,0,Deception,,0
40,7,0,Poisons,,0
43,6,0,Swords,,0
44,6,0,Axes,,0
45,6,0,Bows,,0
46,6,0,Guns,,0
50,7,0,Beast Handling,,0
51,7,0,Tracking,,0
54,6,0,Maces,,0
55,6,0,Two-Handed Swords,,0
56,7,0,Holy Magic,,0
78,7,0,Shadow Magic,,0
95,7,0,Defense,,0
96,7,0,Nature Magic,,0
98,10,0,Language: Common,,0
101,9,0,Dwarven Racial,,0
109,10,0,Language: Orcish,,0
111,10,0,Language: Dwarven,,0
113,10,0,Language: Darnassian,,0
115,10,0,Language: Taurahe,,0
118,6,0,Dual Wield,,0
120,7,0,Summoning,,0
124,9,0,Tauren Racial,,0
125,9,0,Orc Racial,,0
126,9,0,Night Elf Racial,,0
129,9,0,First Aid,,0
136,6,0,Staves,,0
137,10,0,Thalassian,,0
138,10,0,Draconic,,0
139,10,0,Demon Tongue,,0
140,10,0,Titan,,0
141,10,0,Old Tongue,,0
142,9,0,Survival,,0
148,9,0,Horse Riding,,0
149,9,0,Wolf Riding,,0
150,9,0,Tiger Riding,,0
152,9,0,Ram Riding,,0
155,9,0,Swimming,,0
160,6,0,Two-Handed Maces,,0
162,6,0,Unarmed,,0
163,7,0,Combat Shots,,0
164,11,0,Blacksmithing,,0
165,11,0,Leatherworking,,0
171,11,0,Alchemy,,0
172,6,0,Two-Handed Axes,,0
173,6,0,Daggers,,0
176,6,0,Thrown,,0
182,11,0,Herbalism,,0
183,12,0,GENERIC (DND),,0
184,7,0,Holy Strikes,,0
185,11,0,Cooking,,0
186,11,0,Mining,,0
188,7,0,Pet - Imp,,0
189,7,0,Pet - Felhunter,,0
197,11,0,Tailoring,,0
198,7,0,Seals,,0
199,7,0,Spirit Magic,,0
202,11,0,Engineering,,0
203,7,0,Pet - Spider,,0
204,7,0,Pet - Voidwalker,,0
205,7,0,Pet - Succubus,,0
