ID,SkillLine,Spell,RaceMask,ClassMask,ExcludeRace,ExcludeClass,MinSkillLineRank,SupercededBySpell,AcquireMethod,TrivialSkillLineRankHigh,TrivialSkillLineRankLow,Abandonable,CharacterPoints[0],CharacterPoints[1]
69,6,116,0,128,0,0,1,0,0,0,0,0,472,6
472,6,205,0,128,0,0,1,0,0,0,0,0,751,6
751,6,865,0,128,0,0,1,0,0,0,0,0,1813,6
1813,6,837,0,128,0,0,1,0,0,0,0,0,474,6
474,6,122,0,128,0,0,1,0,0,0,0,0,3592,6
3592,6,10,0,128,0,0,1,0,0,0,0,0,5439,6
5439,6,10159,0,128,0,0,1,0,0,0,0,0,3822,6
3822,6,6141,0,128,0,0,1,0,0,0,0,0,4042,6
4042,6,6131,0,128,0,0,1,0,0,0,0,0,4705,6
4705,6,8461,0,128,0,0,1,0,0,0,0,0,4678,6
4678,6,8427,0,128,0,0,1,0,0,0,0,0,5995,6
5995,6,11426,0,0,0,0,1,0,0,0,0,0,4243,6
4243,6,7322,0,128,0,0,1,0,0,0,0,0,4242,6
4242,6,7320,0,128,0,0,1,0,0,0,0,0,4241,6
4241,6,7302,0,128,0,0,1,0,0,0,0,0,4226,6
4226,6,7301,0,128,0,0,1,0,0,0,0,0,4225,6
4225,6,7300,0,128,0,0,1,0,0,0,0,0,4224,6
4224,6,168,0,128,0,0,1,0,2,0,0,0,4671,6
4671,6,8408,0,128,0,0,1,0,0,0,0,0,4670,6
4670,6,8407,0,128,0,0,1,0,0,0,0,0,4669,6
4669,6,8406,0,128,0,0,1,0,0,0,0,0,5476,6
5476,6,10230,0,128,0,0,1,0,0,0,0,0,5472,6
5472,6,10220,0,128,0,0,1,0,0,0,0,0,5471,6
5471,6,10219,0,128,0,0,1,0,0,0,0,0,5455,6
5455,6,10187,0,128,0,0,1,0,0,0,0,0,5454,6
5454,6,10186,0,128,0,0,1,0,0,0,0,0,5453,6
5453,6,10185,0,128,0,0,1,0,0,0,0,0,5452,6
5452,6,10181,0,128,0,0,1,0,0,0,0,0,5451,6
5451,6,10180,0,128,0,0,1,0,0,0,0,0,5450,6
5450,6,10179,0,128,0,0,1,0,0,0,0,0,5449,6
5449,6,10177,0,128,0,0,1,0,0,0,0,0,5448,6
5448,6,8462,0,128,0,0,1,0,0,0,0,0,5441,6
5441,6,10161,0,128,0,0,1,0,0,0,0,0,4707,6
4707,6,120,0,128,0,0,1,0,0,0,0,0,3823,6
3823,6,6143,0,128,0,0,1,0,0,0,0,0,5440,6
5440,6,10160,0,128,0,0,1,0,0,0,0,0,4716,6
4716,6,8492,0,128,0,0,1,0,0,0,0,0,2976,8
2976,8,543,0,128,0,0,1,0,0,0,0,0,1331,8
1331,8,2121,0,128,0,0,1,0,0,0,0,0,1330,8
1330,8,2120,0,128,0,0,1,0,0,0,0,0,455,8
455,8,133,0,128,0,0,1,0,2,0,0,0,2286,8
2286,8,707,0,256,0,0,1,0,0,0,0,0,5597,8
5597,8,10448,0,64,0,0,1,0,0,0,0,0,5587,8
5587,8,10420,0,64,0,0,1,0,0,0,0,0,5586,8
5586,8,10419,0,64,0,0,1,0,0,0,0,0,5906,8
5906,8,11113,0,128,0,0,1,0,0,0,0,0,5593,8
5593,8,10438,0,64,0,0,1,0,0,0,0,0,5592,8
5592,8,10437,0,64,0,0,1,0,0,0,0,0,4673,8
