ID,SkillLine,Spell,RaceMask,ClassMask,ExcludeRace,ExcludeClass,MinSkillLineRank,SupercededBySpell,TrivialSkillLineRankHigh,TrivialSkillLineRankLow,Abandonable
69,6,116,0,128,0,0,1,0,0,0,0
472,6,205,0,128,0,0,1,0,0,0,0
474,6,122,0,128,0,0,1,0,0,0,0
1813,6,837,0,128,0,0,1,0,0,0,0
751,6,865,0,128,0,0,1,0,0,0,0
3592,6,10,0,128,0,0,1,0,0,0,0
3822,6,6141,0,128,0,0,1,0,0,0,0
3825,6,6148,0,128,0,0,1,0,0,0,0
4224,6,168,0,128,0,0,1,0,0,0,0
4243,6,7322,0,128,0,0,1,0,0,0,0
4242,6,7320,0,128,0,0,1,0,0,0,0
4241,6,7302,0,128,0,0,1,0,0,0,0
4226,6,7301,0,128,0,0,1,0,0,0,0
4225,6,7300,0,128,0,0,1,0,0,0,0
4042,6,6131,0,128,0,0,1,0,0,0,0
3823,6,6143,0,128,0,0,1,0,0,0,0
3663,6,765,0,128,0,0,1,0,0,0,0
455,8,133,0,128,0,0,1,0,0,0,0
1330,8,2120,0,128,0,0,1,0,0,0,0
1331,8,2121,0,128,0,0,1,0,0,0,0
460,8,143,0,128,0,0,1,0,0,0,0
470,8,145,0,128,0,0,1,0,0,0,0
2286,8,707,0,256,0,0,1,0,0,0,0
2285,8,348,0,256,0,0,1,0,0,0,0
2283,8,1456,0,256,0,0,1,0,0,0,0
2282,8,1455,0,256,0,0,1,0,0,0,0
2281,8,1454,0,256,0,0,1,0,0,0,0
2277,8,2866,0,64,0,0,1,0,0,0,0
2276,8,951,0,64,0,0,1,0,0,0,0
2275,8,923,0,64,0,0,1,0,0,0,0
2274,8,899,0,64,0,0,1,0,0,0,0
4314,8,1949,0,256,0,0,1,0,0,0,0
3860,8,6219,0,256,0,0,1,0,0,0,0
3605,8,5740,0,256,0,0,1,0,0,0,0
2976,8,543,0,128,0,0,1,0,0,0,0
2288,8,2941,0,256,0,0,1,0,0,0,0
2287,8,1094,0,256,0,0,1,0,0,0,0
2273,8,545,0,64,0,0,1,0,0,0,0
2272,8,315,0,64,0,0,1,0,0,0,0
1812,8,3140,0,128,0,0,1,0,0,0,0
4223,8,2138,0,128,0,0,1,0,0,0,0
4222,8,2137,0,128,0,0,1,0,0,0,0
4221,8,2136,0,128,0,0,1,0,0,0,0
1401,26,78,0,1,0,0,1,284,0,0,0
1402,26,284,0,1,0,0,1,285,0,0,0
3979,26,772,0,1,0,0,1,6546,0,0,0
3981,26,6547,0,1,0,0,1,6548,0,0,0
3983,26,6552,0,1,0,0,1,6554,0,0,0
4282,26,7402,0,1,0,0,1,0,0,0,0
4281,26,7400,0,1,0,0,1,7402,0,0,0
4276,26,694,0,1,0,0,1,7400,0,0,0
4273,26,7373,0,1,0,0,1,0,0,0,0
4272,26,7372,0,1,0,0,1,7373,0,0,0
3985,26,6555,0,1,0,0,1,0,0,0,0
3995,26,1715,0,1,0,0,1,7372,0,0,0
3984,26,6554,0,1,0,0,1,6555,0,0,0
