ID,SkillID,RaceMask,ClassMask,Flags,MinLevel,SkillTierID,SkillCostIndex
57,6,511,128,16,0,0,0
301,8,511,128,16,0,0,0
56,8,511,320,16,0,0,0
107,26,511,1,16,0,0,0
82,38,511,8,16,0,0,0
75,39,511,8,16,16,0,0
80,40,511,8,0,0,0,0
140,43,511,1,0,0,0,0
141,43,509,14,36,0,22,0
328,43,509,384,36,0,122,0
348,43,2,12,36,0,124,0
349,43,2,256,36,0,121,0
335,44,4,2,36,0,124,0
118,44,379,66,36,0,22,0
117,44,511,5,0,0,0,0
359,44,128,64,36,0,124,0
126,45,138,4,0,0,0,0
127,45,183,9,36,0,122,0
332,45,36,4,36,0,22,0
345,45,8,9,36,0,121,0
133,46,36,4,0,0,0,0
134,46,49,9,36,0,122,0
333,46,128,4,36,0,126,0
352,46,130,9,36,0,125,0
351,46,2,4,36,0,126,0
336,46,68,9,36,0,121,0
31,50,511,4,0,0,0,0
39,51,511,4,0,0,0,0
135,54,511,83,0,0,0,0
325,54,511,1032,36,0,22,0
125,55,509,7,36,0,22,0
350,55,2,5,36,0,124,0
58,56,511,18,16,0,0,0
302,78,511,256,16,0,0,0
60,78,511,16,16,0,0,0
4,95,511,1535,0,0,0,0
59,96,511,1024,16,0,0,0
40,98,93,1503,0,0,0,0
41,98,162,1503,32,0,21,0
68,101,4,1503,18,0,0,0
48,109,178,1503,0,0,0,0
49,109,77,1503,32,0,21,0
44,111,4,1503,0,0,0,0
45,111,507,1503,32,0,21,0
42,113,8,1503,0,0,0,0
43,113,503,1503,32,0,21,0
50,115,32,1503,0,0,0,0
51,115,479,1503,32,0,21,0
131,118,511,8,52,10,22,0
132,118,511,5,52,20,123,0
105,120,511,256,18,0,0,0
71,124,32,1503,18,0,0,0
70,125,2,1503,18,0,0,0
69,126,8,1503,18,0,0,0
86,129,511,1503,32,0,63,0
54,130,511,128,16,4,0,0
25,134,511,1024,16,10,0,0
138,136,511,1216,0,0,0,0
327,136,511,5,36,0,22,0
341,136,64,256,36,0,127,0
139,136,447,272,36,0,121,0
91,137,511,1503,32,0,21,0
85,138,511,1503,32,0,21,0
84,139,511,1503,32,0,21,0
93,140,511,1503,32,0,21,0
88,141,511,1503,32,0,21,0
90,142,511,1503,32,0,2,0
441,148,222,1503,32,0,182,0
87,148,1,1503,32,0,181,0
443,149,477,1503,32,0,182,0
94,149,2,1503,32,0,181,0
481,150,215,1503,32,0,182,0
92,150,8,1503,32,0,181,0
89,152,4,1503,32,0,181,0
442,152,219,1503,32,0,182,0
421,160,511,1024,0,0,121,0
124,160,479,1,36,0,22,0
354,160,32,1,36,0,124,0
123,160,511,2,0,0,0,0
6,162,511,1527,0,0,0,0
33,163,511,4,0,0,0,0
243,164,511,1503,32,0,41,0
245,165,511,1503,32,0,41,0
241,171,511,1503,32,0,41,0
122,172,507,5,36,0,22,0
334,172,4,5,36,0,124,0
130,173,447,128,36,0,121,0
339,173,64,128,36,0,127,0
343,173,8,1024,36,0,124,0
129,173,511,269,0,0,0,0
344,173,8,16,36,0,121,0
356,173,32,1088,36,0,126,0
323,173,471,1088,36,0,22,0
324,173,503,16,36,0,122,0
360,176,128,4,36,0,124,0
361,176,128,1,36,0,121,0
358,176,32,1,36,0,125,0
357,176,32,4,36,0,126,0
329,176,351,1,36,0,122,0
143,176,351,4,36,0,22,0
142,176,511,8,36,0,0,0
28,182,511,1503,32,0,2,0
5,183,511,1535,18,0,0,0
63,184,511,2,16,0,0,0
282,185,511,1503,32,0,61,0
29,186,511,1503,32,0,2,0
284,197,511,1503,32,0,62,0
65,198,511,2,16,0,0,0
97,199,511,64,16,0,0,0
244,202,511,1503,32,0,41,0
72,220,16,1503,18,0,0,0
128,226,511,4,36,0,22,0
322,226,511,9,36,0,122,0
346,227,40,5,36,0,124,0
338,227,68,5,36,0,126,0
347,227,40,1024,36,0,127,0
137,227,403,5,36,0,22,0
144,228,511,400,0,0,0,0
136,229,443,3,36,40,122,0
337,229,68,3,36,40,125,0
55,237,511,1152,16,0,0,0
79,238,511,8,16,4,0,0
81,239,511,8,16,0,0,0
76,241,511,8,0,40,0,0
150,242,511,1495,48,16,81,0
149,242,511,8,16,16,102,0
112,243,511,1,18,0,0,0
111,244,511,1,16,0,0,0
106,245,511,1,16,0,0,0
66,246,511,2,16,0,0,0
26,247,511,1024,16,20,0,0
83,252,511,9,0,0,0,0
74,253,511,8,16,0,0,0
73,254,511,8,16,10,0,0
108,255,511,1,16,0,0,0
109,256,511,1,16,0,0,0
110,257,511,1,16,0,0,0
113,258,511,1,16,10,0,0
38,260,511,4,0,0,0,0
32,261,511,4,0,0,0,0
35,262,511,4,0,0,0,0
36,263,511,4,0,0,0,0
37,264,511,4,0,0,0,0
61,267,511,2,18,0,0,0
62,268,511,2,18,0,0,0
64,269,511,2,16,0,0,0
24,272,511,1024,16,10,0,0
