ID,Category,Sex,Race,SoundID
1,0,0,1,2668
2,1,0,1,2669
3,2,0,1,2670
4,3,0,1,2671
5,4,0,1,2672
6,5,0,1,2673
7,6,0,1,2674
8,7,0,1,2675
9,8,0,1,2676
10,9,0,1,2677
11,10,0,1,2678
12,11,0,1,2679
13,0,1,7,2838
14,1,1,7,2839
15,2,1,7,2840
16,3,1,7,2841
17,4,1,7,2842
18,5,1,7,2843
19,6,1,7,2844
20,7,1,7,2845
21,8,1,7,2846
22,9,1,7,2847
23,10,1,7,2848
24,11,1,7,2849
25,0,0,8,2850
26,1,0,8,2851
27,2,0,8,2852
28,3,0,8,2853
29,4,0,8,2854
30,5,0,8,2855
31,6,0,8,2856
32,7,0,8,2857
33,8,0,8,2858
34,9,0,8,2859
35,10,0,8,2860
36,11,0,8,2861
37,0,1,6,2801
38,1,1,6,2802
39,2,1,6,2803
40,3,1,6,2804
41,4,1,6,2805
42,5,1,6,2806
43,6,1,6,2807
44,7,1,6,2808
45,8,1,6,2809
46,9,1,6,2810
47,10,1,6,2811
48,11,1,6,2812
49,0,0,2,2692
50,1,0,2,2693
51,2,0,2,2694
52,3,0,2,2695
53,4,0,2,2696
54,5,0,2,2697
55,6,0,2,2698
56,7,0,2,2699
57,8,0,2,2700
58,9,0,2,2701
59,10,0,2,2702
60,11,0,2,2703
61,0,1,5,2776
62,1,1,5,2777
63,2,1,5,2778
64,3,1,5,2779
65,4,1,5,2780
66,5,1,5,2781
67,6,1,5,2782
68,7,1,5,2783
69,8,1,5,2784
70,9,1,5,2785
71,10,1,5,2786
72,11,1,5,2787
73,0,0,3,2716
74,1,0,3,2717
75,2,0,3,2718
76,3,0,3,2719
77,4,0,3,2720
78,5,0,3,2721
79,6,0,3,2722
80,7,0,3,2723
81,8,0,3,2724
82,9,0,3,2725
83,10,0,3,2726
84,11,0,3,2727
85,0,1,4,2752
86,1,1,4,2753
87,2,1,4,2754
88,3,1,4,2755
89,4,1,4,2756
90,5,1,4,2757
91,6,1,4,2758
92,7,1,4,2759
93,8,1,4,2760
94,9,1,4,2761
95,10,1,4,2762
96,11,1,4,2763
97,0,0,4,2740
98,1,0,4,2741
99,2,0,4,2742
100,3,0,4,2743
101,4,0,4,2744
102,5,0,4,2745
103,6,0,4,2746
104,7,0,4,2747
105,8,0,4,2748
106,9,0,4,2749
107,10,0,4,2750
108,11,0,4,2751
109,0,1,3,2728
110,1,1,3,2729
111,2,1,3,2730
112,3,1,3,2731
113,4,1,3,2732
114,5,1,3,2733
115,6,1,3,2734
116,7,1,3,2735
117,8,1,3,2736
118,9,1,3,2737
119,10,1,3,2738
120,11,1,3,2739
121,0,0,5,2764
122,1,0,5,2765
123,2,0,5,2766
124,3,0,5,2767
125,4,0,5,2768
126,5,0,5,2769
127,6,0,5,2770
128,7,0,5,2771
129,8,0,5,2772
130,9,0,5,2773
131,10,0,5,2774
132,11,0,5,2775
133,0,1,2,2704
134,1,1,2,2705
135,2,1,2,2706
136,3,1,2,2707
137,4,1,2,2708
138,5,1,2,2709
139,6,1,2,2710
140,7,1,2,2711
141,8,1,2,2712
142,9,1,2,2713
143,10,1,2,2714
144,11,1,2,2715
145,0,0,6,2788
146,1,0,6,2789
147,2,0,6,2790
148,3,0,6,2791
149,4,0,6,2792
150,5,0,6,2793
151,6,0,6,2794
152,7,0,6,2795
153,8,0,6,2796
154,9,0,6,2797
155,10,0,6,2798
156,11,0,6,2799
157,0,1,8,2862
158,1,1,8,2863
159,2,1,8,2864
160,3,1,8,2865
161,4,1,8,2866
162,5,1,8,2867
163,6,1,8,2868
164,7,1,8,2869
165,8,1,8,2870
166,9,1,8,2871
167,10,1,8,2872
168,11,1,8,2873
169,0,0,7,2826
170,1,0,7,2827
171,2,0,7,2828
172,3,0,7,2829
173,4,0,7,2830
174,5,0,7,2831
175,6,0,7,2832
176,7,0,7,2833
177,8,0,7,2834
178,9,0,7,2835
179,10,0,7,2836
180,11,0,7,2837
181,0,1,1,2680
182,1,1,1,2681
183,2,1,1,2682
184,3,1,1,2683
185,4,1,1,2684
186,5,1,1,2685
187,6,1,1,2686
188,7,1,1,2687
189,8,1,1,2688
190,9,1,1,2689
191,10,1,1,2690
192,11,1,1,2691
