ID,SoundType,Name,File[0],File[1],File[2],File[3],File[4],File[5],File[6],File[7],File[8],File[9],Freq[0],Freq[1],Freq[2],Freq[3],Freq[4],Freq[5],Freq[6],Freq[7],Freq[8],Freq[9],DirectoryBase,VolumeFloat,Flags,MinDistance,DistanceCutoff,EAXDef
215,10,OrcFemaleCombatStun,mOrcFemaleStunVoxA.wav,mOrcFemaleStunVoxB.wav,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Orc\Female,1,1065353216,0,0,1083137065
216,10,OrcFemaleStand,mOrcFemaleStandVoxA.wav,mOrcFemaleStandVoxB.wav,mOrcFemaleStandVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Orc\Female,1,1065353216,0,0,1083137065
217,10,TaurenMaleCombatExertion,mTaurenMaleAttackVoxA.wav,mTaurenMaleAttackVoxB.wav,mTaurenMaleAttackVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
218,10,TaurenMaleCombatExertionCritical,mTaurenMaleAttackVoxA.wav,mTaurenMaleAttackVoxB.wav,mTaurenMaleAttackVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
219,10,TaurenMaleCombatInjury,mTaurenMaleWoundVoxA.wav,mTaurenMaleWoundVoxB.wav,mTaurenMaleWoundVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
220,10,TaurenMaleCombatInjuryCritical,mTaurenMaleWoundVoxA.wav,mTaurenMaleWoundVoxB.wav,mTaurenMaleWoundVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
221,10,TaurenMaleCombatDeath,mTaurenMaleDeathVoxA.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
222,10,TaurenMaleCombatDeathThud,thud.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Effects,1,1065353216,0,0,1083137065
223,10,TaurenMaleCombatStun,mTaurenMaleStunVoxA.wav,mTaurenMaleStunVoxB.wav,mTaurenMaleStunVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
224,10,TaurenMaleStand,mTaurenMaleStandVoxA.wav,mTaurenMaleStandVoxB.wav,mTaurenMaleStandVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Male,1,1065353216,0,0,1083137065
