ID,Description,Flags,EAXEnvironmentSelection,EAXEffectVolume,EAXDecayTime,EAXDamping,EAX2EnvironmentSize,EAX2EnvironmentDiffusion,EAX2Room,EAX2RoomHF,EAX2DecayHFRatio,EAX2Reflections,EAX2ReflectionsDelay,EAX2Reverb,EAX2ReverbDelay,EAX2RoomRolloff,EAX2AirAbsorption,EAX3RoomLF,EAX3DecayLFRatio,EAX3EchoTime,EAX3EchoDepth,EAX3ModulationTime,EAX3ModulationDepth,EAX3HFReference,EAX3LFReference
3,TESTVOLUMENONE,0,0,0,0.1,0,1,1,0,0,1,0,0,0,0,1,-0.05,0,0.1,0.25,0,1,0,5000,250
4,TESTVOLUMEFULL,0,0,1,20,1,50,1,0,0,1,1000,0.3,0,0.1,1,-0.05,0,0.1,0.25,0,1,0,5000,250
5,TESTVOLUMEHALF,0,0,0.75,10,1,1,1,0,0,1,200,0.2,0,0.1,1,-0.05,0,0.1,0.25,0,1,0,1000,250
8,NSabbey.wmo_entry01,0,0,0,0.1,1,1,1,-10000,-10000,1,-10000,0,1000,0,1,0,0,1,0.25,0,0.25,0,5000,250
10,NSabbey.wmo_entry02,0,0,0,0.1,1,1,1,-10000,-10000,1,-10000,0,1000,0,1,0,0,1,0.25,0,0.25,0,5000,250
11,Underwater,4,15,1,0.1,1,1,1,0,0,1,0,0,0,0,1,-0.05,0,0.1,0.25,0,1,0,5000,250
13,Default Outdoors,1,0,0.5,0,1,0,1,0,-100,2,-100,0,-100,0,0,-100,0,1,0.25,0,0.25,0,5000,250
18,c0z6s2,0,0,1,20,1,100,1,0,0,2,1000,0.3,1000,0.1,0,0,0,2,0.25,1,4,1,20000,1000
19,TESTVOLUMEPSYCHOTIC,0,0,1,20,1,50,0,-10000,-10000,2,-10000,0,-10000,0,0,-20,-10000,0.1,0.075,0,1,0,10000,30
22,c0z6s2,0,0,1,20,1,100,1,0,0,2,1000,0.3,1000,0.1,0,0,0,2,0.25,1,4,1,20000,1000
