EnumID,SpecialMiscValue,Globalstrings_tag,Name_lang[0]
97,15,SPELL_AURA_MANA_SHIELD,Mana Shield
0,0,SPELL_AURA_NONE,None
1,0,SPELL_AURA_BIND_SIGHT,Bind Sight
2,0,SPELL_AURA_MOD_POSSESS,Mod Possess
3,0,SPELL_AURA_PERIODIC_DAMAGE,Periodic Damage
4,0,,Dummy
5,0,SPELL_AURA_MOD_CONFUSE,Mod Confuse
6,0,SPELL_AURA_MOD_CHARM,Mod Charm
7,0,SPELL_AURA_MOD_FEAR,Mod Fear
8,0,SPELL_AURA_PERIODIC_HEAL,Periodic Heal
9,0,SPELL_AURA_MOD_ATTACKSPEED,Mod Attack Speed
10,0,SPELL_AURA_MOD_THREAT,Mod Threat
11,0,SPELL_AURA_MOD_TAUNT,Taunt
12,0,SPELL_AURA_MOD_STUN,Stun
13,3,SPELL_AURA_MOD_DAMAGE_DONE,Mod Damage Done
14,3,SPELL_AURA_MOD_DAMAGE_TAKEN,Mod Damage Taken
15,0,SPELL_AURA_DAMAGE_SHIELD,Damage Shield
16,0,SPELL_AURA_MOD_STEALTH,Mod Stealth
17,0,SPELL_AURA_MOD_DETECT,Mod Detect
18,20,SPELL_AURA_MOD_INVISIBILITY,Mod Invisibility
19,20,SPELL_AURA_MOD_INVISIBILITY_DETECTION,Mod Invisibility Detection
20,0,,OBS Mod Intellect
21,0,,OBS Mod Spirit
22,3,SPELL_AURA_MOD_RESISTANCE,Mod Resistance
23,0,SPELL_AURA_PERIODIC_TRIGGER_SPELL,Periodic Trigger
24,15,SPELL_AURA_PERIODIC_ENERGIZE,Periodic Energize
25,0,SPELL_AURA_MOD_PACIFY,Pacify
26,0,SPELL_AURA_MOD_ROOT,Root
27,0,SPELL_AURA_MOD_SILENCE,Silence
28,0,SPELL_AURA_REFLECT_SPELLS,Reflect Spells %
29,5,SPELL_AURA_MOD_STAT,Mod Stat
30,1,SPELL_AURA_MOD_SKILL,Mod Skill
31,0,SPELL_AURA_MOD_INCREASE_SPEED,Mod Speed
32,0,SPELL_AURA_MOD_INCREASE_MOUNTED_SPEED,Mod Speed Mounted
33,0,SPELL_AURA_MOD_DECREASE_SPEED,Mod Speed Slow
34,0,SPELL_AURA_MOD_INCREASE_HEALTH,Mod Increase Health
35,15,SPELL_AURA_MOD_INCREASE_ENERGY,Mod Increase Energy
36,14,SPELL_AURA_MOD_SHAPESHIFT,Shapeshift
37,10,SPELL_AURA_EFFECT_IMMUNITY,Immune Effect
38,11,SPELL_AURA_STATE_IMMUNITY,Immune State
39,3,SPELL_AURA_SCHOOL_IMMUNITY,Immune School
40,3,SPELL_AURA_DAMAGE_IMMUNITY,Immune Damage
41,4,SPELL_AURA_DISPEL_IMMUNITY,Immune Dispel Type
42,0,SPELL_AURA_PROC_TRIGGER_SPELL,Proc Trigger Spell
43,0,SPELL_AURA_PROC_TRIGGER_DAMAGE,Proc Trigger Damage
44,9,SPELL_AURA_TRACK_CREATURES,Track Creatures
45,8,SPELL_AURA_TRACK_RESOURCES,Track Resources
46,0,SPELL_AURA_MOD_PARRY_SKILL,Mod Parry Skill
47,0,SPELL_AURA_MOD_PARRY_PERCENT,Mod Parry Percent
48,0,SPELL_AURA_MOD_DODGE_SKILL,Mod Dodge Skill
49,0,SPELL_AURA_MOD_DODGE_PERCENT,Mod Dodge Percent
50,0,SPELL_AURA_MOD_BLOCK_SKILL,Mod Block Skill
51,0,SPELL_AURA_MOD_BLOCK_PERCENT,Mod Block Percent
52,0,SPELL_AURA_MOD_CRIT_PERCENT,Mod Crit Percent
53,0,SPELL_AURA_PERIODIC_LEECH,Periodic Leech
54,0,SPELL_AURA_MOD_HIT_CHANCE,Mod Hit Chance
55,0,SPELL_AURA_MOD_SPELL_HIT_CHANCE,Mod Spell Hit Chance
56,2,SPELL_AURA_TRANSFORM,Transform
57,0,SPELL_AURA_MOD_SPELL_CRIT_CHANCE,Mod Spell Crit Chance
58,0,SPELL_AURA_MOD_INCREASE_SWIM_SPEED,Mod Speed Swim
59,9,SPELL_AURA_MOD_DAMAGE_DONE_CREATURE,Mod Creature Dmg Done
60,0,SPELL_AURA_MOD_PACIFY_SILENCE,Pacify & Silence
61,0,SPELL_AURA_MOD_SCALE,Mod Scale
62,0,SPELL_AURA_PERIODIC_HEALTH_FUNNEL,Periodic Health Funnel
63,0,SPELL_AURA_PERIODIC_MANA_FUNNEL,Periodic Mana Funnel
64,0,SPELL_AURA_PERIODIC_MANA_LEECH,Periodic Mana Leech
65,0,SPELL_AURA_MOD_CASTING_SPEED,Mod Casting Speed
66,0,SPELL_AURA_FEIGN_DEATH,Feign Death
67,0,SPELL_AURA_MOD_DISARM,Disarm
68,0,SPELL_AURA_MOD_STALKED,Mod Stalked
69,3,SPELL_AURA_SCHOOL_ABSORB,School Absorb
70,0,SPELL_AURA_EXTRA_ATTACKS,Extra Attacks
71,3,SPELL_AURA_MOD_SPELL_CRIT_CHANCE_SCHOOL,Mod School Spell Crit Chance
72,0,SPELL_AURA_MOD_POWER_COST,Mod Power Cost
73,3,SPELL_AURA_MOD_POWER_COST_SCHOOL,Mod School Power Cost
74,3,SPELL_AURA_REFLECT_SPELLS_SCHOOL,Reflect School Spells %
75,6,SPELL_AURA_MOD_LANGUAGE,Mod Language
76,0,SPELL_AURA_FAR_SIGHT,Far Sight
77,17,SPELL_AURA_MECHANIC_IMMUNITY,Immune Mechanic
78,2,SPELL_AURA_MOUNTED,Mounted
79,3,SPELL_AURA_MOD_DAMAGE_DONE,Mod Dmg %
80,5,SPELL_AURA_MOD_STAT,Mod Stat %
81,3,SPELL_AURA_SPLIT_DAMAGE,Split Damage
82,0,SPELL_AURA_WATER_BREATHING,Water Breathing
83,3,SPELL_AURA_MOD_BASE_RESISTANCE,Mod Base Resistance
84,0,SPELL_AURA_MOD_REGEN,Mod Health Regen
85,15,SPELL_AURA_MOD_POWER_REGEN,Mod Power Regen
86,18,SPELL_AURA_CHANNEL_DEATH_ITEM,Channel Death Item
87,3,SPELL_AURA_MOD_DAMAGE_TAKEN,Mod Dmg % Taken
88,0,SPELL_AURA_MOD_REGEN,Mod Health Regen Percent
89,0,SPELL_AURA_PERIODIC_DAMAGE_PERCENT,Periodic Damage Percent
90,3,SPELL_AURA_MOD_RESIST_CHANCE,Mod Resist Chance
91,0,SPELL_AURA_MOD_DETECT_RANGE,Mod Detect Range
92,0,SPELL_AURA_PREVENTS_FLEEING,Prevent Fleeing
93,0,SPELL_AURA_MOD_UNATTACKABLE,Mod Unattackable
94,0,SPELL_AURA_INTERRUPT_REGEN,Interrupt Regen
95,0,SPELL_AURA_GHOST,Ghost
96,0,SPELL_AURA_SPELL_MAGNET,Spell Magnet
98,1,SPELL_AURA_MOD_SKILL_TALENT,Mod Skill Talent
