ID,Name_lang[0]
123,Mirror Lake Waterfall
243,Temple of the Moon Fountain
343,Hatetalon Stones
423,aaaReuse
443,the First Tide Pool
103,Barrens Summoning Circle
203,Orgrimmar Summoning Circle
223,Ruins of Stardust Fountain
224,Quilboar Watering Hole
225,Water Purity - Silverpine
226,Spring Well
1,Anvil
2,Loom
3,Forge
4,Cooking Fire
5,Shards of Myzrael
6,Winterhoof Water Well
7,Thunderhorn Water Well
8,Wildmane Water Well
9,Tribal Fire
10,Machine Shop
11,Shadowglen Moonwell
12,Starbreeze Village Moonwell
13,Pools of Arlithrien Moonwell
14,Oracle Glade Moonwell
15,Venture Co. Airport
16,Venture Co. Wagon (Blue)
17,Venture Co. Wagon (Red)
18,NG-5 Explosives (Red)
19,NG-5 Explosives (Blue)
20,Flame of Uzel
21,Ashenvale Moonwell
22,Seaworn Altar
23,Nearby Tubers
43,Undercity Summoning Circle
63,Shaman Shrine
445,the Third Tide Pool
83,Stormwind Summoning Circle
143,Talon Den
163,Xavian Waterfall
164,Stone of Outer Binding
183,Mana Rift Disturbance
323,Sandsorrow Watch Water Hole
363,Echeyakee's Lair
383,The Dead Tree
403,Makeshift Helipad
444,the Second Tide Pool
446,the Fourth Tide Pool
263,Jintha'Alor Altar
264,Pirate Ship Bilge
283,Equinex Monolith
303,Witherbark Village
304,Shadra'Alor Altar
424,Sanctum of the Fallen God
