ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual,Flags
240,3,0,0,0,0,0,0,0,0,7709,0,0,Increases Shadow Effects +11,0,0
241,2,0,0,2,0,0,2,0,0,0,0,0,+2 Weapon Damage,0,0
242,3,0,0,0,0,0,0,0,0,7747,0,0,Health +20,0,0
243,3,0,0,0,0,0,0,0,0,7456,0,0,Spirit +1,0,0
244,3,0,0,0,0,0,0,0,0,7768,0,0,Intellect +4,0,0
245,4,0,0,5,0,0,5,0,0,0,0,0,Armor +5,0,0
246,3,0,0,0,0,0,0,0,0,7773,0,0,Mana +20,0,0
247,3,0,0,0,0,0,0,0,0,7778,0,0,Agility +1,0,0
248,3,0,0,0,0,0,0,0,0,7780,0,0,Strength +1,0,0
249,3,0,0,0,0,0,0,0,0,7784,0,0,Beastslaying +2,0,0
250,2,0,0,1,0,0,1,0,0,0,0,0,+1 Weapon Damage,0,0
251,3,0,0,0,0,0,0,0,0,7792,0,0,Intellect +1,0,0
252,3,0,0,0,0,0,0,0,0,7847,0,0,Spirit +6,0,0
253,3,0,0,0,0,0,0,0,0,7849,0,0,Absorption (50),0,0
254,3,0,0,0,0,0,0,0,0,7850,0,0,Health +30,0,0
255,3,0,0,0,0,0,0,0,0,7851,0,0,Spirit +2,0,0
257,4,0,0,10,0,0,10,0,0,0,0,0,Armor +10,0,0
117,2,0,0,4,0,0,4,0,0,0,0,0,+4 Damage,0,0
118,2,0,0,5,0,0,5,0,0,0,0,0,+5 Damage,0,0
132,3,0,0,0,0,0,0,0,0,7529,0,0,Two-Handed Sword Skill +1,0,0
133,3,0,0,0,0,0,0,0,0,7561,0,0,Two-Handed Sword Skill +2,0,0
145,3,0,0,0,0,0,0,0,0,7548,0,0,Mace Skill +7,0,0
166,3,0,0,0,0,0,0,0,0,7554,0,0,Two-Handed Axe Skill +7,0,0
167,3,0,0,0,0,0,0,0,0,7534,0,0,Dagger Skill +1,0,0
181,3,0,0,0,0,0,0,0,0,7535,0,0,Bow Skill +1,0,0
182,3,0,0,0,0,0,0,0,0,7567,0,0,Bow Skill +2,0,0
195,3,0,0,0,0,0,0,0,0,7597,0,0,Critical Hit +1%,0,0
196,3,0,0,0,0,0,0,0,0,7598,0,0,Critical Hit +2%,0,0
237,3,0,0,0,0,0,0,0,0,7707,0,0,Increases Shadow Effects +6,0,0
238,3,0,0,0,0,0,0,0,0,7708,0,0,Increases Shadow Effects +8,0,0
256,3,0,0,0,0,0,0,0,0,7852,0,0,Resist Fire +8,0,0
142,3,0,0,0,0,0,0,0,0,7545,0,0,Mace Skill +4,0,0
143,3,0,0,0,0,0,0,0,0,7546,0,0,Mace Skill +5,0,0
68,3,0,0,0,0,0,0,0,0,7464,0,0,+1 Strength,0,0
147,3,0,0,0,0,0,0,0,0,7555,0,0,Two-Handed Mace Skill +2,0,0
219,3,0,0,0,0,0,0,0,0,7689,0,0,Increases Fire Damage +11,0,0
263,3,0,0,0,0,0,0,0,0,8082,0,0,Fishing Lure +25,0,0
264,3,0,0,0,0,0,0,0,0,8083,0,0,Fishing Lure +50,0,0
265,3,0,0,0,0,0,0,0,0,8084,0,0,Fishing Lure +75,0,0
266,3,0,0,0,0,0,0,0,0,8085,0,0,Fishing Lure +100,0,0
199,3,0,0,0,0,0,0,0,0,7601,0,0,10% On Get Hit: Shadow Bolt (10 Damage),0,0
200,3,0,0,0,0,0,0,0,0,7614,0,0,10% On Get Hit: Shadow Bolt (20 Damage),0,0
283,1,0,0,15,0,0,15,0,0,8233,0,0,Windfury 1,0,0
284,1,0,0,15,0,0,15,0,0,8236,0,0,Windfury 2,0,0
5,1,0,0,20,0,0,20,0,0,8026,0,0,Flametongue 1,0,0
