ID,RangeMin,RangeMax,Flags,DisplayName_lang[0],DisplayNameShort_lang[0]
1,0,0,0,Self Only,
2,0,5,1,Combat Range,
3,0,20,0,Short Range,
4,0,30,0,Medium Range,
5,0,40,0,Long Range,
6,0,100,0,Vision Range,
7,0,10,0,Very Short Range,
8,10,20,0,Short Range,
9,10,30,0,Medium Range,
10,10,40,0,Long Range,
11,0,15,0,Shorter Range,
12,0,5,0,Interact Range,
13,0,50000,0,Anywhere,
14,0,60,0,Extra Long Range,
34,0,25,0,Medium-Short Range,
35,0,35,0,Medium-Long Range,
36,0,45,0,Longer Range,
37,0,50,0,Extended Range,
38,10,25,0,Extra Medium Range,
54,5,30,0,Geoff Monster Shoot,
74,8,30,0,Ranged Weapon,
94,8,40,0,Sting,
95,8,25,0,Charge,
96,0,2,0,Trap,
114,8,35,0,Hunter Range,
134,0,80,0,Tower 80,
135,0,100,0,Tower 100,
136,30,80,0,Artillery Range,
