AnimID,Name
18,Attack2HL
31,SpellCast
32,SpellCastArea
42,AttackBow
48,AttackRifle
49,Loot
50,ReadySpellDirected
51,ReadySpellOmni
52,SpellCastDirected
53,SpellCastOmni
54,ReadyAbility
55,BattleRoar
56,Special1H
57,Special2H
58,ShieldBash
59,EmoteEat
60,EmoteWork
100,Kick
110,LoadBow
111,LoadRifle
112,AttackThrown
113,ReadyThrown
114,Death
115,Spell
116,Stop
117,Stand
118,Walk
119,Run
120,Dead
122,Rise
123,StandWound
124,CombatWound
125,CombatCritical
126,ShuffleLeft
127,ShuffleRight
128,Walkbackwards
129,Stun
130,HandsClosed
131,AttackUnarmed
132,Attack1H
133,Attack2H
134,ParryUnarmed
135,Parry1H
136,Parry2H
137,Parry2HL
138,ShieldBlock
139,ReadyUnarmed
140,Ready1H
141,Ready2H
142,Ready2HL
143,ReadyBow
144,Dodge
145,NPCWelcome
146,NPCGoodbye
147,Block
148,JumpStart
149,Jump
150,JumpEnd
151,Fall
152,SwimIdle
153,Swim
154,SwimLeft
155,SwimRight
156,SwimBackwards
157,FireBow
158,ReadyRifle
159,BowPull
160,BowRelease
161,Hold
164,Closed
165,Open
231,Howl
167,Close
168,EmoteTalk
169,EmoteUseStanding
170,EmoteTalkExclamation
171,EmoteTalkQuestion
172,EmoteBow
173,EmoteWave
174,EmoteCheer
175,EmoteDance
176,EmoteLaugh
177,EmoteSleep
178,EmoteSitGround
179,EmoteRude
180,EmoteRoar
181,EmoteKneel
182,EmoteKiss
183,EmoteCry
184,EmoteChicken
185,EmoteBeg
186,EmoteApplaud
187,EmoteShout
188,EmoteFlex
189,EmoteShy
190,EmotePoint
191,Attack1HPierce
192,Attack2HLoosePierce
193,AttackOff
194,AttackOffPierce
195,Sheath
196,HipSheath
197,Mount
198,RunRight
199,RunLeft
200,MountSpecial
201,SitGroundDown
202,SitGround
203,SitGroundUp
204,SleepDown
205,Sleep
206,SleepUp
207,SitChairLow
208,SitChairMed
209,SitChairHigh
210,HoldBlow
211,HoldThrown
212,LoadThrown
213,SpecialUnarmed
214,Attack1HPierce
215,Knockdown
216,KneelStart
217,KneelLoop
218,KneelEnd
219,EatStart
220,EatingLoop
221,EatEnd
223,UseStandingLoop
345,EmoteSalute
224,ChannelCastDirected
225,ChannelCastOmni
226,Whirlwind
227,Birth
347,FishingLoop
229,UseStandingStart
230,UseStandingEnd
346,FishingCast
