ID,Name_lang[0],SpellIconID,RaceMask,ClassMask,OrderIndex,BackgroundFile
261,Elemental Combat,0,0,0,0,
282,Restoration,0,0,0,0,
301,Destruction,0,0,0,0,
41,Fire,0,0,0,0,
181,Combat,0,0,0,0,
161,Arms,0,0,0,0,
202,Holy,0,0,0,0,
163,Protection,0,0,0,0,
262,Restoration,0,0,0,0,
283,Balance,0,0,0,0,
182,Assassination,0,0,0,0,
61,Frost,0,0,0,0,
203,Shadow,0,0,0,0,
302,Curses,0,0,0,0,
263,Enhancement,0,0,0,0,
81,Arcane,0,0,0,0,
281,Feral Combat,0,0,0,0,
201,Discipline,0,0,0,0,
183,Subtlety,0,0,0,0,
303,Demonology,0,0,0,0,
164,Fury,0,0,0,0,
