ID,FromTaxiNode,ToTaxiNode,Cost
101,26,27,0
121,56,18,630
141,37,32,530
161,38,22,530
4,3,1,0
6,2,4,110
7,4,2,110
8,5,2,210
9,2,5,210
12,6,2,50
13,2,6,50
15,8,6,110
16,6,8,110
17,7,6,330
18,6,7,330
20,11,10,110
21,10,11,110
22,12,2,330
23,2,12,330
24,13,11,330
25,11,13,330
26,14,6,330
27,6,14,330
28,6,15,50000000
29,15,6,50000000
30,16,6,530
31,6,16,530
32,17,11,530
33,11,17,530
34,20,18,630
35,18,20,630
36,18,21,630
37,21,18,630
38,21,11,630
39,11,21,630
40,2,19,630
41,19,2,630
42,23,22,50
43,22,23,50
44,25,22,110
45,25,23,110
46,22,25,110
47,23,25,110
102,27,26,0
50,28,26,330
51,26,28,330
52,29,22,210
53,22,29,210
54,30,22,430
55,22,30,430
56,32,31,430
57,31,32,430
58,33,26,330
59,26,33,330
82,18,56,630
162,22,38,530
163,32,37,530
181,26,32,630
182,32,26,50
224,23,40,730
222,32,39,730
223,40,23,730
225,41,26,730
226,26,41,730
227,42,22,730
228,22,42,730
229,43,14,730
230,14,43,730
201,39,32,630
