ID,WMOID,NameSetID,WMOGroupID,DayAmbienceSoundID,NightAmbienceSoundID,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,Flags,AreaName_lang
12578,52,0,-1,0,0,0,0,0,0,0,0,0,0,
2714,52,0,0,0,0,0,0,0,0,0,0,0,0,
2715,52,0,0,0,0,0,0,0,0,0,0,0,0,
2713,52,0,0,0,0,0,0,0,0,0,0,0,0,
12579,52,0,891,0,0,0,0,0,0,0,0,0,0,
12580,52,0,892,0,0,0,0,0,0,0,0,0,0,
12581,53,0,-1,0,0,0,0,54,0,0,0,0,0,
2716,53,0,0,0,0,0,0,0,0,0,0,0,0,
2719,53,0,0,0,0,0,0,0,0,0,0,0,0,
2721,53,0,0,0,0,0,0,0,0,0,0,0,0,
2727,53,0,0,0,0,0,0,0,0,0,0,0,0,
2728,53,0,0,0,0,0,0,0,0,0,0,0,0,
2726,53,0,0,0,0,0,0,0,0,0,0,0,0,
2725,53,0,0,0,0,0,0,0,0,0,0,0,0,
2724,53,0,0,0,0,0,0,0,0,0,0,0,0,
2723,53,0,0,0,0,0,0,0,0,0,0,0,0,
2722,53,0,0,0,0,0,0,0,0,0,0,0,0,
2720,53,0,0,0,0,0,0,0,0,0,0,0,0,
2718,53,0,0,0,0,0,0,0,0,0,0,0,0,
2717,53,0,0,0,0,0,0,0,0,0,0,0,0,
12582,53,0,893,0,0,0,0,0,0,0,0,0,0,
12583,53,0,894,0,0,0,0,0,0,0,0,0,0,
12584,53,0,895,0,0,0,0,0,0,0,0,0,0,
12585,53,0,896,0,0,0,0,0,0,0,0,0,0,
12586,53,0,897,0,0,0,0,0,0,0,0,0,0,
12587,53,0,898,0,0,0,0,0,0,0,0,0,0,
12588,53,0,899,0,0,0,0,0,0,0,0,0,0,
12589,53,0,900,0,0,0,0,0,0,0,0,0,0,
12590,53,0,901,0,0,0,0,0,0,0,0,0,0,
12591,53,0,902,0,0,0,0,0,0,0,0,0,0,
12592,53,0,903,0,0,0,0,0,0,0,0,0,0,
12593,53,0,904,0,0,0,0,0,0,0,0,0,0,
20255,53,1,-1,0,0,0,0,54,0,0,0,0,0,Deepwater Tavern
9087,53,1,0,0,0,0,0,54,0,0,0,0,0,Lion's Pride Inn
9088,53,1,0,0,0,0,0,0,0,0,0,0,0,
9096,53,1,0,0,0,0,0,0,0,0,0,0,0,
9090,53,1,0,0,0,0,0,0,0,0,0,0,0,
9099,53,1,0,0,0,0,0,0,0,0,0,0,0,
9098,53,1,0,0,0,0,0,0,0,0,0,0,0,
9097,53,1,0,0,0,0,0,0,0,0,0,0,0,
