ID,MapID,AreaID,AreaName,LocLeft,LocRight,LocTop,LocBottom
81,1,406,StonetalonMountains,3245.8333,-1637.4999,2916.6665,-339.5833
4,1,14,Durotar,-1535.4166,-7679.1665,2304.1665,-1791.6666
9,1,215,Mulgore,2560,-3584,0,-4096
11,1,17,Barrens,2622.9165,-7510.4165,1612.4999,-5143.75
13,1,0,Kalimdor,15972,-19584,12164,-11840
14,0,0,Azeroth,16700,-20100,8611,-16123
15,0,36,Alterac,0,0,0,0
16,0,45,Arathi,0,0,0,0
17,0,3,Badlands,-2079.1665,-4566.6665,-5889.583,-7547.9165
18,0,25,Blackrock,0,0,0,0
19,0,4,BlastedLands,0,0,0,0
20,0,85,Tirisfal,3033.3333,-1485.4166,3837.4998,824.99994
21,0,130,Silverpine,3449.9998,-750,1666.6666,-1133.3333
22,0,28,WesternPlaguelands,0,0,0,0
23,0,139,EasternPlaguelands,0,0,0,0
24,0,267,Hilsbrad,1066.6666,-2133.3333,400,-1733.3333
26,0,47,Hinterlands,0,0,0,0
27,0,1,DunMorogh,1802.0833,-3122.9165,-3877.0833,-7160.4165
28,0,51,SearingGorge,0,0,0,0
29,0,46,BurningSteppes,-293.75,-4741.6665,-6535.4165,-9500
30,0,12,Elwynn,1535.4166,-1935.4166,-7939.583,-10254.166
31,0,394,DarrowmereLake,0,0,0,0
32,0,41,DeadwindPass,0,0,0,0
34,0,10,Duskwood,833.3333,-1866.6666,-9716.666,-11516.666
35,0,38,LochModan,-1993.7499,-4752.083,-4487.5,-6327.083
36,0,44,Redridge,-1633.3333,-4833.333,-8266.666,-10400
37,0,33,Stranglethorn,0,0,0,0
38,0,8,SwampOfSorrows,0,0,0,0
39,0,40,Westfall,3016.6665,-483.3333,-9400,-11733.333
40,0,11,Wetlands,-389.5833,-4525,-2147.9165,-4904.1665
41,1,141,Teldrassil,3666.6665,-1133.3333,11733.333,8533.333
42,1,148,Darkshore,2941.6665,-3608.3333,8333.333,3966.6665
43,1,331,Ashenvale,1699.9999,-4066.6665,4672.9165,829.1666
61,1,400,ThousandNeedles,-433.3333,-4833.333,-3966.6665,-6899.9995
