ID,Continent,Loc[0],Loc[1],Loc[2],AreaName_lang[0]
169,30,-198,-113,79,Snowfall Graveyard, Alterac Valley
209,1,-7190.949,-3944.6523,9.227391,Gadgetzan, Tanaris
329,1,-5530.2827,-3459.28,-45.74437,Shimmering Flats, Thousand Needles
369,1,2681.0579,-4009.754,107.84863,Azshara
409,1,899.10016,437.5562,65.7423,Stonetalon Mountains
429,0,2603.3108,-534.6571,88.99959,Faol's Rest, Tirisfal Glades
529,451,16310.325,16268.939,69.44444,Programmer Isle
569,0,1750.3435,-669.78986,44.569843,Bulwark, Western Plaguelands
589,1,16310.325,16268.939,69.44444,Un'goro Trail, Silithus
649,1,-778,-4985,19,Sen'jin Village, Durotar
670,451,16620.74,16622.701,21.338247,Bucklers Cemetery 1, Programmer Isle
689,30,668,-306,30,Stormpike Cemetary, Alterac Valley
690,30,-1078,-305,58,Frostwolf Gravesite, Alterac Valley
31,1,-1443.488,1973.3696,85.490715,Ghost Walker Post, Desolace
32,1,238.02664,-4792.5156,10.213211,Razor Hill, Durotar
33,1,1357.1,-4412.01,28.3841,Orgrimmar, Durotar
34,1,-2944.5564,-153.21503,65.786026,Red Cloud Mesa, Mulgore
35,1,6739.19,209.9926,23.284561,Auberdine, Darkshore
36,0,-11110.377,-1833.2407,71.8642,Morgan's Plot, Deadwind Pass
349,0,323.51263,-2227.1958,137.61746,Aerie Peak, The Hinterlands
449,1,3806.5396,-1600.2914,218.83124,Morlos'Aran, Felwood
39,1,-4656,-1765,-41,Thousand Needles
70,1,-6432.2563,-278.2921,3.794105,Un'goro Trail, Silithus
89,1,-2175.1897,-342.02692,-5.512325,Bloodhoof Village, Mulgore
90,1,9931.99,2193.67,1328.67,Darnassus, Teldrassil
91,1,9701.255,945.6204,1291.3551,Dolanaar, Teldrassil
92,1,2633.4111,-629.73517,107.58125,Astranaar, Ashenvale
93,1,10384.81,811.5312,1317.5382,Aldrassil, Teldrassil
94,0,1880.7385,1624.7355,94.43435,Deathknell, Tirisfal
489,0,-3349.703,-857.4654,1.059584,Menethil, Wetlands
96,0,1822.61,214.674,60.1402,Undercity, Tirisfal
97,0,516.19434,1589.8066,127.54494,Sepulcher, Silverpine
100,0,-6164.226,336.32114,399.79337,Anvilmar, Dun Morogh
101,0,-5680.0444,-518.9205,396.27432,Kharanos, Dun Morogh
102,0,-5049.45,-809.697,495.127,Ironforge, Dun Morogh
103,0,-6808.382,-2286.1675,280.75244,Kargath, Badlands
104,0,-9403.245,-2037.692,58.36874,Lakeshire, Redridge
106,0,-9339.456,171.40845,61.56181,Goldshire, Elwynn
107,0,-9151.98,410.944,92.6966,Stormwind, Elwynn
108,0,-10567.813,-3377.2031,22.25322,Stonard, Swamp of Sorrows
109,0,-14284.962,288.44717,32.33204,Booty Bay, Stranglethorn
149,0,-732.7994,-592.50195,22.663046,Southshore, Hillsbrad Foothills
189,1,-3525.706,-4315.455,6.995607,Theramore, Dustwallow Marsh
609,1,2942.76,-6037.13,5.16996,Southridge Beach, Azshara
611,30,762,3.4,62.2,Alterac Valley, Alliance
629,0,908.3233,-1520.2861,55.037178,TEST for GM Client Only - Do Not Bug
630,1,4788.78,-6845,89.7901,Legash Encampment, Azshara
631,1,-3127.69,-3046.94,33.8313,Brackenwall Village, Dustwallow Marsh
632,0,-7490.45,-2132.62,142.186,Flame Crest, Burning Steppes
634,0,1392,-3701,77,Darrowshire, Eastern Plaguelands
635,1,5935.47,-1217.75,383.202,Irontree Woods, Felwood
1,0,-9115,423,96,Stormwind
2,0,-9271,-2305,71,Redridge
3,0,-10774.263,-1189.6719,33.149426,Darkshire, Duskwood
4,0,-10546.9,1197.24,31.7263,Sentinel Hill, Westfall
5,0,-5687,-515,398,Dun Morogh
6,0,-5351.229,-2881.5823,340.94235,Thelsamar, Loch Modan
7,0,-3289.1238,-2435.9912,18.59659,Crossroads, Wetlands
8,0,-13290,108,25,Stranglethorn Arena
129,1,8706,965,13.27,Rut'theran Village
249,1,-1072.5887,-3481.8489,62.695408,Ratchet, Barrens
269,37,-448.1886,-1027.863,430.72433,Plains of Snow - Alliance Start
289,0,2349.6084,485.20844,33.3731,Brill, Tirisfal
389,0,-11542.56,-228.6365,27.842743,Stranglethorn
633,1,7426,-2809,464,Moonglade
10,1,-592.60144,-2523.4924,91.78803,Crossroads, Barrens
49,37,-661.52844,-485.30902,385.8879,Plains of Snow - Horde Start
98,0,-18.677681,-981.17145,55.83767,Tarren Mill, Hillsbrad
99,0,-1472.2894,-2617.9587,49.27652,Arathi Highlands
105,0,-8935.325,-188.64627,80.416466,Northshire, Elwynn
370,0,-10846.574,-2949.4878,13.227232,Nethergarde, Blasted Lands
549,0,16223.823,16278.573,20.891275,Programmer Isle
610,30,-1378.08,-197.67,99.75,Alterac Valley, Horde
309,1,-4596.4043,3229.4343,8.993764,Feathermoon, Feralas
229,1,-2515.9932,-1966.4813,91.783646,Taurajo, Barrens
310,1,-4439.967,370.15344,51.356552,Camp Mojache, Feralas
450,1,-7205.565,-2436.6743,-218.16096,Un'Goro Crater
469,1,4291.2827,96.95573,43.075256,Twilight Vale, Darkshore
509,0,908.3233,-1520.2861,55.037178,Chillwind Camp, Western Plaguelands
510,0,2116.7898,-5287.337,81.13204,Death Pit, Eastern Plaguelands
511,1,6858.564,-4663.2446,701.3633,Everlook, Winterspring
512,1,2421.7236,-2953.619,123.47346,Kargathia, Ashenvale
636,0,-6450.61,-1113.51,308.022,Firewatch Ridge, Searing Gorge
669,451,16614.81,16662.979,21.342175,Bucklers Cemetery 2, Programmer Isle
671,451,16619.52,16577.455,43.901775,Bucklers Cemetery 3, Programmer Isle
709,1,-634.6349,-4296.0337,40.52543,Valley of Trials, Durotar
729,30,65.3678,-414.853,49.2977,Alterac Valley, PvP Alliance Choke Graveyard
