ID,Continent,Loc[0],Loc[1],Loc[2],AreaName_lang
10,1,-592.60144,-2523.4924,91.78803,"The Barrens, The Crossroads"
49,37,-661.52844,-485.30902,385.8879,Plains of Snow - Horde Start
98,0,-18.677681,-981.17145,55.83767,"Hillsbrad Foothills, Tarren Mill"
99,0,-1472.2894,-2617.9587,49.27652,Arathi Highlands
105,0,-8935.325,-188.64627,80.416466,"Elwynn Forest, Northshire"
370,0,-10846.574,-2949.4878,13.227232,"Blasted Lands, Dreadmaul Hold"
549,0,16223.823,16278.573,20.891275,Programmer Isle
610,30,-729.91144,-699.66235,51.637333,"Alterac Valley, Horde Safe"
891,0,-831.881,-3518.52,72.4831,Arathi Basin - Horde Exit
894,529,1016.5883,955.1847,-42.828693,"Arathi Basin - Graveyard, Mid (Blacksmith)"
899,529,713.71,638.364,-10.5999,"Arathi Basin - Graveyard, H-Base (Defiler's Den)"
309,1,-4596.4043,3229.4343,8.993764,"Feralas, Feathermoon Stronghold"
229,1,-2517.75,-1972.64,91.7838,"The Barrens, Camp Taurajo"
310,1,-4439.967,370.15344,51.356552,"Feralas, Camp Mojache"
450,1,-7205.565,-2436.6743,-218.16096,"Un'Goro Crater, The Marshlands"
469,1,4291.2827,96.95573,43.075256,"Darkshore, Twilight Vale"
509,0,908.3233,-1520.2861,55.037178,"Western Plaguelands, Chillwind Camp"
510,0,2116.7898,-5287.337,81.13204,"Eastern Plaguelands, Light's Hope Chapel"
511,1,6875.76,-4661.54,701.094,"Winterspring, Everlook"
512,1,2421.7236,-2953.619,123.47346,"Ashenvale, Kargathia"
636,0,-6450.61,-1113.51,308.022,"Searing Gorge, Thorium Point"
669,451,16614.81,16662.979,21.342175,"Programmer Isle, Bucklers Cemetery 2"
671,451,16619.52,16577.455,43.901775,"Programmer Isle, Bucklers Cemetery 3"
709,1,-634.6349,-4296.0337,40.52543,"Durotar, Valley of Trials"
729,30,73.417755,-496.4331,48.73192,"Alterac Valley, PvP Alliance Choke Graveyard (A-choke)"
750,30,-1496.0651,-333.3384,101.1348,"Alterac Valley, Frostwolf Relief Hut (H-base)"
751,30,643,44,69.7402,"Alterac Valley, Stormpike Aid Station (A-base)"
771,489,1415.33,1554.79,343.156,Warsong Gulch - Alliance Rez Loc
772,489,1029.14,1387.49,340.836,Warsong Gulch - Horde Rez Loc
789,0,-291,-4374,107,"The Hinterlands, The Overlook Cliffs"
809,1,1035.27,-2104.28,122.945,Warsong Gulch - Horde Exit Loc
810,1,1459.17,-1858.67,124.762,Warsong Gulch - Alliance Exit Loc
829,0,101.144,-184.934,127.344,"Alterac Valley, Alliance Exit"
830,0,536.495,-1085.72,106.27,"Alterac Valley, Horde Exit"
849,1,-4590.4087,1632.0807,93.97383,"Feralas, Dire Maul"
850,1,1177.78,-4464.24,21.3539,"Durotar, Northern Durotar"
851,1,-981.917,-74.6465,20.1265,"Mulgore, Thunder Bluff"
853,0,1780.11,221.761,59.6169,"Tirisfal Glades, Ruins of Lordaeron"
869,0,1236.89,-2411.99,60.68,"Western Plaguelands, Caer Darrow"
889,529,684.014,681.22,-12.9159,Arathi Basin - Horde Entrance
890,529,1313.9,1310.74,-9.01043,Arathi Basin - Alliance Entrance
892,0,-1215.59,-2531.75,21.6734,Arathi Basin - Alliance Exit
893,529,834.7264,784.9787,-57.081944,"Arathi Basin - Graveyard, H-Mid (Farm)"
895,529,1201.8695,1163.1306,-56.28597,"Arathi Basin - Graveyard, A-Mid (Stables)"
896,529,1211.5237,781.55695,-82.70951,"Arathi Basin - Graveyard, ALT-N (Gold Mine)"
898,529,1354.7,1270.27,-11.1291,"Arathi Basin - Graveyard, A-Base (Trollbane Hall)"
169,30,-157.4092,31.206272,77.0506,"Alterac Valley, Snowfall Graveyard (Mid)"
209,1,-7190.949,-3944.6523,9.227391,"Tanaris, Gadgetzan"
329,1,-5530.2827,-3459.28,-45.74437,"Thousand Needles, Shimmering Flats"
369,1,2681.0579,-4009.754,107.84863,"Azshara, Talrendis Point"
409,1,898.261,434.53,65.7279,"Stonetalon Mountains, Webwinder Path"
429,0,2604.52,-543.39,88.9996,"Tirisfal Glades, Faol's Rest"
529,451,16310.325,16268.939,69.44444,Programmer Isle
569,0,1750.3435,-669.78986,44.569843,"Western Plaguelands, Bulwark"
589,1,16310.325,16268.939,69.44444,GM Island
649,1,-778,-4985,19,"Durotar, Sen'jin Village"
670,451,16620.74,16622.701,21.338247,"Programmer Isle, Bucklers Cemetery 1"
689,30,676,-374,30,"Alterac Valley, Stormpike Graveyard (Hi)"
690,30,-1090.4768,-253.30867,57.67237,"Alterac Valley, Frostwolf Graveyard (Lo)"
769,489,1519.5303,1481.8684,352.02374,Warsong Gulch - Alliance Enter Loc
909,0,2647.55,-4014.39,105.938,"Eastern Plaguelands, Blackwood Lake"
854,0,-9552.46,-1374.05,51.2332,"Elwynn Forest, Eastvale Logging Camp"
897,529,772.7557,1213.1138,15.797392,"Arathi Basin - Graveyard, ALT-S (Lumber Mill)"
31,1,-1443.488,1973.3696,85.490715,"Desolace, Ghost Walker Post"
32,1,233.458,-4793.73,10.1881,"Durotar, Razor Hill"
33,1,1357.1,-4412.01,28.3841,"Durotar, Orgrimmar"
34,1,-2944.5564,-153.21503,65.786026,"Mulgore, Red Cloud Mesa"
35,1,6739.19,209.9926,23.284561,"Darkshore, Auberdine"
36,0,-11110.377,-1833.2407,71.8642,"Deadwind Pass, Morgan's Plot"
349,0,323.51263,-2227.1958,137.61746,"The Hinterlands, Aerie Peak"
449,1,3806.5396,-1600.2914,218.83124,"Felwood, Morlos'Aran"
39,1,-4656,-1765,-41,"Thousand Needles, The Great Lift"
70,1,-6432.2563,-278.2921,3.794105,"Silithus, Valor's Rest"
89,1,-2175.1897,-342.02692,-5.512325,"Mulgore, Bloodhoof Village"
90,1,10054.3,2117.12,1329.63,"Teldrassil, Darnassus"
91,1,9701.255,945.6204,1291.3551,"Teldrassil, Dolanaar"
92,1,2633.4111,-629.73517,107.58125,"Ashenvale, Astranaar"
93,1,10384.81,811.5312,1317.5382,"Teldrassil, Aldrassil"
94,0,1882.94,1629.11,94.4175,"Tirisfal Glades, Deathknell"
489,0,-3347.72,-856.713,1.05955,"Wetlands, Baradin Bay"
96,0,1822.61,214.674,60.1402,"Tirisfal Glades, Undercity"
910,1,-6831.3174,891.4373,33.86627,"Silithus, Cenarion Hold"
911,0,10605.333,294.1044,31.797037,"Duskwood, Ravenhill"
97,0,516.19434,1589.8066,127.54494,"Silverpine Forest, The Sepulcher"
100,0,-6164.226,336.32114,399.79337,"Dun Morogh, Anvilmar"
101,0,-5680.0444,-518.9205,396.27432,"Dun Morogh, Kharanos"
102,0,-5049.45,-809.697,495.127,"Dun Morogh, Ironforge"
103,0,-6805,-2287.19,280.752,"Badlands, Kargath"
104,0,-9403.245,-2037.692,58.36874,"Redridge Mountains, Lakeshire"
106,0,-9339.456,171.40845,61.56181,"Elwynn Forest, Goldshire"
107,0,-9151.98,410.944,92.6966,"Elwynn Forest, Stormwind"
108,0,-10567.813,-3377.2031,22.25322,"Swamp of Sorrows, Stonard"
109,0,-14284.962,288.44717,32.33204,"Stranglethorn Vale, Booty Bay"
149,0,-732.7994,-592.50195,22.663046,"Hillsbrad Foothills, Southshore"
189,1,-3525.706,-4315.455,6.995607,"Dustwallow Marsh, Theramore Isle"
609,1,2942.76,-6037.13,5.16996,"Azshara, Southridge Beach"
611,30,941.7649,-507.7477,94.366005,"Alterac Valley, Alliance Safe"
629,0,908.3233,-1520.2861,55.037178,TEST for GM Client Only - Do Not Bug
630,1,4788.78,-6845,89.7901,"Azshara, Legash Encampment"
631,1,-3127.69,-3046.94,33.8313,"Dustwallow Marsh, Brackenwall Village"
632,0,-7490.45,-2132.62,142.186,"Burning Steppes, Flame Crest"
634,0,1392,-3701,77,"Eastern Plaguelands, Darrowshire"
635,1,5935.47,-1217.75,383.202,"Felwood, Irontree Woods"
770,489,933.3315,1433.724,345.53568,Warsong Gulch - Horde Enter Loc
1,0,-9115,423,96,Stormwind
2,0,-9271,-2305,71,Redridge Mountains
3,0,-10774.263,-1189.6719,33.149426,"Duskwood, Darkshire"
4,0,-10546.9,1197.24,31.7263,"Westfall, Sentinel Hill"
5,0,-5687,-515,398,Dun Morogh
6,0,-5351.229,-2881.5823,340.94235,"Loch Modan, Thelsamar"
7,0,-3289.1238,-2435.9912,18.59659,"Wetlands, Crossroads"
8,0,-13290,108,25,"Stranglethorn Vale, Stranglethorn Arena"
129,1,8706,965,13.27,"Teldrassil, Rut'theran Village"
249,1,-1081.4,-3478.68,63.6066,"The Barrens, Ratchet"
269,37,-448.1886,-1027.863,430.72433,Plains of Snow - Alliance Start
289,0,2348.67,492.027,33.3665,"Tirisfal Glades, Brill"
389,0,-11542.56,-228.6365,27.842743,"Stranglethorn Vale, Northern Stranglethorn"
633,1,7426,-2809,464,Moonglade
749,30,-531.21783,-405.23138,49.551376,"Alterac Valley, PvP Horde Choke Graveyard (H-choke)"
852,0,-5165.52,-874.664,507.177,"Dun Morogh, Gates of Ironforge"
