ID,ContinentID,Pos[0],Pos[1],Pos[2],Radius
542,1,8799.41,969.787,30.2409,10
702,0,-9023.26,892.398,33.5096,6
704,0,-9020.09,880.501,151.715,6
706,0,-8866.72,675.908,108.617,20
708,0,-852.854,-576.712,20.0293,30
709,1,-3615.49,-4467.34,24.3141,30
710,0,-5601.46,-530.747,395.483,35
711,0,-4841.5,-866.724,505.088,16
713,0,-3823.06,-834.526,18.2789,30
717,1,2756.64,-423.057,119.387,32
482,0,-8960.71,-2012.95,134.624,9
503,34,39.3741,0.803469,-12.7883,8
522,1,-1679.3,-4328.96,2.58591,4
523,0,-4858.27,785.03,241.06,12
562,0,-9465.58,16.8472,65.921,30
602,189,1687.57,1040.09,20.9829,8
604,189,853.679,1308.1,19.6714,8
606,189,1608.65,-308.97,20.7824,8
608,189,253.601,-196.804,21.0385,8
610,0,2925.18,-820.545,161.634,8
612,0,2877.9844,-839.2674,163.04918,6
614,0,2859.73,-824.91,162.083,8
682,0,-9219.37,-2149.94,70.606,30
707,0,-10517,-1158.39,39.0542,30
712,0,-5390.18,-2953.93,322.03,36
718,0,1645.4,218.272,-43.1031,14
762,48,-842.076,-472.462,-34.0656,10
802,0,-3752.81,-851.558,10.1153,20
803,0,-3668.34,-823.839,9.89915,12
822,70,-234.444,319.127,-47.5885,20
842,1,1637.12,-4443.75,26.0176,15
843,1,341.42,-4684.7,30.9493,30
844,0,-10487.3,-3256.87,39.8964,30
45,0,2924.38,-798.429,161.611,8
60,24,47.6135,-28.9462,-8.81759,7
71,0,-10235.9,1765.17,37.5579,30
78,0,-11208.5,1685.34,25.7612,7
81,28,-259.24698,137.75117,36.568306,7
83,28,254.5694,-4.322051,6.486521,8
84,0,16449.9,16393.2,69.4444,15
87,0,-9077.34,-552.925,60.3476,30
88,0,-9843.54,127.525,5.3698,12
95,30,-409.82812,-802.7708,-13.246962,9
97,0,-5585.28,625.74414,397.64807,8
98,0,-11634.8,-54.0697,13.4439,30
100,0,2019.3494,1904.3594,105.14445,7
101,0,-8758.86,851.101,88.5595,7
107,0,-8667.56,623.563,85.4054,7
109,35,-0.90042,16.443,-14.236,7
119,36,-14.3628,-393.38,64.5605,6
121,36,-110.76,-1009.19,34.8044,7
145,0,-229.49,1576.35,78.8909,7
168,0,-5539.4595,675.87305,397.4752,10
169,0,-5576.138,656.25854,396.007,12
171,0,-5763.72,-3439.58,306.366,50
173,0,1058.11,1554.68,-15,90
175,0,-4086.36,-2610.95,46.0143,20
178,0,683.771,-912.144,174.5,5
179,33,-239.913,2077.29,78.8643,30
181,33,-269.245,2181.57,63.5169,30
182,33,-271.198,2144.93,59.6435,29
183,33,-170.243,2091.14,94.538,30
184,33,-157.851,2113.58,92.6388,30
185,33,-160.016,2128.91,91.2199,25
186,33,-168.41,2151.03,87.2201,15
194,33,-231.115,2104.08,79.2531,4
196,0,-12153.621,894.01373,9.538913,80
197,0,-9796.18,157.773,25.3878,10
205,1,-1895.78,-1109.04,86.183,15
216,1,90.1003,-1943.44,79.4727,9
217,1,10708.8,762.092,1321.37,14
218,1,9859.09,588.761,1300.61,14
219,1,9556.24,1654.77,1299.49,14
220,1,10675.2,1857.45,1324.17,14
223,1,4508.17,373.376,32.5125,40
224,1,4605.57,385.158,31.4827,25
225,1,4558.36,421.446,33.7425,50
226,43,-172.181,138.98,-66.6471,12
228,1,-753.596,-2212.78,21.5403,13
230,1,6744.98,41.1164,47.6041,13
231,1,5996.56,365.21,21.8661,40
232,1,5980.17,330.669,21.7655,40
233,1,4916.99,328.43,36.7678,50
234,1,4641.19,55.3801,66.6307,60
235,1,4554.65,146.354,59.5027,70
236,1,4643.38,145.349,57.9047,50
237,1,4504.31,32.3296,86.4913,80
238,1,6876.28,-486.029,40.1436,65
239,1,3469.43,847.62,5.36476,12
242,47,1936.39,1534.47,86.8769,8
244,1,-4456.7,-1655.99,86.1095,8
246,1,-4932.53,-1596.05,84.8157,20
251,1,-4940.72,-1598.27,-12.9465,50
254,33,-236.47,2202.42,97.3452,5
255,33,-223.399,2101.97,97.3899,5
256,33,-189.006,2145.69,97.3899,7
257,1,7201.81,-853.457,6.19655,12
259,48,-148.633,121.08,-33.4141,12
262,47,2019.73,2004.6,61.6874,15
283,48,-527.658,321.109,-50.2584,20
284,0,-8681.37,434.406,99.2579,7
286,0,-6053.73,-2954.63,213.686,10
288,70,-228.193,34.1602,-39.2339,10
302,1,-3463.26,-4123.13,17.1043,8
303,1,-4058.75,-2732.54,35.3301,10
322,90,-312.205,-4.63256,-148.657,14
324,0,-5161.33,939.623,258.288,10
342,0,-9029.174,-608.32886,56.4679,30
362,0,-10429.435,-3828.8408,-31.629646,150
382,0,-8681.4,434.439,99.259,7
422,1,-93.1614,1691.15,89.0649,20
442,1,-4332.57,-2137.79,85.84,11
444,129,2593.94,1124.64,56.179,11
446,0,-10243.7,-3945.84,-99.6454,10
448,109,-209,69.4872,-91.2483,10
462,47,2108.34,1823.01,79.7605,10
463,47,2165.75,1944.75,61.4635,15
525,90,-717.868,1.37207,-241.293,12
527,1,9947.48,2630.04,1318.6,10
714,1,10138.6,2215.36,1329.98,12
715,1,9809.05,959.188,1315.35,32
716,1,6410.01,527.035,14.0578,32
719,0,2266.68,245.993,44.4145,30
720,0,511.536,1638.63,75.4173,50
721,0,-7.3559,-936.734,62.3336,20
722,1,-2366.7,-345.983,-1.29313,30
723,1,-1300.74,37.1753,145.242,30
742,1,-369.066,-2722.83,107.863,30
743,1,-1051.44,-3653.81,31.1352,30
862,0,-14457,496.45,39.1392,28
