ID,CategoryID,SkillCostsID,DisplayName_lang[0]
393,11,0,Skinning
417,5,22,Agility
418,5,22,Stamina
419,5,22,Intellect
420,5,22,Spirit
433,8,0,Shield
434,8,0,Buckler
473,6,0,Unarmed Weapons
6,7,0,Frost Magic
8,7,0,Fire Magic
26,7,0,Combat Maneuvers
38,7,0,Street Fighting
39,7,0,Deception
40,7,0,Poisons
43,6,0,Swords
44,6,0,Axes
45,6,0,Bows
46,6,0,Guns
50,7,0,Beast Handling
51,7,0,Tracking
54,6,0,Maces
55,6,0,Two-Handed Swords
56,7,0,Holy Magic
78,7,0,Shadow Magic
95,7,0,Defense
96,7,0,Nature Magic
98,10,0,Language: Common
101,9,0,Dwarven Racial
109,10,0,Language: Orcish
111,10,0,Language: Dwarven
113,10,0,Language: Darnassian
115,10,0,Language: Taurahe
118,6,0,Dual Wield
120,7,0,Summoning
124,9,0,Tauren Racial
125,9,0,Orc Racial
126,9,0,Night Elf Racial
129,9,0,First Aid
136,6,0,Staves
137,10,0,Thalassian
138,10,0,Draconic
139,10,0,Demon Tongue
140,10,0,Titan
141,10,0,Old Tongue
142,9,0,Survival
148,9,0,Horse Riding
149,9,0,Wolf Riding
150,9,0,Tiger Riding
152,9,0,Ram Riding
155,9,0,Swimming
160,6,0,Two-Handed Maces
162,6,0,Unarmed
163,7,0,Combat Shots
164,11,0,Blacksmithing
165,11,0,Leatherworking
171,11,0,Alchemy
172,6,0,Two-Handed Axes
173,6,0,Daggers
176,6,0,Thrown
182,11,0,Herbalism
183,12,0,GENERIC (DND)
184,7,0,Holy Strikes
185,11,0,Cooking
186,11,0,Mining
188,7,0,Pet - Imp
189,7,0,Pet - Felhunter
197,11,0,Tailoring
198,7,0,Seals
199,7,0,Spirit Magic
202,11,0,Engineering
203,7,0,Pet - Spider
204,7,0,Pet - Voidwalker
205,7,0,Pet - Succubus
206,7,0,Pet - Infernal
207,7,0,Pet - Doomguard
208,7,0,Pet - Wolf
209,7,0,Pet - Cat
210,7,0,Pet - Bear
211,7,0,Pet - Boar
212,7,0,Pet - Crocilisk
213,7,0,Pet - Carrion Bird
214,7,0,Pet - Crab
215,7,0,Pet - Gorilla
216,7,0,Pet - Horse
217,7,0,Pet - Raptor
218,7,0,Pet - Tall Strider
220,9,0,Racial - Undead
222,12,0,Weapon Talents
226,6,0,Crossbows
227,6,0,Spears
228,6,0,Wands
229,6,0,Polearms
230,12,0,Attribute Enhancements
231,12,0,Slayer Talents
233,12,0,Magic Talents
234,12,0,Defensive Talents
238,7,0,Pick Pockets
239,7,0,Stealth
242,9,0,Lockpicking
243,7,0,Stances
244,7,0,Shouts
245,7,0,Advanced Combat
246,7,0,Undead Mastery
247,7,0,Sneaking
273,7,0,Disengage
251,7,0,Pet - Turtle
253,7,0,Assassination
254,7,0,Acrobatics
255,7,0,Dueling
256,7,0,Savage Combat
257,7,0,Shields
258,7,0,Taunt
260,7,0,Mend Pet
261,7,0,Beast Training
262,7,0,Expert Shots
263,7,0,Fire Shots
264,7,0,Frost Shots
293,8,0,Plate Mail
313,10,0,Language: Gnomish
267,7,0,Auras
268,7,0,Block
269,7,0,Justice
270,7,0,Pet - Talents
413,8,0,Mail
272,7,0,Growl
416,5,22,Strength
315,10,0,Language: Troll
453,6,0,Sword Power
333,11,0,Enchanting
353,7,0,Soul Craft
354,7,0,Demon Mastery
355,7,0,Curses
356,11,0,Fishing
130,7,0,Conjuration
134,7,0,Shapeshifting
373,7,0,Air Magic
374,7,0,Water Magic
375,7,0,Earth Magic
414,8,0,Leather
415,8,0,Cloth
236,7,0,Pet - Scorpion
237,7,0,Arcane Magic
