ID,FileName,SpecialID,SpecialAttachPoint,AreaEffectSize,VisualEffectNameFlags
321,Spells\MoltenBlast_Impact_Chest.mdx,-1,0,0,0
322,Particles\SliceDice_Impact_Chest.mdx,-1,10,1,0
323,Spells\SwipeImpact.mdx,-1,0,1,0
325,Spells\FaerieFire.mdx,-1,0,1,0
326,Spells\HolyProtection_Chest.mdx,-1,0,1,0
328,Spells\LightningStorm_Cloud_State.mdx,-1,0,1,0
330,Spells\Shock_Missile.mdx,-1,10,1,0
331,Spells\Shock_Impact_Chest.mdx,-1,0,0,0
332,Spells\ChainLightning_Impact_Chest.mdx,-1,0,0,0
333,Spells\PrayerofHealing_Chest.mdx,-1,0,1,0
334,Spells\SpiritArmor_Impact_Head.mdx,-1,0,0,0
335,Spells\AntiHoly_Impact_Base.mdx,-1,0,1,0
336,Spells\RighteousnessAura_Base.mdx,-1,0,1,0
337,Spells\BeastRageCaster.mdx,-1,0,1,0
339,Spells\BeastRageState.mdx,-1,0,1,0
340,Spells\BasicStrike.mdx,-1,0,1,0
341,Spells\Thorns_Base.mdx,-1,0,1,0
342,Spells\Thorns_Low_Chest.mdx,-1,0,1,0
343,Spells\Taunt_Cast.mdx,-1,0,1,0
344,Spells\ResFX.mdx,42,0,1,0
345,Spells\ChallengingShout_Cast_Base.mdx,-1,0,1,0
346,Spells\InnerFire_Base.mdx,-1,0,1,0
347,Spells\Learn_Impact_Base.mdx,-1,0,1,0
348,Spells\MarkofBeast_Impact_Head.mdx,-1,0,1,0
349,Spells\ThunderClap_Cast_Base.mdx,-1,0,0,8
350,Spells\Purge_Impact_Chest.mdx,-1,0,0,0
351,Spells\Unyielding_Will_Impact_Chest.mdx,-1,0,1,0
354,Spells\Undying_Strength_Impact_Chest.mdx,-1,0,1,0
355,Spells\Cyclone_State.mdx,-1,0,1,0
356,Spells\SlowingStrike_Cast_Hand.mdx,-1,1586,0,73514616
357,Spells\SlowingStrike_Impact_Chest.mdx,-1,1586,0,73514616
358,Spells\SlowingStrike_Impact_Base.mdx,-1,1586,0,73514616
360,Spells\Astral_Recall_Impact_Base.mdx,-1,214279320,0,75768752
361,Spells\Whirlwind_State_Base.mdx,-1,1586,0,73781864
362,Item\ObjectComponents\Ammo\ArrowFireFlight_01.mdx,-1,1586,0,74548992
363,Item\ObjectComponents\Ammo\ArrowIceFlight_01.mdx,-1,1586,0,74557712
365,Spells\Fireball_Missile_Low.mdx,-1,0,1,0
367,Spells\Invisibility_Impact_Chest.mdx,-1,0,1,0
368,Spells\Recklessness_Impact_Chest.mdx,-1,1586,0,73486992
370,Spells\CounterSpell_Impact_Chest.mdx,-1,0,1,0
371,Spells\ShadowProtection_Chest.mdx,-1,1586,0,73542944
372,Spells\ProtectionFromNature_Chest.mdx,-1,1586,0,74454896
373,Spells\ProtectionFromFire_Chest.mdx,-1,1586,0,73611360
374,Spells\ResistFrost_Chest.mdx,-1,1586,0,74455984
375,Spells\BattleShout_Cast_Base.mdx,-1,1586,0,74590672
376,Spells\IntimidatingShout_Cast_Base.mdx,-1,1586,0,74477200
377,Spells\DemoralizingShout_Cast_Base.mdx,-1,1586,0,74603728
378,Spells\Strike_Cast_Chest.mdx,-1,1586,0,74167104
379,Spells\Feint_Impact_Chest.mdx,-1,1586,0,74303264
380,Spells\SinisterStrike_Base_Cast.mdx,-1,3407744,0,76024056
381,Spells\Kick_Chest_Impact.mdx,-1,0,1,0
389,Spells\Vanish_Cast_Base.mdx,-1,3407744,0,76583992
392,Spells\Magic_Cast_Hand.mdx,-1,0,1,0
393,Spells\Item_Bread.mdx,-1,1586,0,74747072
394,Spells\BackStab_Impact_Chest.mdx,-1,0,1,0
396,Spells\BackStab_Cast_Base.mdx,-1,0,1,0
397,Spells\Gouge_Precast_State_Hand.mdx,-1,3407744,0,75247864
398,Spells\Blizzard_Impact_Base.mdx,-1,2359184,0,83067480
399,Spells\Arcane_Missile.mdx,-1,2359184,0,83999472
401,Spells\Magic_Impact_Chest.mdx,-1,2359184,0,83890048
402,Spells\Sap_Impact_Chest.mdx,-1,0,1,0
403,Spells\Sap_Cast_Base.mdx,-1,0,1,0
404,Spells\CheapShot_Impact_Chest.mdx,-1,2359184,0,84019272
405,Spells\Arcane_Missile_Lvl1.mdx,-1,2359224,0,83168472
406,Spells\Arcane_Missile_Lvl2.mdx,-1,2359224,0,83167536
407,Spells\Arcane_Missile_Lvl3.mdx,-1,2359224,0,83161720
408,Spells\Arcane_Missile_Lvl4.mdx,-1,2359224,0,83160864
409,Spells\Polymorph_Impact_Base.mdx,-1,2359224,0,82824696
410,Spells\HolyLight_Impact_Head.mdx,-1,2359224,0,83716152
411,Spells\TotemB_SpellObject.mdx,-1,1586,0,85829000
412,Spells\HolyWord_Fortitude_Impact_Base.mdx,-1,2359224,0,83400968
413,Spells\ShadowWordBefuddle_Head.mdx,-1,2359224,0,82918752
414,Spells\Renew_Base.mdx,-1,2359224,0,82784544
