ID,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,SkillLine[0],SkillLine[1]
1,0.5,1,1.2,70,208,270
2,0.5,1,1.2,70,209,270
3,0.4,1,0.8,70,203,270
4,0.5,1,1.2,70,210,270
5,0.5,1,1.2,70,211,270
6,0.3,1,0.6,70,212,270
7,0.5,1,1.1,70,213,270
8,0.5,1,1.4,70,214,270
9,0.5,1,1.2,70,215,270
10,0.5,1,1.5,70,216,270
11,0.4,1,0.8,70,217,270
12,0.3,1,0.7,70,218,270
15,0.5,1,0.8,70,189,0
16,0.5,1,1,70,204,0
17,0.5,1,1.5,70,205,0
19,0.5,1,1.5,70,207,0
20,0.5,1,1,70,236,270
21,0.5,1,1.5,70,251,270
23,0.2,1,0.4,70,188,270
