ID,Directory,PVP,MapName_lang[0],MinLevel,MaxLevel,Unk0,Unk1,Unk2,MapDescription0_lang[0],MapDescription1_lang[0]
169,EmeraldDream,0,Emerald Dream,0,0,0,0,0,,
209,TanarisInstance,0,Zul'farrak,0,0,0,0,0,,
0,Azeroth,0,Azeroth,0,0,0,0,0,,
1,Kalimdor,0,Kalimdor,0,0,0,0,0,,
2,UnderMine,0,UnderMine,0,0,0,0,0,,
13,test,0,Testing,0,0,0,0,0,,
17,Kalidar,0,Kalidar,0,0,0,0,0,,
25,ScottTest,0,Scott Test,0,0,0,0,0,,
29,Test,0,CashTest,0,0,0,0,0,,
30,PVPZone01,1,PVPZone01,0,0,0,0,0,,
33,Shadowfang,0,Shadowfang,0,0,0,0,0,,
34,StormwindJail,0,StormwindJail,0,0,0,0,0,,
35,StormwindPrison,0,StormwindPrison,0,0,0,0,0,,
36,DeadminesInstance,0,DeadminesInstance,0,0,0,0,0,,
37,PVPZone02,1,PVPZone02,0,0,0,0,0,,
42,Collin,0,Collin's Test,0,0,0,0,0,,
43,WailingCaverns,0,WailingCavernsInstance,0,0,0,0,0,,
44,Monastery,0,MonasteryInterior,0,0,0,0,0,,
47,RazorfenKraulInstance,0,RazorfenKraul,0,0,0,0,0,,
48,Blackfathom,0,Blackfathom Instance,0,0,0,0,0,,
109,SunkenTemple,0,SunkenTempleInstance,0,0,0,0,0,,
70,Uldaman,0,Uldaman Instance,0,0,0,0,0,,
90,GnomeragonInstance,0,GnomeragonInstance,0,0,0,0,0,,
129,RazorfenDowns,0,RazorfenDownsInstance,0,0,0,0,0,,
249,OnyxiaLairInstance,0,Onyxias Lair Instance,0,0,0,0,0,,
189,MonasteryInstances,0,MonasteryInstances,0,0,0,0,0,,
229,BlackRockSpire,0,Blackrock Upper Instance,0,0,0,0,0,,
230,BlackrockDepths,0,Blackrock Lower Instance,0,0,0,0,0,,
