ID,Name,FileName,SpecialID,SpecialAttachPoint,AreaEffectSize,VisualEffectNameFlags
437,FarSight Impact Base,Spells\FarSight_Impact_Base.mdx,-1,2359184,0,84258200
438,Purify Base,Spells\Purify_Base.mdx,-1,2359184,0,84349512
439,Turn Undead Cast,Spells\TurnUndead_Impact.mdx,-1,2359184,0,83821056
440,Flare Cast Base,Spells\Flare_Cast_Base.mdx,-1,89368264,0,84652776
441,Resistance Aura Base,Spells\ResistanceAura_Base.mdx,-1,0,1,0
442,Fist Of Justice Cast,Spells\FistOfJustice_Cast_Base.mdx,-1,2359184,0,84470016
444,Fist of justice Impact chest,Spells\FistOfJustice_Impact_Chest.mdx,-1,0,1,0
445,Exorcism Impact Chest,Spells\Exorcism_Impact_Chest.mdx,-1,2359184,0,85069944
446,Purge New Impact Chest,Spells\Purge_New_Impact_Chest.mdx,-1,2359184,0,83981992
447,Holy Ward Impact,Spells\HolyWard_Impact_Chest.mdx,-1,2621328,0,83972064
448,Rain Of Fire Impact Base,Spells\RainOfFire_Impact_Base.mdx,-1,2621328,0,84101544
449,Fire Resistance Impact Base,Spells\FireResistance_Impact_Base.mdx,-1,2621328,0,84435768
450,Nature Resistance Impact Base,Spells\NatureResistance_Impact_Base.mdx,-1,0,1,0
451,ArcaneSpirit Impact Base,Spells\ArcaneSpirit_Impact_Base.mdx,-1,2621328,0,84355696
452,Fear Impact Head,Spells\Fear_Impact_Chest.mdx,-1,2621328,0,84244768
453,Fear State,Spells\Fear_State_Head.mdx,-1,2621328,0,84089984
454,Cleanse Base,Spells\Clense_Base.mdx,-1,2621328,0,84385120
455,BloodBoil_Impact_Chest.mdx,Spells\BloodBoil_Impact_Chest.mdx,-1,2621328,0,83748640
456,Curse Of Tongues Impact Chest,Spells\CurseOfTongues_Impact.mdx,-1,2621328,0,83930416
457,Curse Of Tongues State Chest,Spells\CurseOfTongues_State_Chest.mdx,-1,2621328,0,83930416
458,Cleave Impact Chest,Spells\Cleave_Impact_Chest.mdx,-1,0,1,0
459,Shadow Ward Impact Chest,Spells\ShadowWard_Impact_Chest.mdx,-1,0,1,0
460,Shield Wall Impact Base,Spells\ShieldWall_Impact_Base.mdx,-1,2621328,0,84501376
461,SpellBreak Cast Base,Spells\SpellBreak_Cast_Base.mdx,-1,2621328,0,84168976
462,Cripple State Base,Spells\Cripple_State_Base.mdx,-1,0,1,0
463,Balance Of Nature Impact Base,Spells\BalanceOfNature_Impact_Base.mdx,-1,0,1,0
464,Demon Breath Impact Head,Spells\DemonBreath_Impact_Head.mdx,-1,2621368,0,83938128
465,Fireworks Red Dots,Spells\Fireworks_Red_01.mdx,-1,89368264,0,83847912
466,Pathfind Cast Head,Spells\Pathfind_Cast_Head.mdx,-1,0,1,0
467,ManaInfuse State Base,Spells\ManaInfuse_Base.mdx,-1,89368264,0,85398568
468,Waterbreathing Impact Base,Spells\Waterbreathing_Impact_Base.mdx,-1,89368264,0,84396344
469,BeastSoothe State Head,Spells\BeastSoothe_State_Head.mdx,-1,89368264,0,84709128
470,Pestilence Impact Chest,Spells\Pestilence_Impact_Chest.mdx,-1,89368264,0,84237368
474,Cripple Impact Base,Spells\Cripple_Impact_Base.mdx,-1,0,1,0
475,MarkofWild Impact Head,Spells\MarkofWild_Impact_Head.mdx,-1,0,1,0
476,BurningSpirit Impact Head,Spells\BurningSpirit_Impact_Head.mdx,-1,2621264,0,90518824
477,Spell Object : Smithing Hammer,Spells\SpellObject_SmithingHammer.mdx,-1,2621296,0,91350288
478,Disarm Impact Chest,Spells\Disarm_Impact_Chest.mdx,-1,2621304,0,91047376
479,Sunder Impact Chest,Spells\Sunder_Impact_Chest.mdx,-1,2621304,0,90385192
480,SavageBlow Impact Chest,Spells\SavageBlow_Impact_Chest.mdx,-1,2621304,0,90583592
481,DecisiveStrike Impact Chest,Spells\DecisiveStrike_Impact_Chest.mdx,-1,2621304,0,90704704
482,Beast Call Impact Head,Spells\BeastCall_Impact_Head.mdx,-1,94872456,0,90837680
502,FireBlast Impact Chest,Spells\FireBlast_Impact_Chest.mdx,-1,94806920,0,91176168
503,Fireball Missile High,Spells\Fireball_Missile_High.mdx,-1,94806920,0,91671792
522,Maim Impact Chest,Spells\Maim_Impact_Chest.mdx,-1,2359184,0,83955520
523,Shot: Fire Missile,Spells\FireShot_Missile.mdx,-1,94872456,0,90668768
524,Shot: Frost Missile,Spells\FrostShot_Missile.mdx,-1,94872456,0,90668768
525,Shot: Blinding Missile,Spells\BlindingShot_Missile.mdx,-1,94937992,0,90473968
526,Blinding Shot Impact Chest,Spells\BlindingShot_Impact.mdx,-1,94937992,0,90463648
527,Multi Shot Impact Chest,Spells\MultiShot_Impact.mdx,-1,94937992,0,90453016
528,Shot: Multi Missile,Spells\MultiShot_Missile.mdx,-1,94937992,0,90453016
529,Maul Cast Bears,Spells\Maul.mdx,-1,11,1,1
534,Combat Blood Spurt Back Small Red,Particles\BloodSpurts\BloodSpurt.mdx,10,10,1,0
535,Combat Blood Spurt Back Small Green,Particles\BloodSpurts\BloodSpurtGreen.mdx,33,10,1,0
532,Combat Blood Spurt Front Small Black,Particles\BloodSpurts\BloodSpurtBlack.mdx,38,11,1,93033136
533,Combat Blood Spurt Front Large Black,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,39,11,1,93033136
536,Combat Blood Spurt Back Small Black,Particles\BloodSpurts\BloodSpurtBlack.mdx,40,10,1,0
537,Combat Blood Spurt Back Large Green,Particles\BloodSpurts\BloodSpurtGreenLarge.mdx,34,10,1,0
538,Combat Blood Spurt Back Large Black,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,41,10,1,0
539,Curse of Mannoroth Impact Head,Spells\CurseofMannoroth_Head.mdx,-1,0,1,0
540,ShadowStrike Impact Chest,Spells\ShadowStrike_Impact_Chest.mdx,-1,0,1,0
542,Sap State Head,Spells\Sap_State_Head.mdx,-1,0,1,0
543,Demoralizing Shout Impact Head,Spells\DemoralizingShout_Impact_Head.mdx,-1,95003456,0,91910888
544,Intimidating Shout Impact Head,Spells\IntimidatingShout_Impact_Head.mdx,-1,95003456,0,91920680
545,Ribbon Trail,Spells\RibbonTrail.mdx,-1,95003456,0,91194320
546,Sprint Cast Base,Spells\Sprint_Cast_Base.mdx,-1,95003456,0,92344280
547,Inner Rage Impact Chest,Spells\InnerRage_Impact_Chest.mdx,-1,95003456,0,92260912
548,Shadow ImpactDD Med Chest,Spells\Shadow_ImpactDD_Med_Chest.mdx,-1,0,1,0
565,Druid Morph Impact,Spells\DruidMorph_Impact_Base.mdx,-1,2490240,0,91861496
585,Nightmare Impact Base,Spells\Nightmare_Impact_Base.mdx,-1,4,1,0
586,Summon Water Elemental Impact,Spells\WaterElemental_Impact_Base.mdx,-1,2490240,0,91449232
587,MoltenBlast Missile lvl1,Spells\MoltenBlast_Missile.mdx,-1,0,1,0
588,Fire Blast Impact Chest,Spells\Fire_ImpactDD_Chest.mdx,-1,94937920,0,90920128
589,Eviscerate Impact Chest,Spells\Eviscerate_Impact_Chest.mdx,-1,0,1,0
590,Eviscerate Cast Hands,Spells\Eviscerate_Cast_Hands.mdx,-1,0,1,0
591,Distract Impact Chest,Spells\Distract_Impact_Chest.mdx,-1,94937920,0,92231256
592,Kidney Shot Cast Base,Spells\KidneyShot_Base_Cast.mdx,-1,95003712,0,90468888
593,Retribution Aura Red Base,Spells\RetributionAuraRed_Base.mdx,-1,95003712,0,90536256
594,Net State,Spells\Net_State.mdx,-1,95003712,0,90742168
595,Web State,Spells\Web_State.mdx,-1,95003712,0,90968136
596,Seal of Sacrifice Impact Base,Spells\SealOfSacrifice_Impact_Base.mdx,-1,95003712,0,92421240
614,Flamestrikesmall Impact Base,Spells\FlamestrikeSmall_Impact_Base.mdx,-1,95003712,0,92255832
615,Ice Armor Low Head,Spells\IceArmor_Low_Head.mdx,-1,2490240,0,90938544
616,FrostArmorEffect Impact Chest,Spells\FrostArmorEffect_Impact_Chest.mdx,-1,2490240,0,91459312
617,Divine Bubble Impact Base,Spells\DivineBubble_Low_Base.mdx,-1,95005768,0,91659200
618,Web: Missile,Spells\Web_Missile.mdx,-1,95005768,0,92421928
619,Bind Impact Base,Spells\Bind_Impact_Base.mdx,-1,95071304,0,91805616
620,Poison ImpactDot Med Base,Spells\Poison_ImpactDot_Med_Base.mdx,-1,10,1,0
621,Bloody Explosion Green Impact,Spells\BloodyExplosionGreen.mdx,-1,95071304,0,92501048
1,zzOLD__FireShield_Cast_Base,Particles\FireShield_Cast_Base.mdl,-1,4,1,0
2,FireBolt Impact Chest,Spells\FireBolt_ImpactDD_Med_Chest.mdx,-1,4,1,0
3,zzOLD__Heal,Spells\Heal\Heal.mdl,-1,4,1,0
4,zzOLD__HealCast,Spells\HealCast\HealCast.mdl,-1,4,1,0
6,Teleport In,Spells\TeleportIn\TeleportIn.mdx,-1,4,1,0
10,zzOLD__Teleport Cast,Spells\TeleportCast\TeleportCast.mdl,-1,4,1,0
11,Footstep Spray Snow Run,Particles\FootstepSpraySnow.mdl,2,4,1,1
12,Footstep Spray Snow Walk,Particles\FootstepSpraySnowWalk.mdl,3,4,1,1
14,HARDCODED Loot Art,Particles\LootFX.mdl,0,0,1,5
17,Shadow Precast Low Hand,Spells\Shadow_Precast_Low_Hand.mdx,-1,4,1,0
