ID,DisplayRaceID,DisplaySexID,SkinID,FaceID,HairStyleID,HairColorID,FacialHairID,NPCItemDisplay[0],NPCItemDisplay[1],NPCItemDisplay[2],NPCItemDisplay[3],NPCItemDisplay[4],NPCItemDisplay[5],NPCItemDisplay[6],NPCItemDisplay[7],NPCItemDisplay[8],NPCItemDisplay[9],BakeName
30,1,0,3,3,10,4,6,2952,0,1184,0,0,0,0,0,0,0,8b30c95934e3c752dd9100b0d5cfa7be.blp
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9416f0bc3e1adf57ba28ceff7175af4e.blp
43,1,1,2,1,11,3,0,0,0,0,0,0,0,0,0,0,0,2e9bb8802c580d7594da5cc243543fb.blp
45,1,0,0,8,0,0,2,0,7684,7676,7677,7678,7679,7680,0,7702,7683,b0413e29927473b4eded639ce7d3d690.blp
47,3,0,6,5,0,6,7,15907,0,5315,0,0,2610,3261,0,5444,0,a2e4029690258f6a70d262f5cb09987.blp
52,4,0,5,1,3,3,2,0,0,5340,0,0,5341,9915,0,0,0,9b7d9a6896fa9619118a1e28849e449a.blp
53,3,1,2,1,3,3,0,0,0,5343,0,5344,1818,4586,0,0,0,893136309881fe682739c65e2728898c.blp
54,1,0,4,10,3,9,2,0,0,0,5345,0,5346,5347,3897,0,0,5573cb70186e7bb0c4b4f11aabf18af7.blp
56,1,1,3,2,14,0,0,0,0,13620,0,7619,2318,5856,0,13621,0,7855fbe9506c246b79a0332514998dbf.blp
57,1,0,2,10,6,1,4,0,0,0,5350,0,5297,5351,0,0,0,1e51eef687c2f7b651c1764c755cef5.blp
58,1,0,1,2,1,4,1,0,0,13516,13517,4989,1882,6060,5355,0,0,953fb1a7828b4e7bc19931f2a8d12d6f.blp
59,1,0,0,9,8,9,8,0,0,0,8444,5865,7587,8268,0,0,0,78fe9149107966304d809814982e9211.blp
60,1,0,2,0,1,3,6,0,0,9745,0,0,2318,4272,0,0,0,456dc4954037f42839fa0f0b1b4ff144.blp
62,1,0,9,0,0,2,5,0,0,4299,0,0,2185,5363,0,0,0,9a3b0d04831a87774eaa531e4b70fae.blp
63,1,0,3,11,5,4,3,0,0,3552,0,0,5346,2496,0,0,0,8eeba06737faa91cf586cbbba6f2cec2.blp
65,1,1,1,3,17,2,0,0,0,0,5367,5368,5369,5370,0,0,0,4e930dd91a22bf7be0141d0d73d4ead.blp
67,1,1,2,10,7,0,0,0,0,13521,0,4599,3078,2990,0,1796,0,1a7aa73d27178e9428025e7327a0c5c8.blp
68,1,0,2,1,1,2,0,0,0,13003,9009,8347,5236,5380,0,0,0,90986928a5a3fb91e86db1cb48ddf9fd.blp
69,1,0,3,2,2,1,6,0,5381,1185,2257,4847,697,1981,0,2362,0,99ac2d4627c15377978579f8c03eb962.blp
71,2,0,6,4,5,5,3,0,0,8156,0,8135,7939,7782,0,0,0,900020dd91b9ecc32ea7c416c7646576.blp
