ID,SkillLine,Spell,RaceMask,ClassMask,ExcludeRace,ExcludeClass,MinSkillLineRank,SupercededBySpell,AcquireMethod,TrivialSkillLineRankHigh,TrivialSkillLineRankLow,Field_0_5_5_3494_012
472,6,205,0,128,0,0,1,0,0,0,0,0
474,6,122,0,128,0,0,1,0,0,0,0,0
6761,6,12494,0,128,0,0,1,0,0,0,0,0
6760,6,11071,0,128,0,0,1,0,0,0,0,0
6891,6,11207,0,128,0,0,1,0,0,0,0,0
6893,6,12672,0,128,0,0,1,0,0,0,0,0
751,6,865,0,128,0,0,1,0,0,0,0,0
1813,6,837,0,128,0,0,1,0,0,0,0,0
69,6,116,0,128,0,0,1,0,0,0,0,0
4243,6,7322,0,128,0,0,1,0,0,0,0,0
4242,6,7320,0,128,0,0,1,0,0,0,0,0
4241,6,7302,0,128,0,0,1,0,0,0,0,0
4226,6,7301,0,128,0,0,1,0,0,0,0,0
4225,6,7300,0,128,0,0,1,0,0,0,0,0
4224,6,168,0,128,0,0,1,0,2,0,0,0
4042,6,6131,0,128,0,0,1,0,0,0,0,0
3823,6,6143,0,128,0,0,1,0,0,0,0,0
3822,6,6141,0,128,0,0,1,0,0,0,0,0
4670,6,8407,0,128,0,0,1,0,0,0,0,0
4669,6,8406,0,128,0,0,1,0,0,0,0,0
5476,6,10230,0,128,0,0,1,0,0,0,0,0
5472,6,10220,0,128,0,0,1,0,0,0,0,0
5471,6,10219,0,128,0,0,1,0,0,0,0,0
5455,6,10187,0,128,0,0,1,0,0,0,0,0
5454,6,10186,0,128,0,0,1,0,0,0,0,0
5453,6,10185,0,128,0,0,1,0,0,0,0,0
5452,6,10181,0,128,0,0,1,0,0,0,0,0
6826,6,11180,0,128,0,0,1,0,0,0,0,0
4671,6,8408,0,128,0,0,1,0,0,0,0,0
5451,6,10180,0,128,0,0,1,0,0,0,0,0
5450,6,10179,0,128,0,0,1,0,0,0,0,0
5449,6,10177,0,128,0,0,1,0,0,0,0,0
5448,6,8462,0,128,0,0,1,0,0,0,0,0
5441,6,10161,0,128,0,0,1,0,0,0,0,0
5440,6,10160,0,128,0,0,1,0,0,0,0,0
5439,6,10159,0,128,0,0,1,0,0,0,0,0
6742,6,12472,0,128,0,0,1,0,0,0,0,0
6751,6,12484,0,128,0,0,1,0,0,0,0,0
6748,6,12476,0,128,0,0,1,0,0,0,0,0
6745,6,12474,0,128,0,0,1,0,0,0,0,0
6744,6,12473,0,128,0,0,1,0,0,0,0,0
6743,6,11070,0,128,0,0,1,0,0,0,0,0
6356,6,11958,0,128,0,0,1,0,0,0,0,0
4707,6,120,0,128,0,0,1,0,0,0,0,0
4705,6,8461,0,128,0,0,1,0,0,0,0,0
4678,6,8427,0,128,0,0,1,0,0,0,0,0
6819,6,12570,0,128,0,0,1,0,0,0,0,0
6818,6,12571,0,128,0,0,1,0,0,0,0,0
6817,6,12569,0,128,0,0,1,0,0,0,0,0
6816,6,11175,0,128,0,0,1,0,0,0,0,0
6778,6,12519,0,128,0,0,1,0,0,0,0,0
6777,6,12518,0,128,0,0,1,0,0,0,0,0
6776,6,11160,0,128,0,0,1,0,0,0,0,0
6765,6,12499,0,128,0,0,1,0,0,0,0,0
6764,6,12498,0,128,0,0,1,0,0,0,0,0
7140,6,12985,0,128,0,0,1,0,0,0,0,0
7139,6,12984,0,128,0,0,1,0,0,0,0,0
7138,6,12983,0,128,0,0,1,0,0,0,0,0
7137,6,12982,0,128,0,0,1,0,0,0,0,0
7136,6,11170,0,128,0,0,1,0,0,0,0,0
7106,6,12957,0,128,0,0,1,0,0,0,0,0
7105,6,12954,0,128,0,0,1,0,0,0,0,0
7104,6,12953,0,128,0,0,1,0,0,0,0,0
7103,6,12952,0,128,0,0,1,0,0,0,0,0
6746,6,11165,0,128,0,0,1,0,0,0,0,0
6747,6,12475,0,128,0,0,1,0,0,0,0,0
7160,6,11189,0,128,0,0,1,0,0,0,0,0
7102,6,11151,0,128,0,0,1,0,0,0,0,0
7217,6,13079,0,0,0,0,1,0,0,0,0,0
7216,6,13078,0,0,0,0,1,0,0,0,0,0
5995,6,11426,0,128,0,0,1,0,0,0,0,0
6830,6,12582,0,128,0,0,1,0,0,0,0,0
6829,6,12581,0,128,0,0,1,0,0,0,0,0
6828,6,12580,0,128,0,0,1,0,0,0,0,0
6820,6,12573,0,128,0,0,1,0,0,0,0,0
6763,6,12497,0,128,0,0,1,0,0,0,0,0
6762,6,12496,0,128,0,0,1,0,0,0,0,0
6759,6,12490,0,128,0,0,1,0,0,0,0,0
6758,6,12489,0,128,0,0,1,0,0,0,0,0
6757,6,11190,0,128,0,0,1,0,0,0,0,0
6756,6,12486,0,128,0,0,1,0,0,0,0,0
6755,6,12485,0,128,0,0,1,0,0,0,0,0
6752,6,11185,0,128,0,0,1,0,0,0,0,0
4716,6,8492,0,128,0,0,1,0,0,0,0,0
