ID,SoundType,Name,File[0],File[1],File[2],File[3],File[4],File[5],File[6],File[7],File[8],File[9],Freq[0],Freq[1],Freq[2],Freq[3],Freq[4],Freq[5],Freq[6],Freq[7],Freq[8],Freq[9],DirectoryBase,VolumeFloat,Pitch,PitchVariation,Flags,MinDistance,MaxDistance,EAXDef
2,1,Reveal Map,RevealMap.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempSpellSounds,1,1,0,0,8,45,2
3,1,Invisibility Impact,Dispel_Low_Base.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
7,1,BlizzardImpactVariations,BlizzardImpact1a.wav,BlizzardImpact1b.wav,BlizzardImpact1c.wav,BlizzardImpact1d.wav,BlizzardImpact1e.wav,BlizzardImpact1f.wav,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
11,1,Out of Mana,EnsnareTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
13,1,FrostPrecastLoop,FrostArmorTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,512,8,45,2
15,1,FrostImpact,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
17,1,Burning Blast_Precast,RainOfFireLoop1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
18,1,Burning Blast Impact,FlareTarget2.wav,FlareTarget3.wav,FlareTarget4.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
20,1,Frost Precast,PreCastFrostMagicLow.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,512,8,45,2
21,1,Bolt of Ice Cast,RainOfFireTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
22,1,Ice Blast Impact,IceBlastImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
23,1,Numb Impact,SlowTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
24,1,Engulfing_Flame_Impact,RainOfFireTarget1.wav,RainOfFireTarget2.wav,RainOfFireTarget3.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
25,1,FireShield_Impact,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
26,1,Natures_Healing_Impact,RestorationImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
27,1,Precast Nature Low,PreCastNatureMagicHigh.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,512,8,45,2
28,1,Battle Roar,BurningSpirit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
29,1,Freeze Impact,HolyBolt.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
30,1,Call Lightning Impact,CallLightning.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
31,1,Call Lightning Precast,PreCastNatureMagicMedium.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
33,1,Lightning Shield,LightningShieldImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
34,1,DefendShout,BerzerkerCaster.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
35,1,Lightning Cast,LightningShieldImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
36,1,Ice Prison,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
37,1,Resurrection,Resurrection.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
38,1,Immolate,Immolate.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
39,1,Divine Shield,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
40,1,BloodlustTarget,BloodlustTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
41,1,BarkSkin,BarkSkinTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
42,1,ShieldBash,m1hSwordHitMetalShieldCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,1,1,0,0,8,45,2
44,1,Holy Bolt,HolyBolt.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1,0,0,8,45,2
45,1,Item - Eat,iEating1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\UseSounds,1,1,0,0,8,45,2
