ID,EmoteAnimID,EmoteFlags,EmoteSpecProc,EmoteSpecProcParam
0,0,0,0,0
1,60,140,0,0
2,66,18433,0,0
3,67,2048,0,0
4,68,2048,0,0
5,64,164,0,0
6,65,148,0,0
7,61,2048,0,0
193,31,16384,2,0
10,69,20609,2,0
11,70,2432,0,0
12,0,25090,1,3
13,0,25090,1,1
14,73,1,0,0
15,74,4,0,0
16,75,16384,0,0
17,76,0,0,0
18,77,0,0,0
19,78,0,0,0
20,79,16384,0,0
21,80,0,0,0
22,81,2240,0,0
23,82,0,0,0
24,83,16384,0,0
25,84,0,0,0
26,0,25090,1,0
27,25,18432,2,0
28,62,16384,2,0
29,84,16384,2,0
30,0,16384,2,0
33,9,1024,0,0
34,10,1024,0,0
35,16,17412,0,0
36,17,17412,0,0
37,18,17412,0,0
38,19,17412,0,0
39,20,17412,0,0
43,24,17412,0,0
44,25,1024,0,0
45,26,1024,0,0
48,29,1024,0,0
50,31,17408,0,0
51,32,17408,0,0
53,55,1024,0,0
54,57,17412,0,0
60,158,17408,0,0
61,107,17408,0,0
64,14,19456,2,0
65,0,26114,1,7
66,113,2048,0,0
68,0,25090,1,8
69,63,18432,2,0
70,67,4,0,0
71,68,4,0,0
92,61,4,0,0
93,137,16388,2,0
94,69,16384,0,0
113,113,4,0,0
133,138,0,2,0
153,70,4,0,0
173,136,16388,2,0
