ID,AmbienceID[0],AmbienceID[1]
42,4196,4197
36,4185,4186
39,4191,4192
44,4200,4201
48,4210,4211
55,4220,4220
56,4219,4219
210,4994,4994
270,6597,6597
49,4212,4213
58,4223,4223
70,4234,4234
170,4394,4394
271,6599,6599
90,4256,4256
150,4375,4375
291,6755,6755
53,4217,4217
54,4218,4218
57,4221,4221
21,4162,4162
22,4163,4204
24,4164,4165
25,4166,4167
26,4168,4168
27,4169,4169
28,4170,4171
29,4172,4173
30,4174,4175
31,4176,4177
32,4178,4179
33,4180,4181
34,4182,4182
35,4183,4184
37,4187,4188
38,4189,4190
40,4193,4194
41,4195,4195
43,4198,4199
45,4202,4203
46,4205,4206
47,4207,4208
59,4224,4224
60,4225,4225
190,4515,4515
230,5034,5034
250,5555,5555
50,4214,4214
51,4215,4215
52,4216,4216
71,4235,4235
110,4322,4322
130,4334,4334
290,6754,6754
310,6854,6854
330,7359,7359
